threshold,sensitivity,specificity,precision,accuracy,f1,youden_j,roc_auc,pr_auc,brier,log_loss,representation,n_features,classifier,split,best_cv_roc_auc
0.4824120603015075,0.8738738738738738,0.9623893805309734,0.8508771929824561,0.9449378330373002,0.8622222222222221,0.8362632544048472,0.963405883759866,0.9332405019462624,0.0575089705791724,0.2339244066693918,og_xp_110,110,LogisticRegression,rep0_fold0,0.9078494822838508
0.3819095477386934,0.8108108108108109,0.913716814159292,0.6976744186046512,0.8934280639431617,0.75,0.7245276249701029,0.887347524515666,0.8087573206404605,0.0806439224652376,0.3095686565135289,og_xp_110,110,LogisticRegression,rep0_fold1,0.9249473060815012
0.4924623115577889,0.8035714285714286,0.9467849223946784,0.7894736842105263,0.9182948490230906,0.7964601769911505,0.7503563509661071,0.9189499524865378,0.8619314709420726,0.0717593228321366,0.2779669373692287,og_xp_110,110,LogisticRegression,rep0_fold2,0.9229641495717664
0.5879396984924623,0.8125,0.9556541019955654,0.8198198198198198,0.9271758436944938,0.8161434977578474,0.7681541019955653,0.92112765283497,0.852179459232698,0.0753805530257268,0.2908656767664538,og_xp_110,110,LogisticRegression,rep0_fold3,0.9221320029030344
0.4070351758793969,0.8392857142857143,0.9290465631929048,0.746031746031746,0.911190053285968,0.7899159663865546,0.768332277478619,0.9267500791891036,0.8637637445440259,0.076197771942706,0.2996552780431382,og_xp_110,110,LogisticRegression,rep0_fold4,0.9261674409364437
0.4974874371859296,0.7747747747747747,0.9469026548672568,0.7818181818181819,0.9129662522202486,0.7782805429864253,0.7216774296420314,0.9138762656461772,0.855430531676268,0.075966608443547,0.2879291533418889,og_xp_110,110,LogisticRegression,rep1_fold0,0.9275952683131083
0.3768844221105528,0.8738738738738738,0.918141592920354,0.7238805970149254,0.9094138543516874,0.7918367346938776,0.7920154667942279,0.9314557920752612,0.8871841787637902,0.0677098125235618,0.265932600754916,og_xp_110,110,LogisticRegression,rep1_fold1,0.9280589552566152
0.4170854271356784,0.8392857142857143,0.9379157427937916,0.7704918032786885,0.9182948490230906,0.8034188034188035,0.7772014570795058,0.9094868546088056,0.8599856332393808,0.0738106803901489,0.2830369561937384,og_xp_110,110,LogisticRegression,rep1_fold2,0.9260327547552456
0.3919597989949749,0.875,0.933481152993348,0.765625,0.921847246891652,0.8166666666666667,0.8084811529933482,0.935183718720304,0.8587983650053211,0.0728314517584937,0.2958994636096845,og_xp_110,110,LogisticRegression,rep1_fold3,0.9193832899545402
0.4723618090452261,0.8125,0.9578713968957872,0.8272727272727273,0.9289520426287744,0.8198198198198199,0.7703713968957873,0.9273835920177383,0.8686067699473851,0.0692128205091727,0.2689187480878979,og_xp_110,110,LogisticRegression,rep1_fold4,0.9233386544920804
0.371859296482412,0.8108108108108109,0.911504424778761,0.6923076923076923,0.8916518650088809,0.7468879668049794,0.7223152355895719,0.9023160328470062,0.8433369408138216,0.0784143588195858,0.2893667328568581,og_xp_110,110,LogisticRegression,rep2_fold0,0.9300916403445952
0.4874371859296482,0.8558558558558559,0.9557522123893806,0.8260869565217391,0.9360568383658968,0.8407079646017699,0.8116080682452365,0.935541736426692,0.9078109488154964,0.0614885789284604,0.2509051397159812,og_xp_110,110,LogisticRegression,rep2_fold1,0.913202423113328
0.3969849246231156,0.8125,0.926829268292683,0.7338709677419355,0.9040852575488456,0.7711864406779662,0.7393292682926829,0.8972125435540069,0.8293197747740723,0.0752042145789016,0.2968661740337962,og_xp_110,110,LogisticRegression,rep2_fold2,0.9242077620218716
0.4170854271356784,0.875,0.9401330376940134,0.784,0.9271758436944938,0.8270042194092827,0.8151330376940134,0.956663763066202,0.8943617822159121,0.0647986570802291,0.2652108456909841,og_xp_110,110,LogisticRegression,rep2_fold3,0.9167229867830774
0.5276381909547738,0.8214285714285714,0.9312638580931264,0.7479674796747967,0.9094138543516874,0.7829787234042553,0.7526924295216979,0.9062401013620526,0.8519465063581635,0.0842080549682109,0.3234474355297396,og_xp_110,110,LogisticRegression,rep2_fold4,0.9267688835349208
0.3969849246231156,0.8468468468468469,0.9292035398230089,0.746031746031746,0.9129662522202486,0.7932489451476793,0.7760503866698558,0.930678466076696,0.880123362467016,0.070557724758605,0.2651772400835444,og_xp_110,110,LogisticRegression,rep3_fold0,0.9221749664279894
0.4824120603015075,0.8288288288288288,0.9402654867256636,0.773109243697479,0.9182948490230906,0.8,0.7690943155544925,0.925994578649446,0.8661535351729215,0.0737012643308688,0.282279074116387,og_xp_110,110,LogisticRegression,rep3_fold1,0.921350798285396
0.3819095477386934,0.8214285714285714,0.9467849223946784,0.7931034482758621,0.921847246891652,0.8070175438596492,0.7682134938232499,0.9130305669939818,0.8586110148768124,0.0681017859158246,0.2715222041927821,og_xp_110,110,LogisticRegression,rep3_fold2,0.933681769798517
0.185929648241206,0.8660714285714286,0.9356984478935698,0.7698412698412699,0.921847246891652,0.8151260504201681,0.8017698764649985,0.9322339246119736,0.8845209510658368,0.0462512463529068,0.2119579378218708,og_xp_110,110,LogisticRegression,rep3_fold3,0.9184844530365056
0.4371859296482412,0.8125,0.9157427937915744,0.7054263565891473,0.8952042628774423,0.7551867219917013,0.7282427937915743,0.9124564459930312,0.8323211333870898,0.0861855705237002,0.3312600084335828,og_xp_110,110,LogisticRegression,rep3_fold4,0.9303716384448396
0.5175879396984925,0.7837837837837838,0.9535398230088497,0.8055555555555556,0.9200710479573712,0.7945205479452055,0.7373236067926334,0.9198955592760903,0.8625032578370959,0.071427880427936,0.2785606544660741,og_xp_110,110,LogisticRegression,rep4_fold0,0.9159852311225588
0.271356783919598,0.8108108108108109,0.9579646017699116,0.8256880733944955,0.9289520426287744,0.8181818181818182,0.7687754125807222,0.9263932073666584,0.8880381547814616,0.0520385539060267,0.2019338025499428,og_xp_110,110,LogisticRegression,rep4_fold1,0.9108655868443352
0.4623115577889447,0.7946428571428571,0.9467849223946784,0.7876106194690266,0.91651865008881,0.7911111111111111,0.7414277795375357,0.9342730440291416,0.8751360017681242,0.0722637715269432,0.2776336195299569,og_xp_110,110,LogisticRegression,rep4_fold2,0.9172691638549294
0.3467336683417085,0.8303571428571429,0.8713968957871396,0.6158940397350994,0.8632326820603907,0.7072243346007604,0.7017540386442827,0.8994100411783339,0.8176968822103754,0.0886704940039221,0.3379376439110491,og_xp_110,110,LogisticRegression,rep4_fold3,0.9328170815021136
0.4170854271356784,0.8392857142857143,0.9223946784922394,0.7286821705426356,0.905861456483126,0.7800829875518671,0.7616803927779539,0.9316400063351282,0.8980018434222921,0.0628587329090991,0.2507517697479704,og_xp_110,110,LogisticRegression,rep4_fold4,0.9204701953843516
0.4221105527638191,0.8378378378378378,0.913716814159292,0.7045454545454546,0.8987566607460036,0.7654320987654323,0.7515546519971299,0.926054372957028,0.8487961070800827,0.0778463902394243,0.2975699736697881,og_xp_110,110,LogisticRegression,rep5_fold0,0.9216369003640206
0.5025125628140703,0.8108108108108109,0.9314159292035398,0.743801652892562,0.9076376554174068,0.7758620689655173,0.7422267400143507,0.9085545722713864,0.8539673091686794,0.0771960289300007,0.3025186887538713,og_xp_110,110,LogisticRegression,rep5_fold1,0.9336677370112098
0.4623115577889447,0.7857142857142857,0.951219512195122,0.8,0.9182948490230906,0.7927927927927927,0.7369337979094075,0.9092096927462782,0.8370562922630598,0.0752381224517234,0.292100396084671,og_xp_110,110,LogisticRegression,rep5_fold2,0.9262464598425266
0.3919597989949749,0.8660714285714286,0.9401330376940134,0.782258064516129,0.9253996447602132,0.8220338983050847,0.806204466265442,0.9240774469433006,0.8703466972070439,0.0706442791771442,0.2805073409110281,og_xp_110,110,LogisticRegression,rep5_fold3,0.9235486434058308
0.5025125628140703,0.875,0.966740576496674,0.8672566371681416,0.9484902309058616,0.8711111111111112,0.8417405764966741,0.968324358568261,0.9255703115124806,0.0599563529639649,0.246115660128729,og_xp_110,110,LogisticRegression,rep5_fold4,0.9101609022788982
0.3919597989949749,0.8018018018018018,0.915929203539823,0.7007874015748031,0.8934280639431617,0.7478991596638657,0.7177310053416248,0.9003627521326635,0.8233241544159605,0.080523535620007,0.3095153870788239,og_xp_110,110,LogisticRegression,rep6_fold0,0.9345570896818532
