n_components,xp_110d_cumvar,spec_343d_cumvar
10,0.35852240342783154,0.9999572027140121
20,0.4988737529661556,0.9999878554500679
30,0.6122300760297499,0.9999946550058033
40,0.7072007198836433,0.9999972575610836
50,0.7874267919860336,0.9999986671675083
