representation,classifier,sens_L2,sens_raw,sens_delta,prec_L2,prec_raw,prec_delta,auc_L2,auc_raw,auc_delta
chebyshev_10,SVM_RBF,0.8455357142857143,0.7223214285714286,-0.12321428571428572,0.7858755707272916,0.5543220940868508,-0.2315534766404408,0.93727035159962,0.8562777161862527,-0.08099263541336732
legendre_10,SVM_RBF,0.8339285714285714,0.7383928571428571,-0.09553571428571428,0.8051290068756496,0.5409175361979931,-0.2642114706776565,0.9361755622426354,0.8620941558441558,-0.0740814063984796
legendre_40,SVM_RBF,0.8178571428571428,0.7464285714285714,-0.0714285714285714,0.7379920654966431,0.580883957901416,-0.1571081075952271,0.9337484162179284,0.8816637630662021,-0.05208465315172628
chebyshev_30,SVM_RBF,0.8473214285714287,0.7348214285714285,-0.11250000000000016,0.7543370331479486,0.5763161192503343,-0.17802091389761432,0.9309570003167564,0.8726659011719988,-0.05829109914475761
chebyshev_40,SVM_RBF,0.8267857142857142,0.74375,-0.08303571428571421,0.7368079936589107,0.5451041056304748,-0.19170388802843585,0.9300522648083624,0.8721274152676592,-0.057924849540703205
chebyshev_50,SVM_RBF,0.83125,0.7267857142857143,-0.10446428571428579,0.7224354802361089,0.553136756298185,-0.1692987239379239,0.9258295058599936,0.870252613240418,-0.055576892619575546
legendre_40,XGBoost,0.7973214285714285,0.6839285714285714,-0.11339285714285707,0.7833684679073307,0.5077636074958858,-0.27560486041144494,0.9252098511244852,0.8252138105796643,-0.09999604054482092
legendre_50,LogisticRegression,0.8321428571428571,0.69375,-0.1383928571428571,0.7898082138024354,0.4250674095736089,-0.3647408042288265,0.9246911624960406,0.8062143649033893,-0.11847679759265128
legendre_20,SVM_RBF,0.84375,0.7419642857142856,-0.10178571428571437,0.7917313005308164,0.5923418781610811,-0.19938942236973534,0.9245149667405764,0.8679620684193855,-0.056552898321190925
legendre_50,SVM_RBF,0.8017857142857142,0.7294642857142857,-0.07232142857142854,0.7521014545334316,0.5691190327840843,-0.1829824217493473,0.9243724263541336,0.8752276686727907,-0.049144757681342965
legendre_30,LogisticRegression,0.8366071428571429,0.70625,-0.13035714285714284,0.8107476514209951,0.4389269629275671,-0.37182068849342803,0.9241704941400062,0.8181560817231549,-0.10601441241685128
chebyshev_30,LogisticRegression,0.8348214285714286,0.6785714285714286,-0.15625,0.8072478636775561,0.3515213019710996,-0.4557265617064565,0.9234835286664556,0.7552997307570478,-0.16818379790940774
legendre_40,LogisticRegression,0.8339285714285716,0.6946428571428571,-0.13928571428571446,0.7970223617199872,0.4397281964773042,-0.357294165242683,0.9233251504592968,0.8083564301552106,-0.11496872030408611
chebyshev_50,LogisticRegression,0.8339285714285714,0.6973214285714285,-0.13660714285714282,0.7890803015065149,0.3507181955776508,-0.43836210592886404,0.9226520430788724,0.7571111815014254,-0.16554086157744696
legendre_30,SVM_RBF,0.8160714285714284,0.7392857142857143,-0.07678571428571412,0.7924240083702888,0.5853036216674398,-0.20712038670284905,0.9226282863477986,0.8819844789356985,-0.04064380741210005
chebyshev_20,SVM_RBF,0.8267857142857142,0.73125,-0.09553571428571428,0.7925858622968174,0.5799301720403675,-0.21265569025644993,0.9219492397846056,0.8603044821032626,-0.06164475768134303
chebyshev_10,LogisticRegression,0.8348214285714286,0.6589285714285714,-0.17589285714285718,0.8318593282361355,0.3532802378317148,-0.4785790904044207,0.921476084890719,0.7573824041811846,-0.16409368070953434
chebyshev_40,LogisticRegression,0.8339285714285714,0.6955357142857143,-0.1383928571428571,0.8003391081226703,0.3844131473155225,-0.4159259608071478,0.9214305511561608,0.7813707633829585,-0.14005978777320227
legendre_10,LogisticRegression,0.8357142857142857,0.6964285714285714,-0.13928571428571435,0.8260103709229402,0.3952224087529317,-0.4307879621700085,0.9201219512195122,0.7878345739626227,-0.13228737725688955
chebyshev_30,XGBoost,0.7973214285714285,0.6732142857142857,-0.12410714285714286,0.6818786706443659,0.4060321580206246,-0.2758465126237413,0.9194666613873932,0.7943458980044346,-0.12512076338295863
legendre_20,LogisticRegression,0.8383928571428572,0.6598214285714286,-0.1785714285714286,0.8123222651260967,0.5001039798921327,-0.312218285233964,0.9193775736458664,0.8159665030091858,-0.10341107063668054
legendre_10,RandomForest,0.8080357142857142,1.0,0.1919642857142858,0.7934212599390703,0.1989342806394316,-0.5944869792996387,0.9193548067785872,0.5,-0.41935480677858716
chebyshev_10,XGBoost,0.8125,0.6446428571428571,-0.16785714285714293,0.7076974455254468,0.4205049926117011,-0.2871924529137457,0.9193082831802344,0.775912654418752,-0.14339562876148237
legendre_10,XGBoost,0.8116071428571429,0.6830357142857143,-0.12857142857142856,0.8009572086485232,0.4314361554041896,-0.36952105324433354,0.9191598036110232,0.7933322774786189,-0.12582752613240433
chebyshev_10,RandomForest,0.8089285714285716,1.0,0.19107142857142845,0.6713577514108512,0.1989342806394316,-0.47242347077141955,0.9179135650934432,0.5,-0.41791356509344324
legendre_30,RandomForest,0.7964285714285715,1.0,0.20357142857142851,0.7703417725604725,0.1989342806394316,-0.5714074919210409,0.917821507760532,0.5,-0.41782150776053195
