threshold,sensitivity,specificity,precision,accuracy,f1,youden_j,roc_auc,pr_auc,brier,log_loss,representation,n_features,classifier,split,best_cv_roc_auc
0.48743718592964824,0.8214285714285714,0.9467849223946785,0.7931034482758621,0.9218472468916519,0.8070175438596492,0.7682134938232499,0.9527043078872347,0.8756811636607794,0.06839431849444569,0.2715153881026914,og_xp_110,110,LogisticRegression,seed_0,0.9140336070646669
0.5125628140703518,0.8660714285714286,0.9512195121951219,0.8151260504201681,0.9342806394316163,0.8398268398268399,0.8172909407665505,0.9352827050997783,0.9025663408443393,0.06532955636769751,0.2537391636800233,og_xp_110,110,LogisticRegression,seed_1,0.9125685307595718
0.46733668341708545,0.8125,0.9445676274944568,0.7844827586206896,0.9182948490230906,0.7982456140350878,0.7570676274944568,0.9186925878999048,0.8404163008685013,0.07544515265107771,0.3027496618492163,og_xp_110,110,LogisticRegression,seed_2,0.9311518842305482
0.40703517587939697,0.8392857142857143,0.9467849223946785,0.7966101694915254,0.9253996447602132,0.8173913043478261,0.7860706366803929,0.9336197339246121,0.8852752929551891,0.06782325781818281,0.2666581587405477,og_xp_110,110,LogisticRegression,seed_3,0.9116504852418696
0.3919597989949749,0.8482142857142857,0.9423503325942351,0.7851239669421488,0.9236234458259325,0.815450643776824,0.7905646183085207,0.9257008235666773,0.868538505115817,0.07092704200517043,0.2876250887458232,og_xp_110,110,LogisticRegression,seed_4,0.9229896606008671
0.46733668341708545,0.8392857142857143,0.9512195121951219,0.8103448275862069,0.9289520426287744,0.8245614035087718,0.7905052264808363,0.9330456129236617,0.8890400585443704,0.06638025737335047,0.25782366463420286,og_xp_110,110,LogisticRegression,seed_5,0.9235060329566339
0.4170854271356784,0.8392857142857143,0.9334811529933481,0.7580645161290323,0.9147424511545293,0.7966101694915255,0.7727668672790624,0.9137234716503008,0.8587598422002258,0.07435122986515692,0.2837153384623604,og_xp_110,110,LogisticRegression,seed_6,0.9247818606137631
0.24120603015075376,0.8660714285714286,0.9490022172949002,0.8083333333333333,0.9325044404973357,0.8362068965517241,0.8150736458663288,0.945141748495407,0.8977818995550467,0.04822122481578983,0.18788490221717613,og_xp_110,110,LogisticRegression,seed_7,0.9177911606895531
0.507537688442211,0.8125,0.9645232815964523,0.8504672897196262,0.9342806394316163,0.8310502283105022,0.7770232815964522,0.8998455812480204,0.8591210052047736,0.07166838138383544,0.28364257379233215,og_xp_110,110,LogisticRegression,seed_8,0.928324780107986
0.4623115577889447,0.8214285714285714,0.9578713968957872,0.8288288288288288,0.9307282415630551,0.8251121076233183,0.7792999683243584,0.9244733924611974,0.8838035717170657,0.06469416906248088,0.25691728473301073,og_xp_110,110,LogisticRegression,seed_9,0.9199012944135467
0.20603015075376885,0.875,0.9401330376940134,0.784,0.9271758436944938,0.8270042194092827,0.8151330376940134,0.9522885650934433,0.8940952221938729,0.05040218019017187,0.1905592845262012,og_xp_110,110,SVM_RBF,seed_0,0.9311527128368086
0.2562814070351759,0.8125,0.9578713968957872,0.8272727272727273,0.9289520426287744,0.8198198198198199,0.7703713968957873,0.9617516629711752,0.9228506442123405,0.04599895250731126,0.16790557075851273,og_xp_110,110,SVM_RBF,seed_1,0.9270795606639215
0.24623115577889448,0.8571428571428571,0.9512195121951219,0.8135593220338984,0.9325044404973357,0.8347826086956522,0.8083623693379791,0.9556343047196706,0.8937456508781207,0.051570721105569074,0.1923724769197979,og_xp_110,110,SVM_RBF,seed_2,0.9347423858115289
0.20100502512562815,0.8482142857142857,0.9334811529933481,0.76,0.91651865008881,0.8016877637130801,0.7816954387076338,0.9398360785555908,0.8996682528530312,0.04817545709872166,0.18595214011889372,og_xp_110,110,SVM_RBF,seed_3,0.9346368515051205
0.24623115577889448,0.8214285714285714,0.9534368070953437,0.8141592920353983,0.9271758436944938,0.8177777777777777,0.774865378523915,0.9371040544821032,0.8785265801092048,0.05547077379959641,0.2086714683307167,og_xp_110,110,SVM_RBF,seed_4,0.932931127854649
