representation,n_features,classifier,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,youden_j_mean,youden_j_std,f1_mean,f1_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,accuracy_mean,accuracy_std,brier_mean,brier_std,log_loss_mean,log_loss_std
og_xp_110,110,XGBoost,0.9451250070994297,0.0026984036931052106,0.8946047027558928,0.0036106731225758176,0.7876331913308494,0.00739133475598243,0.8191259983800154,0.006071617596360797,0.8399597812097811,0.00798881006930935,0.9476734101210683,0.003802414410429577,0.8011033983167299,0.011443225162081006,0.926323268206039,0.002833023380089078,0.050561829060316046,0.0010534616665414797,0.2053519569007975,0.007730460497973266
og_xp_110,110,RandomForest,0.9418779485045944,0.0013764734997875532,0.8869120833871987,0.002780557664285441,0.7947855555539561,0.0052965049683888574,0.8283340180804041,0.0035570063516125764,0.8422844272844273,0.008247059743545495,0.9525011282695288,0.004057235526532632,0.8163309682892003,0.012083089512965573,0.9306571936056838,0.0020767944363191443,0.05452033842759809,0.0009881630431507835,0.21751419354080856,0.014009086966320779
og_xp_110,110,SVM_RBF,0.9386066838217173,0.0016914618028292948,0.8804633309554051,0.0038249640995710473,0.7761760141565344,0.007784445250708381,0.7994505215577139,0.008762363879813053,0.8419256756756758,0.01305781936913715,0.9342503384808587,0.009018870608234109,0.7631093123976388,0.022327725631815794,0.9159502664298401,0.0053409500909198685,0.05592305419742738,0.0014192611114509023,0.20800406556804757,0.004239635361986607
chebyshev_5_L2,5,SVM_RBF,0.9273705940951785,0.0016112203793080422,0.8750127021630398,0.004720488660103799,0.7785236591636332,0.005150714602068163,0.8111994645158912,0.005571639269293154,0.8335070785070785,0.004905328441160474,0.9450165806565549,0.00369616131659805,0.7915244607308155,0.01050803992175299,0.9229129662522203,0.002817140853373672,0.05375561508730485,0.0011519625828898524,0.20600054912225793,0.00339053127657872
chebyshev_10_L2,10,SVM_RBF,0.9241227183240998,0.001963006767976706,0.8661881906467801,0.0021800142248568372,0.7685151213812448,0.006018851509695614,0.7960085460415884,0.007350978271793281,0.8331547619047619,0.004632754322242516,0.9353603594764829,0.004705535006186319,0.7638339476457344,0.013011492874253485,0.9150976909413855,0.0037295478384899144,0.05781932222768428,0.0012530006867816125,0.21678517841217623,0.0029136597789422894
og_xp_110,110,LogisticRegression,0.9230293100887208,0.002913372084885049,0.8663169454320258,0.0036476042959525533,0.7688378589940753,0.009764834529800575,0.7987586125681501,0.008611487649909587,0.8309990347490347,0.007622749784683862,0.9378388242450406,0.004602158735162742,0.7709105282910969,0.012826991665410743,0.9166607460035523,0.004289764559865711,0.07066967858570537,0.0022134481027038535,0.27660966642600304,0.00787516028111879
chebyshev_10_L2,10,LogisticRegression,0.9202649807374067,0.0014746527153105375,0.861597567905968,0.0016318431620986741,0.7846303719954701,0.004567139415608307,0.8214957208415969,0.006373575501841715,0.8329697554697555,0.0032709893704993176,0.9516606165257148,0.004217986172729317,0.8113113675502438,0.012324205798311014,0.9281349911190053,0.0032603452714931543,0.07216217628893203,0.0004224286097880163,0.29279795559246075,0.0018561316508496322
chebyshev_15_L2,15,SVM_RBF,0.9193949339454411,0.003440775714810576,0.860602102605213,0.0043644227691425974,0.7619776066309091,0.0061859115546355915,0.786643054322439,0.00954829346553471,0.8329552767052768,0.006128324293236261,0.9290223299256324,0.007718715530036681,0.7472602461400879,0.01990042737212178,0.9099822380106571,0.005519125163305839,0.060252646328042905,0.001710111471034178,0.2242419024340309,0.004562989694837745
chebyshev_30_L2,30,SVM_RBF,0.9190710213754137,0.002792204373865108,0.8556183812009233,0.006125180697668422,0.7588376684869238,0.007500320410415607,0.7772973259040435,0.006079934188323781,0.8377927927927928,0.0063231820024244045,0.9210448756941311,0.00287763108475938,0.7261823401776996,0.007290213930815658,0.9045470692717584,0.002866726141701841,0.06239330073793631,0.0015073892419873519,0.23011086495317232,0.004705095061739233
chebyshev_25_L2,25,SVM_RBF,0.9188824915524677,0.002655194101905861,0.8563749400605449,0.007547666631338365,0.7606237647339525,0.012387657930366641,0.7802890279142335,0.012332152726952633,0.83744851994852,0.0072298974999802845,0.9231752447854327,0.006302341797686447,0.731916010435349,0.017121031224106152,0.9061811722912966,0.006119686295860303,0.06202468002565896,0.001840008704420195,0.22973129445637225,0.005762218093665475
legendre_45_L2,45,LogisticRegression,0.918207147804331,0.004003888248538863,0.8628797861787992,0.0046851570236622385,0.7737443422690562,0.00786067169916348,0.8081060363145115,0.007080208748275689,0.8290347490347489,0.00797229011516253,0.9447095932343073,0.004509271747790497,0.7899991811210725,0.012802561378569596,0.9217761989342806,0.003475787293585741,0.07196942252967276,0.0027608627756233613,0.27947098907389967,0.010903965775542458
chebyshev_30_L2,30,LogisticRegression,0.9180946143303148,0.002869450180799758,0.8607468656505743,0.0027318513059118314,0.7783992192294049,0.00678716998397712,0.8132615632220809,0.00568297689769512,0.8311695624195623,0.006948856240021558,0.9472296568098424,0.0033733203189628873,0.7974705446956956,0.010288782861802855,0.924227353463588,0.00265863485934824,0.07227504332710433,0.003100914934311479,0.2845593148556129,0.013376723895173392
legendre_50_L2,50,LogisticRegression,0.9180838565003793,0.0029796617985425066,0.8609076541020082,0.002884144736604669,0.7698258284501,0.007499568608092813,0.8037099264194156,0.009229764736297458,0.8275981338481339,0.005720475059618301,0.9422276946019661,0.006417856696855753,0.7834527778930747,0.01726163543259858,0.9195026642984014,0.004993615173230727,0.07284162585381979,0.002950214811259278,0.2823275105912468,0.011791494508108057
chebyshev_40_L2,40,LogisticRegression,0.9180151718380187,0.003456905368564686,0.8589263556121622,0.003128652681602873,0.7763271780930425,0.004805404228009655,0.8093458462619078,0.005887521187280369,0.8317101029601031,0.005733320545627238,0.9446170751329396,0.004495484222044113,0.789719428199182,0.012926831588690867,0.9222380106571937,0.0030853415686258653,0.07291762876151052,0.0027510725601364613,0.2857165190631846,0.012351216286060547
chebyshev_25_L2,25,LogisticRegression,0.9175953914290306,0.0024542130329187222,0.8590815327858804,0.002480123252188735,0.7774092170447124,0.005561046828677804,0.8088893413880209,0.00570539749345161,0.8340331402831402,0.005832302101119821,0.9433760767615722,0.003989712942758074,0.786717664653682,0.011472885016456538,0.9217051509769094,0.0029255505632553767,0.07346991881537945,0.0021708528169404172,0.28906015159646886,0.008961795335036602
chebyshev_50_L2,50,LogisticRegression,0.917412301619079,0.003083570617254886,0.8558536341915828,0.0037122083080671606,0.7743102999675415,0.005551537006137644,0.8043085628193886,0.007269020324740685,0.8336808236808236,0.004397164149286852,0.9406294762867178,0.005023448039641752,0.7785618831826735,0.013461376215642848,0.9194316163410303,0.0038472467094215514,0.07489708130396135,0.002079594925462886,0.2928292622341775,0.008017366447536936
chebyshev_35_L2,35,SVM_RBF,0.9174097597138824,0.003496182745136648,0.8544520243677027,0.006563552340427309,0.7576934301656404,0.008135117287606193,0.7795237149601986,0.0076014290077610226,0.8335022522522522,0.010351972499031388,0.9241911779133881,0.006695792806328404,0.7338986467963293,0.015537634835380123,0.9062166962699824,0.00440522800183263,0.062254668832055396,0.0015188084587701004,0.23051161191468766,0.0049470443343921046
chebyshev_35_L2,35,LogisticRegression,0.9172971386413001,0.002821291053020807,0.8596663461520742,0.0023416675288007783,0.7770212968497018,0.0032675716198634353,0.8114805859865335,0.005312214100378837,0.8308108108108108,0.006188683412195141,0.946210486038891,0.0051331247250964085,0.7944405711250019,0.014468354977536586,0.9233392539964477,0.003140966189250051,0.07218720243813567,0.00321529381010076,0.28259023528682053,0.014392557255860762
chebyshev_15_L2,15,LogisticRegression,0.9171005844740467,0.002592516615076711,0.860279515446029,0.003011410020414394,0.7774085429934772,0.0043030979820321245,0.8102465276574338,0.007370933266667583,0.8326126126126127,0.0039735896971836715,0.9447959303808645,0.005471002992542929,0.7903549234244405,0.015470970944469269,0.922557726465364,0.0039344577207427525,0.07365034640108621,0.001998218348338651,0.29155182712799416,0.007864214076941727
chebyshev_45_L2,45,LogisticRegression,0.9170796138193074,0.00402547436193373,0.8570720422771088,0.0037337775158383666,0.7733755242750494,0.006046752420991871,0.8028965492111236,0.006019632020507694,0.8336776061776062,0.005735610996969627,0.9396979180974432,0.003869589554722515,0.7758574957229674,0.010925890729601824,0.9186856127886323,0.003021046999950351,0.0741680637688369,0.0028905111164234773,0.2897451358503026,0.012035862527716878
legendre_45_L2,45,XGBoost,0.9170158308885915,0.003616577311757997,0.8521735025888691,0.0046779995937674046,0.7218336490101545,0.006435886901690099,0.7589387275564763,0.009057287678514023,0.797286036036036,0.008875100444382444,0.9245476129741185,0.008150903138336444,0.726460992760988,0.021439578907299053,0.8993250444049734,0.00540877770936463,0.06571957260370255,0.0013223462759351953,0.2832959662723452,0.00726579012750347
