threshold,sensitivity,specificity,precision,accuracy,f1,youden_j,roc_auc,pr_auc,brier,log_loss,representation,n_features,classifier,split,best_cv_roc_auc
0.20100502512562815,0.6396396396396397,0.838495575221239,0.4930555555555556,0.7992895204262878,0.5568627450980393,0.4781352148608786,0.8013832416487284,0.5271657185492012,0.12440515959645966,0.39965782429120206,chebyshev_1_L2,1,LogisticRegression,rep0_fold0,0.7874165652571757
0.17587939698492464,0.6936936936936937,0.7278761061946902,0.385,0.7211367673179396,0.49517684887459806,0.42156979988838383,0.7589691461372877,0.42250285040264907,0.13996461057535117,0.43912960900982756,chebyshev_1_L2,1,LogisticRegression,rep0_fold1,0.7969528292181319
0.18090452261306533,0.7321428571428571,0.7450110864745011,0.41624365482233505,0.7424511545293073,0.5307443365695793,0.4771539436173582,0.7866051631295534,0.506351196730709,0.12775481185914342,0.41032394856392784,chebyshev_1_L2,1,LogisticRegression,rep0_fold2,0.7911177024646667
0.1708542713567839,0.6964285714285714,0.7405764966740577,0.4,0.7317939609236235,0.50814332247557,0.43700506810262896,0.8050166297117516,0.5059152498350311,0.12833874886854746,0.4076025449443604,chebyshev_1_L2,1,LogisticRegression,rep0_fold3,0.7859867716274772
0.18592964824120603,0.5892857142857143,0.7982261640798226,0.42038216560509556,0.7566607460035524,0.49070631970260226,0.3875118783655369,0.7984043395628762,0.5144665791023014,0.12548849266771103,0.40471552471692007,chebyshev_1_L2,1,LogisticRegression,rep0_fold4,0.7886850902497852
0.15075376884422112,0.8648648648648649,0.8429203539823009,0.5748502994011976,0.8472468916518651,0.6906474820143884,0.7077852188471658,0.8983895399824604,0.6724888850007998,0.1062646251656062,0.35128059668734746,chebyshev_2_L2,2,LogisticRegression,rep0_fold0,0.8560303732941449
0.15075376884422112,0.7207207207207207,0.8252212389380531,0.5031446540880503,0.8046181172291297,0.5925925925925926,0.5459419596587738,0.840648170294188,0.5568653983114034,0.12563809967039005,0.40461228140452005,chebyshev_2_L2,2,LogisticRegression,rep0_fold1,0.870854795472135
0.15577889447236182,0.8303571428571429,0.8093126385809313,0.5195530726256983,0.8134991119005328,0.6391752577319587,0.6396697814380743,0.8747426354133672,0.6457508898631025,0.10955535578368572,0.3732200037825528,chebyshev_2_L2,2,LogisticRegression,rep0_fold2,0.8628255644214752
0.15577889447236182,0.8303571428571429,0.8425720620842572,0.5670731707317073,0.8401420959147424,0.6739130434782609,0.6729292049414002,0.8742279062401013,0.6360108729929779,0.11148973796580548,0.369940130275345,chebyshev_2_L2,2,LogisticRegression,rep0_fold3,0.8614373978428919
0.15075376884422112,0.75,0.8070953436807096,0.49122807017543857,0.7957371225577264,0.5936395759717314,0.5570953436807096,0.8326734241368388,0.6228404109500363,0.10956155830988351,0.3695890033476844,chebyshev_2_L2,2,LogisticRegression,rep0_fold4,0.8713915452833824
