source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013
1792620565667968,0,0.5296516829494582,-0.747113661329118,0.3743033974862699,-0.14048341876837137,0.03724100936353879,-0.0020075489244924566,-0.005650542737016627,0.0029176011463031264,-0.002477061046304449,-0.0009470794076467844,0.0012480202329212303,-0.003108049249492566,-0.0012961122770395815,0.000594308266948855
6052403489630720,0,0.518294938599417,-0.7452026784787011,0.3860638184453891,-0.155328146062375,0.051387106202973695,-0.010348786066120831,0.0015047676398253719,0.002082551256416211,0.0005246807615741365,-0.0014429195908858146,0.005488759137214918,-0.006611798894613976,0.0054624824794467725,-0.0032936230915406755
10844075163628928,0,0.618073239506744,-0.7420187327440714,0.251309087082328,-0.051235329636257716,-0.028559910968268064,0.014293479937879255,-0.018424945386872005,-0.0015573506059845372,-0.0005064857626053455,-0.009443762847938679,0.00592582703475516,-0.0027151194291380625,-0.0028913799808957313,0.010497142966209714
11015044926034816,0,0.5833793233724884,-0.7308610541151259,0.33673814733292295,-0.09026016348917087,0.03663639529582969,0.005985570276818335,0.021074985247624106,-0.001854943342602319,0.029308637698111848,-0.009751741453140304,0.029225553191592375,-0.009175155647241485,0.015884899872097243,-0.0009056144546346419
11963171843658240,0,0.6066171993037837,-0.7296577924441336,0.30345400972686626,-0.08201783803267554,0.022221952375745733,0.0029699103823121777,0.002078917654517758,0.004339808919765799,0.005806210377493441,-0.005719375843216571,0.011572602038353011,-0.008350542957740152,0.0024591836184944004,0.001377924416131278
16615171179593088,0,0.6907685025148491,-0.6862154102001957,0.21974675097729707,0.0026606301133274995,-0.010260261666968178,0.018586802751818902,0.019694447825428483,-0.011807988573742966,0.03401039976964357,-0.021688973640421515,0.02896217587190308,-0.011827152598624314,0.004896383749396632,0.006614267190149944
25501939551450880,0,0.5619610018632357,-0.7494339402973842,0.33321884257579854,-0.09993396035158003,0.010739203957801443,0.008075608798227489,-0.0022793633853816515,-0.0073504983664378284,0.015619639917878002,-0.018522506999961726,0.019549938655716637,-0.015060781993566719,0.009294816912582802,-0.0021816185381156425
30269452033850624,0,0.5481802522568276,-0.7421171447233658,0.35486531614623457,-0.14141493110820252,0.04740360020672105,-0.014419530980811364,-0.0004480011175749425,0.0036246936351469416,-0.003594431198159563,-0.002362168816698916,0.007364211210958731,-0.012209575032972719,0.009607763242485455,-0.007106453632742427
31265029748469120,0,0.5459501039131289,-0.7460002842988906,0.35638997774333175,-0.13037854589385495,0.030462989937618076,0.003073406385168486,-0.013182076952687995,0.012631754910292703,-0.010066891981403724,0.0048273765893780095,-0.0002375003496661914,-0.0026700309950377513,0.0023841509915502068,-0.0011810603284587386
35928500943041152,1,0.6354377867983457,-0.7147466725261913,0.27755836662683486,-0.07015232479194801,3.143604706212421e-05,0.003516762947440907,0.008297071311722146,-0.021427819803808593,0.029216595196739806,-0.02978215921351462,0.027325581842596883,-0.01803073823818009,0.0064821488864091545,-0.0011209632426574753
