source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010
1792620565667968,0,0.5299976524749411,-0.7467721989829595,0.3747186803277096,-0.1398483253961151,0.03754059480908034,-0.0012189576640918047,-0.0053220451798976585,0.00389578751230118,-0.0020618232321901807,0.00044106853114666053,0.0018435282571003628
6052403489630720,0,0.5189946535891932,-0.7452666440366577,0.3858841712566849,-0.15388273128168584,0.05030948994353348,-0.008319621278778586,0.0001112732636972175,0.004590716096819723,-0.0012318710830680714,0.0019720237418178227,0.002989297973762419
10844075163628928,0,0.6181481658560418,-0.7419011228134701,0.25180471313407865,-0.05134862039894024,-0.027916990262989615,0.014167546384097627,-0.017681297489809275,-0.0016227018319464436,0.00042159723975077626,-0.009229998173496087,0.007250163787855629
11015044926034816,0,0.584417489361838,-0.7319899340774821,0.33503469824243437,-0.08840895921117607,0.03330281384968783,0.00856901461994237,0.017097554569607674,0.0012786091062443217,0.024316632850195644,-0.005411238855652347,0.022033943531550082
11963171843658240,0,0.6074675789286497,-0.7292012425243436,0.3035053905306154,-0.08028358493468803,0.021722039035932426,0.0051169701202005945,0.0014540628696422086,0.006996314776000352,0.005025751424427406,-0.0019718307525767448,0.010462933821426192
16615171179593088,0,0.6919053177452155,-0.6856415693900367,0.21927628571033608,0.004988649864147216,-0.011359701941705143,0.021285631755335696,0.01848824514398582,-0.008512566046694831,0.032514330799876694,-0.01688370722778326,0.02677783195337075
25501939551450880,0,0.5635945744355072,-0.7492990731142373,0.3328542865670672,-0.0966374243643475,0.008741796733803495,0.012366218556689327,-0.004671989713822575,-0.0021618539064754976,0.012692882604456456,-0.011339687289539794,0.015354008427689705
30269452033850624,0,0.5496226416092713,-0.7421083079258854,0.35447231689181974,-0.13859551982643528,0.04549506675656574,-0.01059859217833478,-0.0029120307788568444,0.008366782261084903,-0.006707845409119686,0.004055733742669927,0.002968364697722772
31265029748469120,0,0.5461980253731635,-0.7459780219322864,0.3562249907432779,-0.1297724303323642,0.02996688631147797,0.003892130149923326,-0.013802526620749801,0.013638487093307922,-0.010841808192247605,0.006195022354691381,-0.0013326805923609241
35928500943041152,1,0.6377521299212225,-0.7139465091401258,0.2775403880477693,-0.0660998493176571,-0.00139544822477531,0.008504962103937325,0.006673967636734037,-0.015412825162836706,0.027261529077758667,-0.021370138390647792,0.02446412328088413
36876009385300352,0,0.5936864974462698,-0.7437927261372613,0.28912122080634967,-0.09493105245639415,-0.0007313874224944885,0.004516076716034278,-0.02796088944348877,0.013277549926843156,-0.023947163377286577,0.007533029915722727,-0.009822959519484595
44951132016854016,0,0.6998882566924212,-0.6893776545159181,0.12712144797645972,0.053416340106562356,-0.08036194123080412,0.029395892436297963,0.0044451151607161135,-0.032278753741144944,0.05528537188762179,-0.04265653284031823,0.05139864250221416
46608061680943872,0,0.6772214361131901,-0.7061295970989316,0.1985086288921162,-0.015396362738301748,-0.01904778098214288,-2.7139472978755515e-05,0.011325749518710283,-0.02369949500861397,0.026832810735287985,-0.027468606110001216,0.024127026820371593
56252977678408192,0,0.587220960261854,-0.738133409967496,0.32156024509479325,-0.06662894638666182,0.009101695319044865,0.016337098507183227,0.014241907029434358,-0.012217736844222078,0.03116779149319528,-0.017003711846143767,0.022973922151622986
63139734399542528,0,0.5977667678823559,-0.7316822042275029,0.3122438939728513,-0.0939074493373155,0.026368079752102362,0.004513536195828183,-0.002198738390547897,0.011651386582267453,0.0010421269665281123,0.0008002286118337986,0.011967521666800946
64368713521485568,0,0.6095026727657977,-0.7377940464770788,0.2813600412975611,-0.06319860598661799,-0.007873582613911644,0.00901735375340238,0.00047618479711522587,-0.011790659043961258,0.01527641498308823,-0.01622761639629839,0.015153992329573629
69784942159807232,0,0.5825994832649604,-0.7391067630458507,0.323690073496793,-0.0880298488820177,0.01854352029126424,0.017986502798870537,-0.008624048797733375,0.025602526330817835,-0.008434832701948837,0.01746118288568635,-0.0011124901554750678
69886853143994496,0,0.6341794784203574,-0.7273134312795104,0.2536017733568257,-0.022014993906407914,-0.017946658829512272,0.02108800924464475,0.015079332417694782,-0.015209033339400829,0.037263487570534944,-0.0203395449132707,0.031706311248020425
74703607425569024,0,0.5665660477397705,-0.7483955434005323,0.3295395677835907,-0.09619970298888787,0.013734157720040212,0.0022676321441418893,0.006736309135249563,-0.012348156402739925,0.018105689527469424,-0.012819887365072837,0.01313487724197309
78846635958426496,0,0.5645569809894553,-0.7523475221077327,0.324997701690797,-0.08881005758512725,0.0015259470560089023,0.008546967054607044,0.0011045709240786056,-0.016133568129212596,0.021649383901309376,-0.023777800242633134,0.019155101054586895
79376016447500416,0,0.5313984542201515,-0.7435480222725553,0.37195366646615047,-0.15351447301208443,0.05098840288425749,-0.012879192677756399,-0.0029843520606844423,0.005350359699758675,-0.004283079159129391,0.0008966215225146407,0.0036641191465163004
80762260092162688,0,0.5858865656558885,-0.7472733668100904,0.30368115680996827,-0.07121667991691982,-0.006105333031855613,0.012977052131559455,-0.0011339529218262446,-0.010180405815779616,0.016491066830803505,-0.015003050039430994,0.014755834760161913
83757226686850816,0,0.5459522285022441,-0.7478635920410078,0.3536326546216188,-0.1272181196958852,0.03445056718159069,-0.00711696972116714,0.0034966685366295855,-0.005105843226960217,0.00610759373134246,-0.005143402881198751,0.007494067108091259
84006403509432192,0,0.6078879824223967,-0.7407718873904464,0.27735456593919294,-0.05119470725863148,-0.018964404646141433,0.016614152644268916,-0.00038980633748108965,-0.014047958417368972,0.02267032209985748,-0.020763342587233346,0.02011274928883485
