source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016
1792620565667968,0,0.5293746256978598,-0.7476960576926744,0.37339260750724174,-0.14079207421044643,0.03607044987224393,-0.002280322175717215,-0.007025052141805998,0.00259691304600567,-0.004153030918396903,-0.001350382032779136,-0.0009339946817801472,-0.0036480714793097153,-0.00446015424193377,-0.00021427296107177988,-0.0065485676372492195,-0.0018336082188906433,-0.002618057176828914
6052403489630720,0,0.5182702701152758,-0.7451328885234901,0.38615648867945795,-0.15538817575282104,0.05156542353497103,-0.010450830598764864,0.0017217926633702107,0.0019586153021537525,0.0007901216046003471,-0.0015970869010171554,0.005839128528457055,-0.006816906878213048,0.005998781983601322,-0.003603081868757113,0.0013534147213916002,-0.0007030862188103094,-0.0007340761963830897
10844075163628928,0,0.6180010882568596,-0.7422803150072741,0.24927034061182923,-0.050152101556444985,-0.03134808015547064,0.015642822094970102,-0.021619536423492788,7.255464491847845e-06,-0.004365457011576963,-0.007500579768048954,0.0009218528651622577,-9.908849803011092e-05,-0.010099222721493314,0.014453186395062743,-0.014340838460485688,0.008923951652754626,-0.008745710149851602
11015044926034816,0,0.5831763635708076,-0.7300832982461227,0.3376205344028146,-0.09046463089926285,0.03809850170545495,0.005594615932173731,0.022796327815999745,-0.002304727541605178,0.0314044735668567,-0.010303172849074256,0.03196296905840901,-0.00991813018399158,0.01985447792217938,-0.002040858740474525,0.007941462443114833,-0.00257656525143219,0.004897353296362714
11963171843658240,0,0.6064796176933027,-0.7300113591639552,0.3029133766902473,-0.08220487533170799,0.02154773453013833,0.0027856951151789128,0.0012941761597799644,0.004121761540399473,0.004849035325733553,-0.005995143564344319,0.010325942012954102,-0.008719390166285701,0.0006466140339134672,0.0008277242281229084,-0.0037690202502578176,-0.0012480954231011319,-0.0014249599971042873
16615171179593088,0,0.6907706820995118,-0.6868700189023553,0.21835766310752716,0.0028123275688520487,-0.012066650090234712,0.018775235572629206,0.01764539759808982,-0.011623897915705476,0.03152037405551208,-0.02146672232503324,0.02569965831955357,-0.011510159151462203,0.00012631138993306326,0.007118600163903363,-0.009873302982472371,0.0011259069451877613,-0.004015536807683014
25501939551450880,0,0.5622049513962479,-0.7496154181513421,0.332813968658052,-0.09936201552786712,0.009906580025344405,0.008850229391795816,-0.0032593878994342713,-0.006451278490090543,0.014443932275910737,-0.01740800210551387,0.018030418168674834,-0.01356020818078643,0.007140949783436501,9.461385671644098e-05,-0.003881677419344574,0.005165418840323005,-0.004718909917684025
30269452033850624,0,0.5481674416127637,-0.7417208462638689,0.3554088984037715,-0.1414701765824255,0.04824650993267463,-0.014587912872971929,0.0005647160230272126,0.0034099328987239794,-0.0023555989348530526,-0.00262571742053249,0.008975390728089115,-0.01255523011190856,0.01197241643248556,-0.007633875050279722,0.005156568466685296,-0.0012074723565236177,0.0007543909399843591
31265029748469120,0,0.5459585444682273,-0.7459094470529031,0.35654944401985206,-0.13040475862443277,0.030702547401241714,0.0030162479739236077,-0.0128976804830811,0.012562362922975297,-0.009720576023609814,0.004742614263191803,0.00021739072620233793,-0.002781652546804175,0.0030734664654453606,-0.0013492329256870887,0.0016907224851051075,-0.00038172614948630613,-0.0007158232402546646
35928500943041152,1,0.6354280359081503,-0.7149590507090093,0.2772077087532443,-0.07015755036022929,-0.0004500257397211297,0.003537217362085204,0.007741999712193212,-0.021411769997552756,0.02854541255423517,-0.029763036852119788,0.02645711505911791,-0.017998207948714227,0.00526229857851303,-0.001063802175483676,-0.002103181531862032,0.00013039089677683904,-0.0030979412030788145
36876009385300352,0,0.5939311800747802,-0.7437720100440655,0.2870007769398845,-0.09296077131827438,-0.003935529493756445,0.007033773519971565,-0.03174942183704868,0.016270140567557108,-0.028610643076707697,0.01121354559545623,-0.01613341010615816,0.004431568297924204,-0.011496998888612598,0.012041120845982236,-0.009821369696436807,0.010003970540307005,-0.0014653645033542932
44951132016854016,0,0.6951873583650705,-0.6902586399618911,0.13045683850089204,0.04468526631343826,-0.07454807017761872,0.0197697128510621,0.01024415001100224,-0.04352488452527819,0.062108684585913114,-0.05874385875022628,0.06152083417410445,-0.03716713877794056,0.02382733265237066,0.0022914306940558906,-0.0012036432871464402,0.01479835836854913,-0.0051186918839341514
46608061680943872,0,0.6758707258119409,-0.7069422939074758,0.19777053585795482,-0.01752565565651707,-0.019444751232878806,-0.0025130448418291154,0.010822241768635945,-0.02684797115245213,0.026217361084122474,-0.03237633229823334,0.02340622895450024,-0.013995729118811797,-0.00035911265085379753,0.011941453037292653,-0.007183768886055795,0.00945842434511866,0.005056570673793738
56252977678408192,0,0.5859523341238094,-0.7391090054968428,0.3206300738722428,-0.06903022140463118,0.008735780732762318,0.01342998736985057,0.013821725568513531,-0.015746095427984618,0.030666460117564825,-0.021986922383014654,0.022511162477983005,-0.011040001915364975,0.0007045162186699938,0.002057378232876694,-0.006952340925915926,-0.0020693662479470804,-0.0018518275884422182
63139734399542528,0,0.5939715302216623,-0.7287709953235497,0.3167674818704834,-0.09998658240525225,0.035538271450611274,-0.003839933089106743,0.008873824837059568,0.0014395270126949633,0.014696367550669788,-0.012738431081697331,0.030390806254562645,-0.02482699291705538,0.03339202992361457,-0.016780867056409132,0.02736721845209814,-0.007236132630977028,0.01664300603764835
64368713521485568,0,0.6080718348323961,-0.7390006832071658,0.27999877155481057,-0.06565943128901934,-0.008846584709046116,0.006080544643746042,-0.0006590313413223757,-0.015401883457630959,0.013884101994644776,-0.021416326872311705,0.013422883207744781,-0.012025951436800837,-0.0018518737484954518,0.0028136466230132256,-0.007576987363910637,0.0026852810064518754,-0.003328863351120861
69784942159807232,0,0.5847869706514801,-0.7358374546527997,0.3229462504480069,-0.08039126667472299,0.01571867732529549,0.027298882832307914,-0.012072889005987061,0.036835276159330195,-0.012624864067568567,0.032152029235660635,-0.006440397915890422,0.02452967666823869,-0.007254475481875032,0.024249898598780448,-0.014256008063312195,0.01881179980085954,-0.01677433448012376
69886853143994496,0,0.6339144245652791,-0.724286939816671,0.2577727361716917,-0.02217212965615299,-0.01206566977348164,0.020666320233411584,0.021748562237738283,-0.01567051370585195,0.04548279414709811,-0.021467101955397836,0.04316664692821476,-0.005963175381700778,0.02243613921385055,0.012085232964218246,0.010485393910782157,0.008945076816085017,0.007966879757782748
74703607425569024,0,0.5667188881177727,-0.748684229335222,0.32870653173304903,-0.0955565068127915,0.01235146123301379,0.0031155405256637738,0.005128100795760661,-0.011447521279716662,0.01615210389860079,-0.012009356129897139,0.010552388536728356,-0.001478801568073049,-0.003929303798442967,0.012095846891097016,-0.0077109229435938734,0.007832304750173812,-0.0013345878987018735
78846635958426496,0,0.5618562216455573,-0.7533142938650526,0.3238936040719443,-0.09362216165658639,0.002201902881384896,0.0025040956776219443,0.0019015101296312661,-0.023413542728729368,0.022572666555598742,-0.03391971763386862,0.020655422983485446,-0.021466194347358872,0.004377651455886203,-0.003567022915506961,-0.0035687176518766277,0.0022783531482173706,-0.0016509717722992653
79376016447500416,0,0.5302980253091442,-0.7430434360060184,0.37276480166496795,-0.1556883340355904,0.05338871077035696,-0.016023927580277326,6.715264353095912e-05,0.0014292927497418426,-0.0004847602153743427,-0.004424607055554652,0.008868812672919455,-0.010271708856308303,0.010013701943912729,-0.0051576562817754286,0.005231326924261412,-0.0003966845416477183,0.00323388316985584
80762260092162688,0,0.585580754272151,-0.7480565402320976,0.3018649556435941,-0.07110859769322367,-0.008532220018813905,0.013187737032288788,-0.003930095635931215,-0.010077371471027035,0.013094447397667887,-0.015317220342184351,0.010295508646915436,-0.0038620484100741867,-0.006708088748349645,0.011765852841717828,-0.012346337096172494,0.008365719205327946,-0.00558110413242678
83757226686850816,0,0.5432150382386075,-0.7468315765672714,0.3547877008845086,-0.13199704291152564,0.038815785011077804,-0.013716079904531537,0.008880943421957192,-0.01311968403136098,0.012752150554574173,-0.015862335530469777,0.016507142196599846,-0.019257741400588224,0.01613250838518442,-0.013826906352633228,0.013069360499709637,-0.010522541316878886,0.011231320168652734
84006403509432192,0,0.6071106957285384,-0.741588918008255,0.2760317929368061,-0.05228212623986022,-0.020316016150806537,0.015326115608098526,-0.0019531946104466695,-0.01573125066649016,0.020767147463864467,-0.02352625859569581,0.01768459749047467,-0.00877078740209661,-0.003094962745649944,0.010325325906829549,-0.00916034231261424,0.007241760307122732,-0.0031006070754872497
85707760314515712,0,0.6075853933860933,-0.7302768628018914,0.2993452356405522,-0.0852886560872696,0.020645819517597305,-0.00012052015733435124,0.0031257713213755094,0.0007547139174898899,0.0026876689413269554,-0.003516809657375279,0.006902468222486937,-0.006821951509642154,-0.0018675527401419147,0.0023539235388651803,-0.00814533281467424,6.0204295989238614e-05,-0.005311367918086744
93468972376758144,1,0.5884067154477655,-0.7309245618470317,0.3192703832689926,-0.12649966912896057,0.026956386638815902,-0.016239745874500076,-0.0029701000311147135,-0.013643261867945167,0.0008190985787740572,-0.015190167171146667,0.0018558703155261691,-0.010809018709816206,-0.003849640361626217,-0.0032595110693746134,-0.003253799663184147,-0.003558632373509458,0.002314196564705867
97013488627139328,0,0.5401486639145675,-0.7462223240545335,0.36194569252424064,-0.13023737333383734,0.03582091120017561,-0.009360714227157287,0.008124798384544765,-0.016513082010584105,0.016967721095180775,-0.023764342823126557,0.01780314186039836,-0.020027283914023718,0.008243632597355105,-0.008157045893695267,0.0008874167258615953,-0.003099367761100602,-0.00041394776082877185
99836961472298752,0,0.5411425825582018,-0.7445895107036915,0.3546888132698687,-0.14374408214510714,0.04567989969802641,-0.027591700881326422,0.013421158385958165,-0.02219198223210198,0.016495144455832656,-0.02380748112650799,0.021586426719932172,-0.024067276199070894,0.018706233995224923,-0.015216623930333942,0.01225190542445303,-0.00983354627384931,0.00719121106885863
