source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020
1792620565667968,0,0.529259513812508,-0.747773243384322,0.37329344574409085,-0.14100270350283506,0.03603217534314171,-0.0025516664828324565,-0.007062583718167883,0.0022690260097846544,-0.004202710734466118,-0.001762371194164537,-0.0010012352353801672,-0.004189245786400359,-0.004551573149146919,-0.0009670473719935718,-0.006678046281614363,-0.002996157170401995,-0.002817013858629895,-0.0026787207125620405,-0.000407475699851507,-8.604756875392754e-05,-0.00031058683277418827
6052403489630720,0,0.518373425480339,-0.745227952405358,0.38588813585971155,-0.15503892567174637,0.050979647629065275,-0.009919128291826099,0.0009471004239607068,0.0026329987341741985,-0.0002213966826646178,-0.0007249356083471723,0.004486608903197629,-0.005653765799695806,0.004142321163469931,-0.0019889606755654817,-0.0012820087064399541,0.0016763805685387806,-0.004741899758553453,0.004309138890493199,-0.008025647734269952,0.006212859259371781,-0.007079744565640754
10844075163628928,0,0.6183032334716909,-0.7416388405035955,0.24911027524027912,-0.04888192981459146,-0.031755746892294705,0.017172863467633703,-0.022079194098358082,0.0018663628726142917,-0.004904868238289489,-0.0051325394113643725,0.000245699804798386,0.0030464448754554036,-0.01100242759310362,0.01882691734573714,-0.01561833220778951,0.015520794259598757,-0.010802130201374204,0.013687580703085383,-0.005474197180099495,0.008167988811118704,0.0035307772511040908
11015044926034816,0,0.5825704229064366,-0.730126042284073,0.33744753005500056,-0.0913817241005085,0.03833975055850155,0.004384040782410796,0.023133700478095653,-0.0037888701733943347,0.03184872423304005,-0.0122027897323557,0.03257714627454787,-0.012450529174847342,0.020731408944031176,-0.005564532777451867,0.009209344285200058,-0.00783864810647881,0.006814913732200596,-0.010309995496685294,0.0036489572429840933,-0.009747853761187489,0.0044618333587718795
11963171843658240,0,0.6062201629957465,-0.7300906356127648,0.30288933243373134,-0.08267070601811702,0.021706029840653875,0.0021871591308389843,0.0015203122427030558,0.0033807328975986864,0.005159476513902006,-0.0069434366860425065,0.010757038539786523,-0.009981822306458608,0.0012585173012716585,-0.0009282434851231277,-0.002898535684897069,-0.003863019919632404,-0.00015498931684148606,-0.005062217930389531,0.001982512534482901,-0.005148076136324044,0.005164602231838499
16615171179593088,0,0.6902067546028261,-0.6873209573203725,0.21803629357600768,0.0017996335515399976,-0.012239081633881833,0.017581232334470745,0.01743135639438731,-0.01307284067386414,0.03126325753890527,-0.023323643504476178,0.0253943682232809,-0.013991445998209746,-0.0002460201279922822,0.0036637258193060215,-0.010392323307205652,-0.004034904755670648,-0.004895238435558679,-0.01019355259067182,-0.0026809899682622225,-0.009091744986701993,0.0032133402051868747
25501939551450880,0,0.5624289463425246,-0.7495135176171909,0.33279402591690577,-0.0988394208304728,0.009675247213733359,0.009525054608493701,-0.0035403613814299294,-0.00563973095890297,0.014108112694678264,-0.016382209914501934,0.017599204527637396,-0.01219924302468705,0.006554799112334252,0.0019942727858728217,-0.0047192670292796,0.008060567968938307,-0.006050193810875401,0.006239399919193063,-0.0033071379463024686,0.0023887944649676725,0.0010296823442437425
30269452033850624,0,0.5481709539980166,-0.7417327464704553,0.35539402438145135,-0.14146385961254845,0.04821755622321903,-0.014574052014288554,0.0005243599957117876,0.003430748995591689,-0.0024113142397138966,-0.0025958706393777098,0.008898069781081987,-0.012513277242494888,0.011864013499640298,-0.007576190119600743,0.005002481336651513,-0.001135487936456302,0.0005288603146296156,-8.264061533901912e-06,-0.00035415662437871865,0.000901583687683933,-0.0009081577604572382
31265029748469120,0,0.5460980545704132,-0.7458507321959581,0.3562176736629659,-0.12980318125994206,0.030014732667020518,0.0038454851583644006,-0.013795379691542238,0.013597840863199956,-0.010883919089071607,0.0060696128445348945,-0.001329461008299962,-0.0010197800249238133,0.0009556251203202347,0.0010932675036202655,-0.0013121455047286794,0.0032477010765266196,-0.005288900804036976,0.006911161787126581,-0.009224186224689606,0.007729908171970989,-0.0077303749671929255
35928500943041152,1,0.6356503282952085,-0.7147474939429845,0.2773079280442102,-0.06968128479051561,-0.00042052894778928915,0.004113774953409135,0.007822849422570399,-0.020723025449444422,0.02870507687879908,-0.028893123489461343,0.026714233174428993,-0.016844423038024844,0.005641225702282955,0.0005468130024666131,-0.0015670152419162513,0.0026024708355684052,-0.002424318282991752,0.005528918174080025,-0.00020277065263726008,0.0010338810203669036,0.009310473611135099
36876009385300352,0,0.5943039303243087,-0.7430488780206677,0.2872225399868094,-0.0917574842391965,-0.0038769991329856692,0.00850515615972559,-0.03169543050147128,0.018087342387415054,-0.028536751311098535,0.013539697698557188,-0.01602538237443704,0.007516767251558783,-0.011345764971543203,0.016320935649468477,-0.009603524221135017,0.016412857030377113,-0.0011144743430915088,0.01277573458572957,0.000835252541482212,0.010630275435117869,-6.183997774974547e-05
44951132016854016,0,0.6954384179370248,-0.6891132609598776,0.13130100187335622,0.045733463603087963,-0.07349431864804892,0.02097403157867591,0.011563834677402395,-0.04205961534552933,0.063850443760076,-0.05689880405489186,0.06389172191428814,-0.03475184738719655,0.027117779821011594,0.00563475306250081,0.0034685496683857955,0.019964642545921535,0.001890316967039436,0.011951364574997276,0.01300623483621251,0.00016059101119201286,0.017754565404461985
46608061680943872,0,0.6756941015918787,-0.7063524707113433,0.19864112779217957,-0.017644816880172734,-0.01818689491511137,-0.002668844287894094,0.012343847118733228,-0.027014002004511508,0.028173659336369835,-0.032589544491823545,0.026024137132203445,-0.014307022788388555,0.003251727802564293,0.01147778031930146,-0.002061507017922911,0.008763545188908243,0.012874547854059455,-0.0014558757355368757,0.01619750225705904,-0.0006820586472607562,0.011053396891541839
56252977678408192,0,0.5857077190181348,-0.7393887646523263,0.3202365159438072,-0.06942862489379997,0.008333982077397795,0.012956234828828324,0.013332489298358565,-0.016321082819856687,0.030041759591622186,-0.022719821173348267,0.02169129506877713,-0.012012797326794262,-0.00040419419780222173,0.0007056914086032631,-0.008521451661787463,-0.004115016811225653,-0.004282944039007581,-0.00429595890567969,-0.005362735471131901,-0.0022962503943859437,-0.001718306245048776
63139734399542528,0,0.5936031957142721,-0.7283966465245344,0.3169718222446446,-0.10030688710936525,0.03611133315947253,-0.0043294264467154,0.00960319209439412,0.0008339438672477649,0.01561680027707517,-0.013495957372532673,0.031585769848784265,-0.025822192550678573,0.03501806805269751,-0.018179793147833436,0.029690713133200496,-0.009369917697152619,0.02028320780119258,-0.004463833290454752,0.00822838858530473,-0.002571292382842847,0.0017455000074517836
64368713521485568,0,0.6081658903066571,-0.7389379558589299,0.28001635615763854,-0.06545806127664083,-0.008876641767677464,0.006325953129834487,-0.000678221871790248,-0.015109968929802093,0.013880863344004212,-0.021048591372645583,0.013436534958493906,-0.011539209288696095,-0.0018219374727765168,0.0034933379290307035,-0.007534421546614512,0.003732538044561409,-0.0033192840148708875,0.002387363129471579,-0.0006019869504244506,0.00020009231309999208,0.0032694007570597144
69784942159807232,0,0.5839271428274228,-0.7343001596162637,0.3209978372501013,-0.07862109518948109,0.013407580742961592,0.029368774572484362,-0.014946456072226704,0.0393682878163875,-0.01635190824021862,0.03538157848881781,-0.011413749545173445,0.02880473988610858,-0.014059264498843203,0.030178143295618298,-0.023897523059026152,0.0277750791225857,-0.031490725807294936,0.018724294073081255,-0.030147192886881644,0.010523254713096007,-0.022448114088025994
69886853143994496,0,0.6339494033077888,-0.7237850428545113,0.25816433627688806,-0.02186025639428379,-0.011522444652500352,0.021002220889762415,0.02240857947039579,-0.015263097003157488,0.046329797515064684,-0.020963437376845116,0.04429837503973416,-0.005315375945013265,0.023992295338951402,0.012981416490094717,0.012696196338539268,0.010377304316136622,0.01135606035728019,0.003755204879539732,0.007082011138419958,-0.002209771501161052,0.004478825552326587
