source_id,y,c000,c001
1792620565667968,0,0.5195702961770916,-0.8544277074922426
6052403489630720,0,0.5107066999814179,-0.8597550038203267
10844075163628928,0,0.6016944836410452,-0.7987263288235441
11015044926034816,0,0.5687282071687121,-0.822525517154734
11963171843658240,0,0.5951317366544213,-0.8036281578109944
16615171179593088,0,0.6677432202493943,-0.7443916924650416
25501939551450880,0,0.5468791316804803,-0.8372115714276792
30269452033850624,0,0.5459196565221157,-0.8378375311614868
31265029748469120,0,0.5370379832838855,-0.843558062323144
35928500943041152,1,0.6287989087817387,-0.777567959933339
36876009385300352,0,0.5865900826144331,-0.8098839885924356
44951132016854016,0,0.6760431394864521,-0.7368620451300918
46608061680943872,0,0.6610433911788117,-0.7503476760667795
56252977678408192,0,0.5653266994562409,-0.8248670940714711
63139734399542528,0,0.5882824024074161,-0.8086555601847792
64368713521485568,0,0.593656941952114,-0.8047182334656424
69784942159807232,0,0.56608848531575,-0.8243444830851478
69886853143994496,0,0.6097947353767667,-0.7925593862334729
74703607425569024,0,0.551193056706504,-0.8343777407376953
78846635958426496,0,0.546730414555209,-0.8373086968378445
79376016447500416,0,0.52821779649663,-0.8491089208483471
80762260092162688,0,0.5668501400177431,-0.8238209263922985
83757226686850816,0,0.5363888624752329,-0.8439709640814226
84006403509432192,0,0.5880231226034515,-0.8088441180373919
85707760314515712,0,0.5980517889569289,-0.8014574584626541
93468972376758144,1,0.5934152636143764,-0.8048964684414265
97013488627139328,0,0.5312867522576897,-0.8471920602056398
99836961472298752,0,0.5407947909963012,-0.8411545601322427
100734064176680704,0,0.543300905540087,-0.8395380432352793
101096662495962240,0,0.550097701973391,-0.8351003043249322
102622917779071744,0,0.5489103123871084,-0.835881252903238
102803104542235008,0,0.5202351334128924,-0.854023071095196
107344877838785408,1,0.6062325499464276,-0.7952874294149582
107585292928397568,0,0.5437384633969676,-0.839254719035112
108002248353357312,0,0.5606554012534621,-0.8280492262210739
115962815619380096,0,0.6079661089920116,-0.7939629779259947
116691791828603136,0,0.5555616043567879,-0.8314753777259503
120129277493243008,0,0.5927364423491934,-0.805396492363371
121824174666929024,0,0.6069721585740093,-0.7947230956226248
