source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039
1792620565667968,0,-0.029208020702149375,-0.667909904822054,-0.11722022409285647,-0.7307145159591257,-0.0391466087066586,-0.05651558857694312,0.0037961138296692004,0.024847073543700658,0.000665986164563144,-0.000421527543548331,-8.598313760982114e-05,-0.00028367757653945,1.1287767767389752e-06,2.0914256733198414e-05,4.3664060221298584e-07,4.259067413560793e-07,-3.7108182672805386e-08,-1.0880671603029205e-07,7.779101456453431e-10,4.224838997638957e-09,7.266315316683035e-11,6.975321655237083e-11,-6.088926169847573e-12,-1.2237573658061988e-11,1.338326905417962e-13,3.998075871301284e-13,5.896271670661872e-15,4.114486669136286e-15,-4.3627398300113795e-16,-7.295411365662575e-16,5.172210481863914e-18,1.6345776596783164e-17,4.2981074587083626e-19,5.266504560625202e-19,-1.2653556420904416e-20,-2.6059978351996185e-20,-5.027819688097353e-22,-7.652792878427649e-22,-3.835531333062365e-24,-5.129630753394056e-24
6052403489630720,0,-0.0218517388974102,0.6646555866962959,-0.08913129031180868,0.737951461908322,-0.030625630580708902,0.060457634713694884,0.002793080042100556,-0.0252458504581625,0.000535649682888638,0.00034194620199322123,-6.626819001247319e-05,0.00029622446353507874,6.642116318336059e-07,-2.100318951524143e-05,3.588220531686461e-07,-5.051151901581611e-07,-2.916994683049964e-08,1.1409940423226462e-07,5.417436919803671e-10,-4.247879598291151e-09,6.178597450844532e-11,-8.360604528761059e-11,-4.905572859256956e-12,1.301268048879808e-11,1.002894746405283e-13,-4.092212634140959e-13,5.137310861195098e-15,-5.078552883731459e-15,-3.579120161265443e-16,7.833184947560985e-16,3.786419967598983e-18,-1.682882370264328e-17,3.6452934954669466e-19,-5.848859235610125e-19,-1.0276400879145927e-20,2.775181365802615e-20,-4.256517698152484e-22,8.367801119712024e-22,-3.311637788976899e-24,5.693634926235827e-24
10844075163628928,0,-0.024718428205670977,0.6648210470080476,-0.10051415688792704,0.7361463418605692,-0.034352077600803325,0.05969852985889181,0.0031705619729090733,-0.02515618585934403,0.000597818806325194,0.0003561895141561881,-7.455106601744688e-05,0.00029373886346402883,7.936897275457672e-07,-2.09722859228791e-05,3.9914396193429315e-07,-4.903957040826524e-07,-3.270572795255685e-08,1.1305872965426877e-07,6.214552516661209e-10,-4.240603979653673e-09,6.828400242992563e-11,-8.104190339161824e-11,-5.4756340676968225e-12,1.2863070634812353e-11,1.1349418766162895e-13,-4.0721376122051294e-13,5.655089087114775e-15,-4.901135970424857e-15,-3.9836468666690754e-16,7.730406763047107e-16,4.29953938637889e-18,-1.6728806984035447e-17,4.0318865813007596e-19,-5.73975235400073e-19,-1.1455326071121012e-20,2.7426346935261935e-20,-4.7100928940739025e-22,8.233041133081604e-22,-3.6521661351629406e-24,5.588142981260388e-24
11015044926034816,0,0.005913796542104952,-0.6680101337272971,0.023925505504016568,-0.7408075759181015,0.008098141343435308,-0.060424476453628674,-0.0007658894726514901,0.02533139108257805,-0.00013981693394136686,-0.00034986864515130757,1.770403531308117e-05,-0.0002966016030104932,-2.1788272810661507e-07,2.109351888495965e-05,-9.358941156131915e-08,5.011691456683424e-07,7.757487486406206e-09,-1.142080329909439e-07,-1.5163416574348668e-10,4.265715989417146e-09,-1.571161639780376e-11,8.289582038903308e-11,1.2893102531396955e-12,-1.301151332778885e-11,-2.744121375318468e-14,4.1036779760308215e-13,-1.2964947180850749e-15,5.025843962789322e-15,9.39090386006217e-17,-7.82688815361327e-16,-1.0278739705245126e-18,1.6868355047168447e-17,-9.343639667167117e-20,5.829927493568467e-19,2.695950764675982e-21,-2.774644669226017e-20,1.094965683624539e-22,-8.35006969638226e-22,8.444249984257368e-25,-5.675490621534005e-24
11963171843658240,0,-0.0036162548531238872,-0.6680402071609639,-0.014669147076887103,-0.7410564752690612,-0.005000013117118107,-0.060511386903542,0.0004609626350255031,0.025342904363058808,8.655342379770785e-05,-0.0003483379030045626,-1.0817855426197386e-05,-0.00029689308733260074,1.0528955715830495e-07,2.1098267521180163e-05,5.657778509303713e-08,5.028144139809192e-07,-4.685743612443438e-09,-1.1432931534282178e-07,9.250561105283949e-11,4.266777113341428e-09,9.795259986331842e-12,8.318275269828516e-11,-7.812713577059727e-13,-1.3028753876934804e-11,1.6234607853194047e-14,4.1061279174303936e-13,8.025967137982666e-16,5.0457099182809014e-15,-5.593115441293566e-17,-7.838681025049422e-16,6.407221213957541e-19,1.68803393453046e-17,5.713686305006568e-20,5.842328264056582e-19,-1.6262016197200066e-21,-2.7783994677562455e-20,-6.641966885422693e-23,-8.3654658250136045e-22,-5.1307826906611275e-25,-5.687509315456783e-24
16615171179593088,0,-0.015069589230571195,-0.6667730958170817,-0.061339025736115625,-0.7393942967788758,-0.021011513449745965,-0.060294257223761125,0.0019246917857976386,0.02528264253346379,0.0003660981412686369,-0.00034961741175071966,-4.547013548981673e-05,-0.0002959939976038727,4.527449513308162e-07,2.105451326100671e-05,2.431768844045853e-07,4.998272749563829e-07,-1.9901533603017315e-08,-1.1397138149471206e-07,3.779593386045625e-10,4.257892486271234e-09,4.193597890627066e-11,8.266400917405923e-11,-3.33638188244086e-12,-1.2983484885299603e-11,6.863411516738666e-14,4.09578156311337e-13,3.469162980713893e-15,5.010637875417959e-15,-2.4184579553665383e-16,-7.809483351992829e-16,2.631707486220512e-18,1.6835449599494905e-17,2.4649384763623636e-19,5.815624653006733e-19,-6.97372299715567e-21,-2.768594429047881e-20,-2.874052218412171e-22,-8.3303005045425e-22,-2.2304329533220196e-24,-5.661413501869365e-24
25501939551450880,0,-0.03893677023117652,0.6595417569887473,-0.15839050087487735,0.728955089082039,-0.054170000334084464,0.058698530700745356,0.004990538275128624,-0.024891657483888163,0.0009431741784322482,0.0003630347437941312,-0.00011749461511718136,0.00028966907515927046,1.2350828675770376e-06,-2.0782049041625794e-05,6.293707275091942e-07,-4.7635736402823783e-07,-5.1539425529701446e-08,1.1143479287884129e-07,9.781405705355694e-10,-4.201505279207998e-09,1.0782575988641047e-10,-7.862731005545338e-11,-8.632452455356063e-12,1.2656791466432661e-11,1.7862529641467773e-13,-4.0256334044490047e-13,8.929267538516071e-15,-4.739435499502764e-15,-6.277725559638337e-16,7.597494545813266e-16,6.778368664484035e-18,-1.6525739399145828e-17,6.361429311270859e-19,-5.618331001195158e-19,-1.8057954240904318e-20,2.6981649909407957e-20,-7.429020953423594e-22,8.073838642263989e-22,-5.761549136498646e-24,5.470327906926839e-24
30269452033850624,0,0.007563136929764852,0.6662573502314217,0.030229972043694583,0.7420250536480213,0.010033097763030715,0.06148972611754219,-0.0009825866855615885,-0.025417896341117827,-0.0001695627753301423,0.0003267463401346578,2.205926403330049e-05,0.0002998744979859863,-2.9397649593341774e-07,-2.1097925322479573e-05,-1.1009323871019424e-07,-5.231381663063864e-07,9.450321986433198e-09,1.1559859614457072e-07,-2.0323897322700512e-10,-4.26844584557955e-09,-1.8313454679286586e-11,-8.671692043493228e-11,1.5433123633443268e-12,1.3218057617961641e-11,-3.422476163063537e-14,-4.126775929869221e-13,-1.4786253540900767e-15,-5.2906348177667344e-15,1.098153453510225e-16,7.970699114518622e-16,-1.3393639871888438e-18,-1.6990710616314334e-17,-1.0821763878695526e-19,-5.987057919691536e-19,3.2004109375056998e-21,2.8195551270438165e-20,1.2650731236077233e-22,8.541707524632714e-22,9.62921957481835e-25,5.826969897884417e-24
31265029748469120,0,-0.020917142672903167,0.6651453463656133,-0.08532309078172783,0.7380515469881859,-0.029319345218716136,0.060328807649559356,0.002673579172709087,-0.02524310091817056,0.0005128486464729821,0.00034538745584505593,-6.344024218262232e-05,0.0002958702434803345,6.357046249617591e-07,-2.1010864558550284e-05,3.436052922262398e-07,-5.021432996079973e-07,-2.7928323189733227e-08,1.139441659725958e-07,5.184012323502219e-10,-4.249230829761923e-09,5.916716293318379e-11,-8.308342588228469e-11,-4.697159278349162e-12,1.2987945330872195e-11,9.600837118922195e-14,-4.0905705358635866e-13,4.9201854086319835e-15,-5.04175193213483e-15,-3.4275219097841915e-16,7.815369371695082e-16,3.6236753038056404e-18,-1.681815167333191e-17,3.4910448267568146e-19,-5.828123972503709e-19,-9.840309181225184e-21,2.769743724623317e-20,-4.076508666933308e-22,8.342977714501876e-22,-3.171828992006632e-24,5.673551367084242e-24
35928500943041152,1,-0.06082002835634429,0.6452129768719769,-0.2477612914121364,0.712376972240728,-0.08495238496324847,0.057126198977152515,0.007779509407751202,-0.024315782407348795,0.0014825552235241855,0.0003608091325250534,-0.0001839643632784518,0.00028240166563238,1.8696129100845926e-06,-2.0320334744088475e-05,9.901765276609196e-07,-4.6006760752533663e-07,-8.079311787716412e-08,1.086050883766719e-07,1.5179332198458617e-09,-4.108107016924566e-09,1.7028204092338812e-10,-7.586175996531423e-11,-1.356093041326887e-11,1.2322016703168097e-11,2.786639657521825e-13,-3.9308926980925463e-13,1.4125333189849435e-14,-4.561471039966099e-15,-9.870503272308561e-16,7.390610109938038e-16,1.0572460674886757e-17,-1.6129888127364652e-17,1.0038313681002817e-18,-5.450379775782792e-19,-2.838206331081712e-20,2.626312806004991e-20,-1.1718328199625083e-21,7.841752117240215e-22,-9.103059183646791e-24,5.306385371220919e-24
