source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014
1792620565667968,0,0.5295299775488449,-0.7474987014790463,0.3736838003130518,-0.14055581974217854,0.03637473170004205,-0.0020085835554718196,-0.006673975596925928,0.0029191047911173566,-0.003724593089905099,-0.000947567504191316,-0.0003847205916982116,-0.0031096510455933648,-0.0037115655068984694,0.0005946145557458285,-0.005407101336044399
6052403489630720,0,0.5183217230661024,-0.7450655524099451,0.3862442595061061,-0.15529956385426988,0.05165171656675217,-0.01034688176761236,0.0018203569590079884,0.0020821680424592177,0.0009103186464962818,-0.0014426540766880281,0.005993305575332168,-0.006610582245753968,0.00620888895530188,-0.0032930170261037143,0.0016735775809354086
10844075163628928,0,0.6177450294907652,-0.7425461248550154,0.24990765657624897,-0.0512717453053766,-0.030302159094851306,0.014303639072984606,-0.02042261821939308,-0.0015584574977486147,-0.002930402758204932,-0.009450475031611753,0.0027536440472768174,-0.002717049208676935,-0.007589398269872161,0.01050460384306375,-0.010515034014505091
11015044926034816,0,0.5833629212776285,-0.7303092005713131,0.3373569533286301,-0.09019201046499968,0.03756020788381536,0.005981050733533407,0.022155664979563713,-0.001853542724727099,0.030625661946971645,-0.009744378175196586,0.030958626277356023,-0.009168227733748499,0.018467694949212618,-0.0009049306494932929,0.005810160089682294
11963171843658240,0,0.6065738038435048,-0.7298819544027374,0.30307423920568544,-0.08204303515851184,0.021713304609245487,0.0029708227838994346,0.0014854624930333586,0.0043411421749945155,0.005082489351585138,-0.005721132922362262,0.010625286511181336,-0.008353108371396552,0.0010541773514453452,0.0013783477354458327,-0.0031477317969483324
16615171179593088,0,0.6907281586023567,-0.6867640645929576,0.21870239557497015,0.002662757384702649,-0.011598085528901195,0.018601663582434588,0.018177782858317233,-0.01181742949375824,0.03216621826500266,-0.021706314770458503,0.02653264681931003,-0.01183660884098106,0.0012742630635543804,0.006619555539398843,-0.008119289907978765
25501939551450880,0,0.5619352908016029,-0.7495770269404799,0.3330086502795638,-0.09995304037204492,0.010442851471244805,0.008077150644268026,-0.002623713258200924,-0.007351901769833698,0.015202635019273146,-0.018526043433535505,0.01900322212990348,-0.015063657492823712,0.008482810815639459,-0.00218203506645279,-0.0018221888776764985
30269452033850624,0,0.5482411726162568,-0.7417224835544334,0.3554021673307451,-0.14133972602446002,0.048169122339484026,-0.014411862610672548,0.00046356947600144447,0.0036227660070932465,-0.002479604610236274,-0.002360912604908806,0.008818918542664677,-0.01220308192714897,0.011759074355117898,-0.00710267438937369,0.004828580305197199
31265029748469120,0,0.5459913194498381,-0.7458568415924456,0.35662241243573173,-0.130353476397396,0.030785123231065362,0.003072815423288962,-0.012801526995439292,0.012629326046457324,-0.009603325701755228,0.004826448369942889,0.00036757379670719154,-0.0026695175951371845,0.0032781630799061105,-0.0011808332313734328,0.0020028666034361126
35928500943041152,1,0.6354340310090917,-0.7148041919170702,0.27746769674688704,-0.07015797031524429,-9.171666939108386e-05,0.0035170459596886214,0.008155800386894056,-0.021429544212177055,0.029045611573221778,-0.029784555939126923,0.027100602448432362,-0.018032189265685405,0.006146811299606868,-0.0011210534524128074,-0.0007520440746948199
36876009385300352,0,0.5934439901189174,-0.744311541448908,0.28688350162678483,-0.09419207047635073,-0.0037624923604744932,0.005545494967866282,-0.03152291504944713,0.014499221300050266,-0.028343914258470746,0.009007090830812275,-0.015810992366795427,0.0014918939438191695,-0.011067437244352257,0.007620833745601633,-0.009173663100056875
44951132016854016,0,0.694142233655952,-0.6907993323159876,0.1307500784802077,0.04265166038431801,-0.07381715935173182,0.017542932820443797,0.010910560533456978,-0.04603756549637883,0.06282840626715726,-0.0618786866323995,0.062477201328998914,-0.041435579817104426,0.0252437269837891,-0.004228639354567771,0.0010265959158172518
46608061680943872,0,0.6751954543320364,-0.707681464566356,0.1971159685806707,-0.01876254482186801,-0.020017190214086975,-0.003912780212816735,0.010137370773926542,-0.028491728491662587,0.025373891217652572,-0.03443311963101371,0.022331518600277107,-0.01676339925982708,-0.0018041323709416324,0.007764242223383414,-0.00938305160751015
56252977678408192,0,0.5861006354846029,-0.7389194439811501,0.32085463776354783,-0.06876338430410349,0.008950772463625183,0.01373801949125052,0.014071538065092874,-0.015384025336085062,0.030972458410082348,-0.021534248658892266,0.022901793708413772,-0.010433167161581585,0.001234235894486821,0.002970514420694489,-0.00614535580637618
63139734399542528,0,0.5946897273391476,-0.7297944449977777,0.31584647234415975,-0.09929314225090152,0.03370228232276879,-0.002774533696458439,0.006657833547505892,0.0027177108702182073,0.012003450114138111,-0.011178076446797936,0.02697005209834408,-0.02276166485014765,0.028707942739507858,-0.013624688829364346,0.020162640198860753
64368713521485568,0,0.6079437499188525,-0.7389725355057297,0.2802121689180377,-0.06598154377640608,-0.008457445805759226,0.005679684679164194,-0.0002121842916037147,-0.015865775269584756,0.01442198790311345,-0.02199551768507229,0.014114388818200135,-0.012808366889643742,-0.0008994073953053105,0.00162828550670865,-0.0061223283577731885
