source_id,y,c000,c001,c002
1792620565667968,0,0.44276003951671106,-0.7306133930592014,0.5197765070582561
6052403489630720,0,0.4313463972025544,-0.7287728214807738,0.5318180706701572
10844075163628928,0,0.5575257505397024,-0.7415426016904707,0.37320183193986256
11015044926034816,0,0.5071010396218945,-0.7352984556765766,0.44964954875328783
11963171843658240,0,0.5406291567018437,-0.7316706250387603,0.4151845509881638
16615171179593088,0,0.6359947520334926,-0.7099845377823666,0.30237829203799577
25501939551450880,0,0.48279370755410894,-0.7411916796432636,0.4664173345553907
30269452033850624,0,0.475503465471994,-0.7319577729857933,0.48799003359679594
31265029748469120,0,0.4647945305645984,-0.732366308950992,0.49759987326237787
35928500943041152,1,0.5784074808865699,-0.7166632394327904,0.389664711386791
36876009385300352,0,0.531728325743256,-0.7358310706284367,0.4193061209904795
44951132016854016,0,0.658994293278356,-0.7189833933487694,0.22088323049803646
46608061680943872,0,0.6334320508577752,-0.7199474836218995,0.2836185074578306
56252977678408192,0,0.5065841519093917,-0.741036248208395,0.44072414941260984
63139734399542528,0,0.5308387456682383,-0.7314138058482101,0.42807017031324235
64368713521485568,0,0.543495083370744,-0.7383054840364912,0.39939717900039107
69784942159807232,0,0.5052382992157441,-0.7376409040776646,0.44790641615974625
69886853143994496,0,0.5690026614385842,-0.740897279486946,0.3568013348134366
74703607425569024,0,0.4891069075266826,-0.7424201419236223,0.4578064720772236
78846635958426496,0,0.4852263688325839,-0.7451648456272176,0.45747647352722987
79376016447500416,0,0.4521987378952787,-0.7293217034567128,0.5134258995346028
80762260092162688,0,0.510963491494021,-0.7444256533569107,0.4298217735112732
83757226686850816,0,0.4671436229025258,-0.7372638274922847,0.4880767196383467
84006403509432192,0,0.5386945489749291,-0.7425916997972616,0.3979519447080407
85707760314515712,0,0.5442456950256396,-0.7309643561845304,0.4116888794147755
93468972376758144,1,0.529673799080198,-0.7202157495478592,0.44803453066830207
97013488627139328,0,0.4593617712493303,-0.734826888052438,0.49901523795355945
99836961472298752,0,0.4710252233293562,-0.7348539905266795,0.4879803803377189
100734064176680704,0,0.47803809697121774,-0.7408224557513644,0.4718703920555457
101096662495962240,0,0.4899250109010919,-0.7457564683866471,0.4514651410164916
102622917779071744,0,0.4868856872699149,-0.7434714713270278,0.458467554854787
