source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009
1792620565667968,0,1.7933147342878376e-17,-2.5278953389787614e-17,1.2668504182629182e-17,-4.733999610782138e-18,1.2529733766219688e-18,-4.126288313447504e-20,-2.0160599116762134e-19,1.3187613448131335e-19,-9.933044555790018e-20,1.4930591759778903e-20
6052403489630720,0,1.0678568725206226e-16,-1.5345244828618064e-16,7.92959965131252e-17,-3.1684876886798735e-17,1.0183184943688939e-17,-1.713032864489293e-18,-1.8864738869483186e-19,9.452410490668949e-19,-5.449578558454918e-19,4.060451030269414e-19
10844075163628928,0,1.996912183134853e-17,-2.4002027644347236e-17,8.085955627715706e-18,-1.6612335099866404e-18,-9.701194670972226e-19,4.583492725743872e-19,-6.526476116839928e-19,-5.2497742665782775e-20,-9.737428894654589e-20,-2.9860942988926553e-19
11015044926034816,0,1.6387323662949764e-17,-2.0622254439880494e-17,9.278919722925462e-18,-2.4907337747965586e-18,7.610587569695425e-19,2.414137019714721e-19,2.683221386568722e-19,3.602208321532683e-20,3.9127003680805575e-19,-1.5245010801531005e-19
11963171843658240,0,1.5142867535026132e-17,-1.8216544763769078e-17,7.514664675918535e-18,-2.005604809031549e-18,4.6804627389649115e-19,1.2782961659089243e-19,-5.3515778034955943e-20,1.7477847522204797e-19,1.8423658343321943e-21,-4.925930055542115e-20
16615171179593088,0,2.961105414695878e-17,-2.948525611767424e-17,9.132982197220366e-18,2.1453136083424149e-19,-8.17186765666041e-19,9.15365012787797e-19,3.99259886824232e-19,-3.6607347236649644e-19,8.532251726493052e-19,-7.260651250622015e-19
25501939551450880,0,7.853604738799293e-16,-1.04769533817039e-15,4.598757627591978e-16,-1.3512171926026758e-16,6.095544435386691e-18,1.7290865553578155e-17,-1.391160136402106e-17,-3.0227773407039184e-18,7.586793928417185e-18,-1.5855534773562383e-17
30269452033850624,0,4.0924276048388513e-16,-5.529377034194451e-16,2.6354393672662815e-16,-1.0326617775138402e-16,3.326667030569457e-17,-7.89690824907614e-18,-2.9299226973540453e-18,6.2340083233738174e-18,-6.044725997603026e-18,3.0218878799786214e-18
31265029748469120,0,7.430504750354637e-17,-1.0145235522774849e-16,4.849299152670669e-17,-1.7648936448213944e-17,4.1272006339750806e-18,5.293262789965583e-19,-1.8148352170717486e-18,1.854822255721808e-18,-1.3886956950774747e-18,8.425175944782272e-19
35928500943041152,1,2.3556259685463438e-17,-2.6497327032337038e-17,1.0066622967537595e-17,-2.4532220575847174e-18,-3.1093979593231384e-19,3.156521663465653e-19,-6.438313436222863e-20,-5.72029785990274e-19,5.820534419408312e-19,-7.931288106517709e-19
36876009385300352,0,1.0059536755797069e-17,-1.2577021254586087e-17,4.93164352282955e-18,-1.6052185272970288e-18,3.50408061232604e-20,7.636373797290799e-20,-4.1570826941837673e-19,2.245141983385263e-19,-3.2631677393603764e-19,1.2737833274265389e-19
44951132016854016,0,1.1467228981946915e-17,-1.139938983502907e-17,1.8830298756265094e-18,8.832802752546182e-19,-1.571429335249295e-18,4.860836948149146e-19,-2.1862644312923003e-19,-5.337540241895356e-19,5.119293427037738e-19,-7.053585849093939e-19
46608061680943872,0,2.0513335750043038e-17,-2.148440328772205e-17,5.850570271625686e-18,-4.684432823559854e-19,-7.890603756056516e-19,-8.257342347517009e-22,9.22778069191274e-20,-7.2107090620800005e-19,4.689716778803953e-19,-8.3574830150643165e-19
56252977678408192,0,1.0921852572623752e-17,-1.3795998048882514e-17,5.8994319629847175e-18,-1.245320699397638e-18,4.755740191904886e-20,3.053466705150494e-19,1.185979762536793e-19,-2.2835421265117126e-19,3.7931134355304157e-19,-3.1780593085942354e-19
63139734399542528,0,1.2300800183029145e-17,-1.5094177239563025e-17,6.37778839395286e-18,-1.9372559237097383e-18,4.734928343890699e-19,9.311161994015098e-20,-1.3021634986544363e-19,2.4036131143176168e-19,-9.534878721475594e-20,1.6508249660036985e-20
64368713521485568,0,6.175772882489021e-17,-7.498927184445317e-17,2.820047265601093e-17,-6.423496458327997e-18,-1.2398872732240367e-18,9.165224294778526e-19,-4.81009168702257e-19,-1.1984007467866577e-18,8.2370774827861e-19,-1.6493724002520008e-18
69784942159807232,0,9.156230254775858e-18,-1.1613159951558547e-17,5.09046069252942e-18,-1.3831624424129094e-18,2.9635279467260707e-19,2.8261158524871894e-19,-1.294965948338549e-19,4.0227778760743156e-19,-1.2425860925101717e-19,2.7435753524868093e-19
69886853143994496,0,1.991522481091365e-17,-2.2983180340809722e-17,7.75564975083369e-18,-6.956761052283505e-19,-8.530848056954975e-19,6.663832931638312e-19,1.321315035918908e-19,-4.806070409477938e-19,7.03330053484222e-19,-6.427317421724466e-19
74703607425569024,0,4.8117603819953917e-17,-6.37443525750495e-17,2.778012682157836e-17,-8.193779130585812e-18,8.504866353651435e-19,1.9314484724197816e-19,1.8922751532861471e-19,-1.0517502974584817e-18,1.0126488765642813e-18,-1.0919298322628675e-18
78846635958426496,0,6.440806454925529e-17,-8.619696281902202e-17,3.666966004771228e-17,-1.0175028170723803e-17,-4.515570091411625e-19,9.792317775665599e-19,-6.277723235441297e-19,-1.8484337773531874e-18,1.441696137537843e-18,-2.7242386041100037e-18
79376016447500416,0,4.188582551060888e-17,-5.865827910247496e-17,2.926882220988685e-17,-1.2110710451074768e-17,3.93995593382771e-18,-1.016035623896124e-18,-3.3478963926454314e-19,4.2208826217821376e-19,-4.747006310437784e-19,7.073420134477429e-20
80762260092162688,0,1.59363997009477e-16,-2.039022359488392e-16,8.182537145662853e-17,-1.9432300034858815e-17,-2.815096976509961e-18,3.540939719215163e-18,-1.6933168063399929e-18,-2.7778422206656157e-18,2.594171296622006e-18,-4.093756829781028e-18
83757226686850816,0,1.6897453982584043e-17,-2.3186376418839292e-17,1.0903970170338901e-17,-3.9442048549463376e-18,1.0017725434732307e-18,-2.206508522043713e-19,2.8549155963499257e-20,-1.5829892544012744e-19,7.939144158176175e-20,-1.5946340555467932e-19
84006403509432192,0,8.082789124952192e-17,-9.89047934650268e-17,3.633921982691716e-17,-6.835305218931242e-18,-3.2985065797653886e-18,2.218252830390827e-18,-9.750505509660482e-19,-1.875625208685638e-18,1.7558881914103877e-18,-2.7722354819217268e-18
85707760314515712,0,4.1727968242511985e-17,-5.0111792182050746e-17,2.0492017669562683e-17,-5.764261766893729e-18,1.3216853974900482e-18,1.0478793747383227e-19,9.338081162163705e-20,1.9244544981458146e-19,2.6704650590205506e-21,-3.973729647610438e-20
93468972376758144,1,2.2381822529416144e-17,-2.7700376867242063e-17,1.2142301596763038e-17,-4.701398864296579e-18,1.0216860040029992e-18,-4.92406097026512e-19,-1.192808786087143e-19,-3.660512116422377e-19,1.656908179208099e-20,-3.6864665393096807e-19
97013488627139328,0,2.945092245628726e-17,-4.0600231887380356e-17,1.9538790325590193e-17,-6.8367301549267035e-18,1.6426721716711451e-18,-1.752633036420963e-19,6.422554196580533e-20,-4.930509942193632e-19,4.194230371011949e-19,-7.394477314312836e-19
99836961472298752,0,2.2188931076387592e-17,-3.0464200308451906e-17,1.4328784585544665e-17,-5.6405738484134755e-18,1.5400421695030802e-18,-8.068981704628789e-19,1.4679314069881963e-19,-5.133968112663357e-19,1.5322285205359195e-19,-4.413538993625079e-19
100734064176680704,0,9.496278943208304e-17,-1.2862793969455674e-16,5.730780710876996e-17,-1.9124833179252505e-17,2.3983531729714978e-18,3.2109458861673453e-19,-1.0193503779855334e-18,-9.890198600329209e-19,9.716764901992036e-19,-1.8148664911983966e-18
101096662495962240,0,2.107475610090738e-17,-2.7867881347339035e-17,1.181882999574544e-17,-3.0077345613989273e-18,-1.4523797455520114e-19,3.690867059095937e-19,9.046547457256836e-20,-8.178877365997536e-19,8.364259541449766e-19,-1.0500237591588209e-18
102622917779071744,0,1.2182017761488362e-17,-1.6185204082707487e-17,6.786611214752725e-18,-1.739121905497789e-18,-3.4217597903154526e-19,3.6282200992907723e-19,-4.016639597222085e-19,-1.5806954140695015e-19,-5.843314730846947e-21,-3.507015538890515e-19
102803104542235008,0,1.2538546626189744e-17,-1.7704778618542326e-17,8.750408697294856e-18,-3.311659403277212e-18,8.312366064525436e-19,7.255031154370908e-21,-2.344497945651611e-19,1.983546778746714e-19,-1.612778861533057e-19,4.190151121160614e-20
107344877838785408,1,1.0704008525428079e-16,-1.2659222620691458e-16,5.085711133868057e-17,-1.3681806262245044e-17,1.988532294927511e-19,6.389665530376141e-19,6.799149507970842e-19,-3.494882593095876e-18,3.3876539737822573e-18,-3.916577879764679e-18
107585292928397568,0,1.6457643729142792e-16,-2.2179356098272207e-16,9.429445646039715e-17,-2.659884337887292e-17,-2.0557071192155202e-18,3.5274647545795646e-18,-3.041918970862843e-18,-3.1426668619970547e-18,2.814174226483445e-18,-5.2958931352775705e-18
108002248353357312,0,9.127575496764654e-17,-1.1800256111119736e-16,4.551887728982233e-17,-8.687541125557073e-18,-4.882370770426626e-18,3.700879674561883e-18,-1.6748791207991884e-18,-2.677140071325217e-18,2.7164620244529545e-18,-4.0964429187759236e-18
115962815619380096,0,1.7383889127799922e-17,-2.014219112726158e-17,6.220273812491071e-18,-8.818371464193003e-20,-1.5901083018244848e-18,9.44309348255262e-19,-4.424416044267318e-19,-4.645355067656125e-19,4.681873030213499e-19,-8.357524387736379e-19
116691791828603136,0,1.1848685492668696e-17,-1.5556711673226332e-17,6.48894339252153e-18,-1.806146809856799e-18,-1.9138067490467936e-19,4.606286818412911e-19,-5.692913398957359e-19,2.9416864128651333e-19,-2.8487834072955064e-19,1.0206499868150371e-19
120129277493243008,0,3.429968063496157e-17,-4.1392162530245714e-17,1.607505376177655e-17,-3.500046786669936e-18,-3.3727374690205456e-20,6.608395724502033e-19,-6.40747616472201e-20,-1.6487166534160496e-19,4.153426362640002e-19,-3.953349914307006e-19
121824174666929024,0,1.4663761998050916e-17,-1.683178972939746e-17,6.096529872027152e-18,-5.669376645472298e-19,-4.2618240045507614e-19,7.356062924351721e-19,-1.3383758959868396e-19,1.9656578839493605e-19,1.754529738723588e-19,-4.940226949610416e-20
