source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023
1792620565667968,0,0.4289254337361136,-0.7058511890339385,0.503204462041699,-0.23802591458190625,0.08000037073761672,-0.007226287778793643,-0.009177439599727295,0.009420898916645498,-0.006388001734661879,0.0014156958750506231,0.007866121538959336,-0.01119688171782494,-0.0018000896555655794,0.0015990385656700443,-0.01784397290789482,-0.007829413377933237,-0.009183572311824019,-0.01252661215736678,-0.000336983270694253,-0.0028542671083794423,-0.0005691902797618597,0.012578934736461536,-0.008061893542720126,0.014564480104549115
6052403489630720,0,0.4143185797245397,-0.6982084448872509,0.5100573352636096,-0.25741735300052276,0.09908931990529608,-0.02477008411844923,0.0020307263198606124,0.008090458730546713,-0.006086255802103607,0.004451122754258084,0.011025723127843308,-0.01890863260306865,0.021795731033299542,-0.015315257743217273,0.010748545245591672,-0.007403819432291604,0.0024387408703154226,0.001712780765799992,-0.01643801981758181,0.022836753405966494,-0.028690032809696297,0.020524226673326578,-0.017088866948355843,0.012967593856598916
10844075163628928,0,0.5497092374462703,-0.730564813124139,0.36931191776081945,-0.0968643330197001,-0.03421392850337121,0.032009434978207865,-0.041346821011736465,0.005282536979821089,-0.006770200145551504,-0.028957292050460177,0.02369703976175517,-0.02847257186490862,-0.006636697986606823,0.03037923508594883,-0.03581101529108208,0.029143523491126554,-0.03448352287240573,0.03913966030815709,-0.03233621437096371,0.03635250640150333,0.009677249673447314,-0.006932675277579098,0.05058987946459573,-0.03526515382337201
11015044926034816,0,0.49821090975263826,-0.720912669460919,0.43865405608321795,-0.154885441552504,0.033917299672718115,0.023523668048077283,-0.0018439171672076302,0.017252008537167834,0.028514604672800703,-0.006840715774023314,0.05903382040113798,-0.018972767516514256,0.047304633261677984,0.007179928609289794,0.01617366897092031,0.001716956397375711,0.015010001358164536,-0.013616233791385397,0.0036566796948450772,-0.032289154268237065,0.016939251986560235,-0.05177499765061012,0.022529295819852278,-0.03819269279647229
11963171843658240,0,0.5343027589566661,-0.7217577574003983,0.40915733212856237,-0.1407944296503494,0.03690914736021723,0.005860587674767992,-0.007472099501185028,0.02358611983264393,-0.002911035757556024,-0.001444898164788097,0.029425931553158716,-0.024996395472966115,0.006224533827800717,0.009011436795654488,-0.014248544809508308,5.875109508864002e-05,-0.009435192798842643,-0.006942672914079986,-0.005429755566559171,-0.01839978128556462,0.018746085758741475,-0.009415284541745714,0.03345204115685491,-0.021357341906739293
16615171179593088,0,0.6272266833287511,-0.6993035702958297,0.297125822422838,-0.004418509987445267,-0.05196976638983717,0.06258640528095442,-0.006084771191178222,0.007145231271279726,0.0470593911310796,-0.038342066248711226,0.07644542767368182,-0.03808750484967993,0.015749121682193164,0.03131819760090015,-0.02940686974241263,0.015525251179277536,-0.01792214916134331,-0.012584197286851949,-0.020793439113308533,-0.02675060006490675,0.008355858310978877,-0.05329507498718526,0.05021549219318394,-0.04667656226825584
25501939551450880,0,0.4735676125347898,-0.7256087754884737,0.4568076416311047,-0.17114473935445293,0.015792830933171142,0.03311662962161071,-0.032040314396976716,0.010931704808395837,0.011563880472153058,-0.030347637053043254,0.04473830122134694,-0.04482437998735091,0.03135114919338395,-0.008891397323470506,-0.005745064613855075,0.018623274866548373,-0.018487734337219463,0.02184929328403881,-0.01714304855243076,0.012549714105472579,0.002193100863311435,-0.013082138841945241,0.02283176363353061,-0.017164903538224998
30269452033850624,0,0.46041188182809795,-0.7067986352145295,0.4710621458495111,-0.22971536477428764,0.09279873156287709,-0.03267143353874241,-0.0010620227042466453,0.018061529617197827,-0.024847019645085604,0.01445975540788107,0.006263041252935167,-0.027386241128360977,0.031026765894506873,-0.02482562555705536,0.017472579465251523,-0.004985407279253567,0.0031972858596380606,-0.0022354738339863123,0.000449283824823545,0.0033726241414506913,-0.0039193404977518245,0.012455344832066713,8.380406157737925e-05,-0.007707922410081571
31265029748469120,0,0.4499225679455465,-0.7077072390817606,0.4819375993616825,-0.2281440824590931,0.07674253168988733,-0.011287830000605204,-0.016519689915292533,0.023292703888179923,-0.02485463405152579,0.014031658748077885,-0.0009886904840181111,-0.011559422297611444,0.01198756573890633,-0.010110857791249185,0.012564098896846685,-0.008624564368778185,0.003420378180540872,0.0071084230675077095,-0.01914865372105373,0.026826607090882477,-0.0304314018145192,0.034271231463487935,-0.022859248545043558,0.01936969171374024
35928500943041152,1,0.5674167300100496,-0.7013627980805085,0.38043208092835923,-0.1097742327717026,-0.022153219059995562,0.04540811755953938,-0.028878127396445782,-0.005321161547472599,0.03429946694298155,-0.053806415681790454,0.0675176833161694,-0.05041849897283506,0.016661591009326456,0.0008639146283298707,-0.008022090642354839,0.005932100729546441,-0.018830322449199712,0.027662973171250955,-0.02610134920536591,0.01375328850756815,0.03166217091664431,-0.04967653950816668,0.07745235591419145,-0.05408407927051948
