source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018
1792620565667968,0,0.5292630595581189,-0.7477685405341378,0.37330199161342065,-0.14099828427220168,0.0360431609578058,-0.0025465472851809116,-0.007047955894045154,0.0022755207046011657,-0.004182654000997368,-0.0017538279646045706,-0.0009733823414573113,-0.004177734817200268,-0.004512598291980502,-0.0009511424167481438,-0.0066227658916355025,-0.0029732249617194745,-0.002735908623576472,-0.0026422921914233326,-0.0002770745524686195
6052403489630720,0,0.5182953831378867,-0.7452572241143294,0.3859640871103908,-0.15529457678954087,0.05121393870633006,-0.010285109512696145,0.0012799269620523647,0.0021631554709761456,0.0002356033401534172,-0.0013411868906270557,0.005119776743961463,-0.006482381656046822,0.00502894891062066,-0.003136216132786438,-2.207272060484019e-05,2.085455576084956e-05,-0.0028922352032798686,0.001678564053564702,-0.0050515120837223235
10844075163628928,0,0.6181742478494339,-0.7419056707021019,0.24897532075519455,-0.04927954585716202,-0.031876885646821125,0.016684998405548816,-0.02224245020917314,0.0012494466369194646,-0.005132141421467792,-0.005942520757300937,-7.091216040127541e-05,0.0019539729138758357,-0.011443924354118597,0.017314966756713828,-0.016244529076306597,0.013342533615422437,-0.01172255495969002,0.010228570502589678,-0.006955684665047688
11015044926034816,0,0.5828881967337164,-0.7301632769457859,0.33753717258875965,-0.09095831869574182,0.03820607856292334,0.0049668515721104775,0.022938529308392644,-0.00305480436528855,0.031581111416372785,-0.01124248220685928,0.03219788172592826,-0.011154280765166563,0.020184647772307534,-0.003765310017556875,0.008420758184508052,-0.005244567308954849,0.005653476699826109,-0.006187559608173032,0.0017767934120721323
11963171843658240,0,0.6063531539859172,-0.7301038890157381,0.3028410177982939,-0.08244346192438107,0.02152984174100183,0.0024940880808897448,0.0012776332446430346,0.003770711857888821,0.00482765100985411,-0.006434574670617546,0.01029733573563665,-0.009296525650238165,0.0006107123478130249,2.3264739977692514e-05,-0.0038189134504076983,-0.0024920603288814767,-0.0015040990879087864,-0.0028839053309146255,-0.0001859234255262437
16615171179593088,0,0.6904686312184595,-0.6872181180307295,0.2180397115017549,0.00225046753068031,-0.012358623342309616,0.01812981995494511,0.01728773275571483,-0.012391809476952351,0.03106951693142077,-0.02243108595665514,0.025117302302517228,-0.01278135196813005,-0.0006494882914160286,0.005346480966074413,-0.010969020028742286,-0.0016129711261705084,-0.005736855864134976,-0.006347655294310862,-0.004031900753818973
25501939551450880,0,0.5623773855621986,-0.749569884582521,0.33274191334313896,-0.09895096373351177,0.009638042033195985,0.009382389509473375,-0.003588588748841663,-0.0058197136784208965,0.014040691365577208,-0.016618208654869553,0.017505691683406988,-0.012517828489916354,0.006425171930817393,0.0015526561209106091,-0.004902182381460811,0.007423535321217078,-0.00631864535509961,0.005227828776791238,-0.003739201941985916
30269452033850624,0,0.5481503447506707,-0.7417287128601532,0.35539902941995155,-0.14150001327049289,0.048246916334898,-0.014626785031367894,0.0005670743122648429,0.0033624710315132925,-0.0023525416960582285,-0.00268520281258231,0.008978972039324977,-0.012633081069194823,0.011977245420609052,-0.007742363987294013,0.005163790766299587,-0.0013756476187603995,0.0007659575622821151,-0.0003898974176697496,2.7134561205790693e-05
31265029748469120,0,0.5460301750589079,-0.7459621800535122,0.35632928528152374,-0.13014482476995387,0.03027969295490104,0.0033848133905957306,-0.013427289535475452,0.013010088404133422,-0.01038157904471229,0.005300667582298284,-0.000636042575073407,-0.0020527701110793274,0.0019249602623134774,-0.0003353185739577777,6.3550970050556e-05,0.0011875668045909114,-0.003269278609823766,0.003637811203639841,-0.005976690294344265
35928500943041152,1,0.6356429414212963,-0.7149254057374094,0.2770899583145826,-0.06974528861136005,-0.0007512232526955606,0.0040530484571389865,0.007385953737620605,-0.020804925056446086,0.02810915796662473,-0.02900109118228547,0.025884088136128854,-0.016985801734420887,0.004473854341405715,0.0003557900258376722,-0.0032245239327563678,0.0023274049359578493,-0.004856413703352044,0.005092195835340096,-0.004112559088375343
36876009385300352,0,0.5941962038182972,-0.7433880632022329,0.28717186352928625,-0.09226659174054418,-0.0038740958307782966,0.007871655828658414,-0.031686730778492295,0.017281511202868662,-0.028527547149926905,0.012482239434993407,-0.016016910772582493,0.006094186464287654,-0.011335934883811237,0.014353557672434555,-0.009590766895418587,0.013577763881374638,-0.0010981257411276065,0.008274235449696977,0.0008610589384252118
44951132016854016,0,0.6956547764105279,-0.6895702313618668,0.13087336265330723,0.04575536332704364,-0.07417305252109047,0.02097816674123203,0.010735105869767355,-0.04209920187820215,0.0627451109275061,-0.05695189330270332,0.06234025027746167,-0.034796018259466925,0.0249063404880003,0.005608730078341941,0.0003091054789778768,0.01993485357483158,-0.002747642407578849,0.011891139884555603,0.005555550163194817
46608061680943872,0,0.6758086937190483,-0.7065963404753195,0.19839877889783286,-0.017617910464877432,-0.018586547473315212,-0.0026293108417115223,0.011828141396964862,-0.02697297356427847,0.02747070197223959,-0.03253447425850566,0.025042650396315806,-0.014221340381590442,0.00186556998720446,0.01160834988670743,-0.0040301612883145675,0.008948765479901758,0.009992105283654407,-0.0011676013338487443,0.011561188643058365
56252977678408192,0,0.5857738903069876,-0.7393406798976093,0.32030978483477573,-0.06932012292699401,0.008395607332657472,0.013093732403337536,0.013414361445666576,-0.01614888767359258,0.030154919547746822,-0.022493550415491385,0.021846994641297617,-0.011706608774894147,-0.00018861028717805342,0.0011301824839070299,-0.008216263553847808,-0.0035034012717888256,-0.0038345334749808188,-0.0033241597787211593,-0.004641641625518388
63139734399542528,0,0.5937011092269825,-0.7284305227084432,0.3169861263322268,-0.10020012916749081,0.0360567254972417,-0.004177393929830795,0.009522973982463002,0.001028307800250139,0.015507275376100598,-0.01324343158697176,0.0314356628863897,-0.0254835670642409,0.034806166775469216,-0.017708166981547428,0.02938608130190935,-0.008686528409116361,0.019831463740432244,-0.0033760483013979877,0.007497066230442094
64368713521485568,0,0.6081502022292118,-0.7389809550959058,0.2799347908868852,-0.06547097887806566,-0.00899313194464754,0.00631434692121392,-0.0008321552892296337,-0.015125774683697203,0.013670416158494037,-0.021069423907791318,0.013143958252705121,-0.011566498470200786,-0.0022322557470883892,0.0034565148888715397,-0.008116626171392853,0.003679389717047013,-0.0041731997736105374,0.002302766571607369,-0.001974745847585346
69784942159807232,0,0.5844872072292885,-0.7350972421919165,0.32178954744011906,-0.07917697070314324,0.01421089003628247,0.02875586227810843,-0.01389597234873155,0.038590854644064934,-0.014909255169102667,0.03435229882646225,-0.00940490394432433,0.027409771222397045,-0.0112476757764316,0.028245727637485774,-0.01991145574003582,0.024982092530687058,-0.025640355428060292,0.014275958341208015,-0.02073150221138074
69886853143994496,0,0.6340348053125888,-0.723852175724129,0.2580940666448247,-0.021755906973046798,-0.011684136806398947,0.021138454938120735,0.022202842998191436,-0.015099701044755984,0.04605119081079806,-0.020748846623554,0.04390679910718908,-0.005021038582698714,0.023435702402639615,0.013392909658930582,0.011901860946477794,0.010968647957490592,0.010188860261501655,0.004691716171157684,0.005202754787143276
74703607425569024,0,0.566807712555445,-0.7486393338879533,0.32867341522939275,-0.09532732171558365,0.012222683558649325,0.0034059141418572017,0.004971488160867097,-0.011101999320528414,0.015958223257713934,-0.01157404242508714,0.010297607279670164,-0.0009032470545578267,-0.004277213232601292,0.012899157357805344,-0.00820400028179043,0.00907221001599407,-0.002105117876279082,0.002869272552129253,-0.0018029636509030557
78846635958426496,0,0.5619756054883794,-0.7531362950027929,0.32414039008134315,-0.09342957067401916,0.002478685820250486,0.0027242321620596166,0.002232804125245784,-0.023148712379782454,0.0229881103830093,-0.03358654545225303,0.021195609634013672,-0.02102843274311474,0.005105381665715818,-0.002958723647006267,-0.0025385105284930196,0.0032193877459862955,-3.5307195262261275e-05,0.002181168524092269,0.003782181169331405
