source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013
1792620565667968,0,0.42922760690117573,-0.7064538627897824,0.5031996816677852,-0.23813201397162923,0.07922510290384364,-0.007054252278626429,-0.010423088351866682,0.009673852036252924,-0.008030796344260445,0.0017272740303732092,0.005821690480897778,-0.01083045613238994,-0.004286634131390159,0.002044178913104386
6052403489630720,0,0.4152609797437944,-0.6996174515918704,0.5106975149939679,-0.25712607071370686,0.0981006803348912,-0.023313096134133713,0.000221154275856088,0.010204802213469871,-0.00849973620215436,0.007144406083747,0.008055002519237612,-0.0156669853050078,0.01822809463939634,-0.011430321761357196
10844075163628928,0,0.5530161873806847,-0.734640626988855,0.3711219487197935,-0.09642055102892683,-0.035287578916259645,0.03386004806793829,-0.04286198196826145,0.007594665830002801,-0.00848436671404722,-0.026206265693183062,0.02173802345719414,-0.025037690146111128,-0.009242036113281364,0.03489530052149696
11015044926034816,0,0.49883000494720203,-0.7225986081107509,0.4400211517745877,-0.15754036076683492,0.035750428714071004,0.01955166893876224,0.0007826838279534568,0.011774085297153718,0.032013804312802915,-0.01388420670027225,0.06343599162757556,-0.0276273458720015,0.05261097955509696,-0.003119382211963473
11963171843658240,0,0.5347021848067259,-0.7226499282421365,0.4097675352776391,-0.1419333471404439,0.037581010935735654,0.004199667842403584,-0.006533156501807102,0.021310268737935744,-0.0016688508987937694,-0.004380573077812793,0.03099622638098265,-0.02861425907519849,0.008098231791246533,0.004719086967679264
16615171179593088,0,0.6299897699227514,-0.7034074275931247,0.29839016489040915,-0.006808392724216224,-0.05228995319859665,0.05911539905829629,-0.006246659032690334,0.002021616979131069,0.04708306355860814,-0.045114896698400374,0.07654319337803937,-0.04635787494244138,0.015514609753481299,0.021796184836211634
25501939551450880,0,0.47434969926334175,-0.7267123800978337,0.4574132362152632,-0.17108651634800948,0.015486077848222772,0.03373545358498891,-0.03258372292577306,0.011726334178974633,0.010935937342583763,-0.02940103009319792,0.043999970912044356,-0.0436678279906217,0.030412269561606826,-0.007423695437272419
30269452033850624,0,0.46051343270084755,-0.7068802563931226,0.4713361522455469,-0.2297241126804635,0.09319767571534054,-0.032643022290763615,-0.0004977024594539138,0.01810856469398857,-0.024102535445923175,0.014518709158130173,0.0072022872498210995,-0.027319962444525503,0.03216925268878282,-0.024745996413269848
31265029748469120,0,0.4513146584915981,-0.7095079558048432,0.48280247025971934,-0.22743425991923608,0.07556627847712878,-0.008960642792677964,-0.018673613036450865,0.02662833134378536,-0.0277104678230574,0.018250790026143316,-0.0044573569723317325,-0.006480441815685287,0.007841950479834197,-0.004040133912651438
35928500943041152,1,0.570838384731227,-0.7058775582539646,0.3834602508225192,-0.11156073460062958,-0.020748188256439926,0.04384024782849322,-0.026816125094038818,-0.007863292058176433,0.03743479937838989,-0.05732678880598992,0.0715746808072868,-0.054640557599362996,0.02118243713433076,-0.003809619801535072
36876009385300352,0,0.5223911329236268,-0.7215275922301794,0.41315771663319795,-0.1676901393585641,0.036079556108523175,-0.00837661696560057,-0.03135329652906291,0.022465705509601322,-0.04904396596666759,0.02029466340929316,-0.027899072117950112,-0.007680483867025459,-0.022608683215553524,0.025706661757718876
44951132016854016,0,0.6259273229600555,-0.6823636402436677,0.20913306594384626,0.06995261257151117,-0.16467190574613924,0.10504990331766251,-0.06989500259377351,-0.016789025729555613,0.06468104669656878,-0.10228566629747393,0.1338498626697545,-0.11174651388069573,0.0736577473858915,-0.013069502068647564
46608061680943872,0,0.6269553121461203,-0.7117088529881614,0.280109588010193,-0.015890811328542167,-0.057689682959252364,0.0355650597945978,-0.01457652203169822,-0.020892547925645634,0.03655966115548254,-0.07398540686152386,0.06978072879585541,-0.06356832784473516,0.00760970487543079,0.025749954209710085
