source_id,y,c000,c001,c002,c003,c004,c005
1792620565667968,0,0.4293620987978293,-0.7067353886339994,0.5031698320099862,-0.2381864065245137,0.07881549933224073,-0.006982229963533591
6052403489630720,0,0.41538232941818864,-0.6998221432161869,0.5110536278317992,-0.257383766364763,0.09861290647018608,-0.02365944295140041
10844075163628928,0,0.5544057591001411,-0.736702153368185,0.37157212416630264,-0.09684182261574457,-0.03639239989311227,0.03369870419315253
11015044926034816,0,0.5006836562614324,-0.7249353939378211,0.4434817971768386,-0.15866983378666974,0.03986461343987618,0.0185241189561336
11963171843658240,0,0.5352514536179876,-0.7233335268706333,0.41058090883485965,-0.1422095872579916,0.03845225255113648,0.0039579250520913115
16615171179593088,0,0.6339154787131458,-0.7079383748924694,0.3020351547934331,-0.00822228331064403,-0.04901090089986043,0.05726704219307231
25501939551450880,0,0.47566521513220716,-0.7290883909017614,0.4593311968981168,-0.1729243358715534,0.016980127711848866,0.03156615668602034
30269452033850624,0,0.4611874739228513,-0.7080269963562458,0.472213308480392,-0.2304684260594436,0.09375066371347864,-0.03337057482841827
31265029748469120,0,0.4520766461102338,-0.7106091936109035,0.4831308209459743,-0.22719893595009605,0.07459324789129258,-0.007898146720916193
35928500943041152,1,0.5742722671533018,-0.7108242185409639,0.3871063288572489,-0.11470756172941908,-0.018060177484403826,0.040062313265980316
36876009385300352,0,0.5245695678263419,-0.7245347353415915,0.4132591555776536,-0.16726556262203113,0.03276873937228982,-0.006441848019463919
44951132016854016,0,0.6444789696962623,-0.7040961017633292,0.21824094600650223,0.06683253184195431,-0.1637425333352117,0.09994109290815432
46608061680943872,0,0.6319297671195975,-0.7181720627234482,0.2836804003800031,-0.018708599424886917,-0.05543869215156721,0.03155357209639825
56252977678408192,0,0.5022393891419881,-0.734035082735747,0.4370169714026449,-0.12334864159138466,-0.006048544799277923,0.05208442892879856
63139734399542528,0,0.5233440575423429,-0.7198112661772499,0.4213910111357919,-0.16641585111374682,0.05204499997845947,-0.003071925895177002
64368713521485568,0,0.5399349909139143,-0.7327355798909747,0.39703613338148225,-0.11059914166113584,-0.02054940945954213,0.03573004300017188
69784942159807232,0,0.4978154842689926,-0.725560306621381,0.44077256435525114,-0.171120481214761,0.04620203032476805,0.006684675901616985
69886853143994496,0,0.5659207642817334,-0.7367851339100686,0.35563098368656454,-0.05101956753476309,-0.05987728981581079,0.06495900506401306
