source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024
1792620565667968,0,0.42892288004197404,-0.7058358721069241,0.5032273690316227,-0.2380207494343269,0.08005975937629511,-0.007226130968798531,-0.009088416155411205,0.009420694483721794,-0.0062707696704742445,0.0014156651545353593,0.008012039461008811,-0.011196638746188486,-0.0016240993367711454,0.0015990038666293272,-0.017636781592965157,-0.007829243480152208,-0.00894462549592489,-0.012526340330664224,-6.51199706328885e-05,-0.0028542051709650133,-0.00026300343672823505,0.012578661774353062,-0.007720003177119938,0.014564164056226812,-0.0035480162217008454
6052403489630720,0,0.41428587291446983,-0.698112351616612,0.5101089168544022,-0.25738192507702917,0.09929573934275403,-0.024766675052842198,0.002350226248017129,0.008089345254123718,-0.00566386600099663,0.0044505101536111286,0.011550144354953525,-0.018906030239316106,0.022426179526905086,-0.015313149929689716,0.011491588538632056,-0.007402800456902271,0.00329792847883835,0.0017125450386193098,-0.015457039339626772,0.02283361042145432,-0.027583814874315035,0.020521401958035115,-0.015856293526294356,0.012965809148150065,-0.012773335876930006
10844075163628928,0,0.5495593427487016,-0.7304205949043314,0.36903177319516317,-0.09684521137379146,-0.03458165814688832,0.03200311610868711,-0.041882846119100155,0.005281494172848446,-0.007486243506181809,-0.028951575693700157,0.022797341356396352,-0.0284669511950492,-0.007713363530666588,0.030373238028429204,-0.03707094339553353,0.02913777037106795,-0.0359394163323445,0.03913193388602991,-0.033995372607836825,0.03634533018158566,0.007799543383611266,-0.006931306722640772,0.04848635316135112,-0.03525819225390232,0.021737128986243855
11015044926034816,0,0.49812766456173113,-0.7207669119390891,0.4386529409000418,-0.1548541260838161,0.03406868868734146,0.023518911921981137,-0.0016135857021219097,0.01724852044475503,0.028811984570006166,-0.006839332685864588,0.059400095848006935,-0.01896893151294467,0.04775059204427178,0.007178476937474717,0.01670579738794148,0.0017166092550331684,0.015625063916731886,-0.013613480797056576,0.004359752735357226,-0.03228262589482411,0.01772848722457163,-0.05176452953752862,0.02340941332878955,-0.03818497081781237,-0.00918551660923194
11963171843658240,0,0.5342844595185798,-0.7217743103987291,0.40901369295899265,-0.14079765866997018,0.03663348072043592,0.005860722083156186,-0.007874090535592803,0.023586660763442988,-0.0034408050003150365,-0.0014449313024981199,0.02876573677900859,-0.024996968747434848,0.005428715568694784,0.009011643466513182,-0.015184403426762418,5.875244249822996e-05,-0.01051544539703184,-0.006942832139326578,-0.0066596909595826505,-0.018400203271404018,0.01736145619284932,-0.009415500474574305,0.03190697026709763,-0.021357831722119316,0.01605036894562435
16615171179593088,0,0.6271947515184477,-0.6992563583298188,0.2971579202311503,-0.004418211681314405,-0.051872008700459715,0.06258217989534791,-0.0059474007901907594,0.007144748876462686,0.0472367622745224,-0.03833947766715227,0.07666552300131088,-0.03808493345428267,0.01601936047276621,0.031316083220612814,-0.029086009847721632,0.015524203025562736,-0.01755281054512436,-0.012583347692032659,-0.02037285619227546,-0.026748794056085635,0.008827389530901522,-0.05329147688563074,0.05073899848133725,-0.04667341100125446,-0.00547074298224001
25501939551450880,0,0.47356863331316185,-0.7256120492092082,0.45680411418346856,-0.17114551150619867,0.01578280388089185,0.03311677903352486,-0.03205513347296404,0.01093175412884002,0.011544587823424683,-0.03034777397212883,0.04471436799922232,-0.04482458222099127,0.03132222201336372,-0.008891437438688067,-0.0057792563097449285,0.018623358888958472,-0.01852726084739384,0.02184939186123875,-0.01718803879079907,0.012549770725868154,0.0021425281582800036,-0.013082197864485362,0.022775412383108314,-0.01716498098093097,0.0005861621032014521
30269452033850624,0,0.46039792808582203,-0.7068165216624706,0.470945826481615,-0.22972117801685726,0.09256934928790976,-0.03267226033136329,-0.0013987928693732932,0.018061986687417982,-0.025291563376081475,0.014460121330575075,0.005709360715720412,-0.027386934172395894,0.03036049927202274,-0.02482625380142258,0.016689003093183327,-0.004985533441396836,0.002292246949360765,-0.0022355304055293192,-0.0005813426509639597,0.003372709490034727,-0.005080182990153289,0.012455660030571268,-0.0012116769538547223,-0.0077081174689726025,0.013450944477775027
31265029748469120,0,0.449886809507898,-0.7076025676021699,0.4820205086900478,-0.2281103394402973,0.0770098015242791,-0.011286160505365702,-0.016112364979623872,0.023289258845305708,-0.02431721904590744,0.014029583434441602,-0.0003226386205002052,-0.01155771263326616,0.012787819193808352,-0.010109362372827042,0.013504901469606105,-0.008623288776469944,0.004508138662309592,0.00710737171587297,-0.017906639250914902,0.026822639375837783,-0.029031286937648965,0.034266162671889054,-0.02129824983772506,0.019366826893112865,-0.016172676897941912
35928500943041152,1,0.567373260752086,-0.701373672777842,0.3801762053141869,-0.1097759348316929,-0.0226265898892477,0.04540882161674783,-0.029565962739190207,-0.005321244052594357,0.03339384373966529,-0.05380724995542009,0.06638818924625348,-0.05041928071649204,0.015300209379941563,0.0008639280234047291,-0.009622616953139493,0.005932192707330941,-0.020678218058167143,0.027663402088293248,-0.028205575074500795,0.013753501753617198,0.029293258903068355,-0.049677309747674085,0.07480911206896716,-0.0540849178493562,0.027457153653271758
