source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022
1792620565667968,0,0.5292754509632128,-0.7477544210671094,0.3733075092832668,-0.1409583073735433,0.03602912927886979,-0.0024781243489132693,-0.0070837981133995715,0.002384256403751503,-0.0042495808031294425,-0.0015869695514411201,-0.0010841573478375113,-0.003929347695003796,-0.004684336443874022,-0.0005882711853339469,-0.006879958652508735,-0.0024448938633319455,-0.0031183410587674195,-0.0018560997836194128,-0.0008642037821255491,0.0012514401419833987,-0.0010606109720447644,0.003209028953157981,-0.0018110461000304856
6052403489630720,0,0.5183731718424722,-0.7451596862259905,0.3858935023387666,-0.15496256853009865,0.05097062915494257,-0.009805061342713287,0.0009027473460756614,0.0028111648650242893,-0.0003198529771755726,-0.0004534703589245771,0.004312037832870489,-0.005251385929952483,0.0038630136447019396,-0.0014028222019512597,-0.0017066549322014442,0.0025293977647959,-0.005375891937873757,0.005581956870745526,-0.008986759615161604,0.008282191098387143,-0.008658186706031865,0.004965224038049226,-0.003811753425712568
10844075163628928,0,0.6182720703350397,-0.7416649079560849,0.24906997294144498,-0.04891826623092047,-0.031730785256645314,0.017116364046932453,-0.021941371670891666,0.0017779576953044734,-0.004598818987880991,-0.005267187083769178,0.0007880470173417703,0.0028468992205535424,-0.010134498128767086,0.018536171615827365,-0.014298313082202764,0.015097632022211652,-0.008831194072156188,0.013056154768082917,-0.0024862786319293654,0.007141442884785592,0.008437480949007654,-0.002462969002243911,0.011848084997838454
11015044926034816,0,0.5823232331059957,-0.7299696564146917,0.3372948541152803,-0.0915321305933376,0.03833494054210889,0.004091674950905866,0.02318297711634201,-0.004242157584089535,0.031966009104589264,-0.0128906268651361,0.03279457925096266,-0.01347211444349495,0.021091989008031452,-0.007058019308439996,0.00976671589520488,-0.010012476369226857,0.007649923577873214,-0.013554291012720663,0.0049175128169975805,-0.015025169121997481,0.006545650720056416,-0.012671224600459014,0.0050360649842916775
11963171843658240,0,0.606150651800773,-0.7300589821814883,0.3028388332506035,-0.08270286027408223,0.021720109931579332,0.002126460828108617,0.0016078855597103255,0.0032857403434842663,0.005353817031716044,-0.007087126991763798,0.011101299013972245,-0.010194785562030122,0.001810754461107373,-0.0012396498668224983,-0.0020582502438985803,-0.004316055192003525,0.0010993129043368355,-0.005738284977468141,0.003883844120423912,-0.006247463526186844,0.008286782017161473,-0.0026387706213736456,0.007540067307261291
16615171179593088,0,0.6898834128181114,-0.6871797258765437,0.21790382535524114,0.0015936762760343072,-0.012209028525388747,0.017255127155427853,0.01756135320717803,-0.013565996930078181,0.0315551210455805,-0.02407334460525902,0.02592431133982703,-0.015111170570987379,0.0006193913899850256,0.0020221060836273673,-0.009071883631314271,-0.006420258539882506,-0.0029281698678251893,-0.01375115458597163,0.00029906329903358974,-0.014878780254180953,0.008103907042026213,-0.013894044036380018,0.011812404206311232
25501939551450880,0,0.5623960233188707,-0.7495246260403728,0.332764918257931,-0.09888658568590655,0.009685847528071981,0.009446169217767138,-0.003479809379310957,-0.005762479542500139,0.014241829350303856,-0.016568904026044693,0.017836421887463098,-0.012476327264241657,0.006935167075595572,0.001589881575094796,-0.004140263079897029,0.007471810487478946,-0.005185706409420939,0.0053610694579914395,-0.001996783391173775,0.0009610947080178132,0.0031813026046364303,-0.0034252712881588103,0.0051955425382152155
30269452033850624,0,0.5481861763428321,-0.7417246640651688,0.35540386176547584,-0.14142855572028487,0.04821893849078519,-0.014513514516315579,0.0005245905055667132,0.003526224334442265,-0.00241090192335251,-0.002450665786782596,0.00889916736305387,-0.012298336345995519,0.011865703787536286,-0.007262728115719294,0.005004688776245574,-0.0006789781044035564,0.0005319629448656032,0.0006729767263149967,-0.0003494852562024666,0.002009153794506267,-0.0009004956094291973,0.0026573246667428016,1.8562666749929356e-05
31265029748469120,0,0.5460662282982683,-0.7456984252955392,0.3562056946243202,-0.1296688366328201,0.03000134907974516,0.004037095089625561,-0.013854457357140927,0.013897092668687055,-0.01101675819965608,0.006526629403951314,-0.001566354569692071,-0.0003416874413085089,0.0005762679245445694,0.0020810230576779215,-0.001888874696277773,0.004685211633100144,-0.006149750394487344,0.009056012017709942,-0.010529128970987733,0.011217243656934918,-0.009873946074411728,0.00836867498833861,-0.005177566601365981
35928500943041152,1,0.6352929383055697,-0.7145357221339811,0.27711210982953316,-0.06983631680656992,-0.0003830861155100107,0.0038179675269948148,0.008024790018041444,-0.02117266619413184,0.029148003061860706,-0.029579300542471924,0.02751098844092622,-0.017874015119365618,0.006934466440712815,-0.0009655825008910443,0.0004048273550982037,0.00040034026099822656,0.0005199191168194563,0.0022421413099618292,0.004258972983447767,-0.004305781251077768,0.016632752807007854,-0.0128101970792606,0.017691919806813564
36876009385300352,0,0.5941920832956037,-0.7427627347140471,0.28716905246461827,-0.09154154127701437,-0.003876824591470146,0.008811904300645344,-0.03169252115020319,0.018566514953840207,-0.02853821544479019,0.014272199618077295,-0.016034518320704086,0.00860465427253441,-0.011363093018871494,0.017904951571989684,-0.009631327142379555,0.018719733602784124,-0.001158491612130837,0.016220222849655568,0.0007680445471242395,0.016232160357337887,-0.00017193646246716155,0.013445391449500828,-0.0002658751374480054
44951132016854016,0,0.6948068135138664,-0.6886697642694316,0.1311174608618147,0.04552450431235464,-0.07338692528873703,0.02069085159139401,0.01181247091559777,-0.04244098574899433,0.06437111829864152,-0.057485600549487856,0.06485508178649128,-0.035662354771636345,0.028721470943541688,0.004261707951373268,0.005938762354438652,0.017956506428398102,0.005581353763209055,0.008969595819886822,0.018593452340288502,-0.004671187721158888,0.02693278249310135,-0.011592533588747254,0.022197773154061403
46608061680943872,0,0.6754539333771179,-0.7061864550008189,0.19853607652596605,-0.01770702699516488,-0.018153715357826398,-0.0027729974354974594,0.012492769475462908,-0.027170039011036474,0.028504162296993533,-0.03282982224401336,0.02661711935432808,-0.014673466363369707,0.004212395041495093,0.010934015873270099,-0.0005983056282766934,0.007974536094100182,0.01505441434015564,-0.0026287832998065433,0.019503179471854586,-0.0025894571825638125,0.016486672066672526,-0.004576906797621395,0.013127719473466937
56252977678408192,0,0.5856795706733046,-0.7393881519328547,0.3202192927519187,-0.06946909662214233,0.008335574931771778,0.0128880786785031,0.013342729542320103,-0.01642614254395969,0.030064482682347547,-0.02287993632841867,0.021732949208571807,-0.012251027194744012,-0.00033599175130239606,0.00035779448303448755,-0.008417376210091415,-0.004621144103849242,-0.004127917894926835,-0.005051271842975085,-0.005127766457666931,-0.003524425706860746,-0.0013327552642057917,-0.0029469942204471745,0.0009307967025748933
63139734399542528,0,0.5935294576498821,-0.7283638178806048,0.3169305434662064,-0.10036943025229746,0.036108998668466355,-0.004444733986556209,0.009613099478327863,0.0006525677765902559,0.015639488800261937,-0.013770446350827019,0.0316255068914794,-0.026228264813824294,0.0350835239940256,-0.018773767954352268,0.029793093853770415,-0.010236481784941952,0.02043896198381763,-0.005758043768388146,0.008467215093673522,-0.004675950782423079,0.002139110083383312,-0.00505043239720711,0.0009509451795190108
64368713521485568,0,0.6080965347524021,-0.7389239335795297,0.27996624060117653,-0.06551319301602443,-0.008858491500927549,0.006231837123815062,-0.0005817297591185946,-0.01525529629972363,0.014093946756016688,-0.02127010074539048,0.013815021851797248,-0.011869016325377532,-0.001214406835073327,0.0030112160443577863,-0.006610062911595303,0.0030309309388092064,-0.0019397308248866147,0.0013406911569317892,0.0014890583788192905,-0.0015012715570322038,0.006702947659049622,-0.004082032198662432,0.00829150997152931
69784942159807232,0,0.5834314403024012,-0.7335236904757662,0.3207611917111416,-0.07842020346865701,0.013356643437949367,0.029539887676833087,-0.015145139091012774,0.03964222236987452,-0.01680881676968987,0.0358216809819486,-0.012239777272910025,0.029478911010350137,-0.015385071962018009,0.031171363234212948,-0.025911583454342944,0.029235697589526363,-0.03450185558313634,0.020924926428068865,-0.03472840762399586,0.014119512412931983,-0.02999647798948852,0.008651955311616574,-0.01827722942815047
69886853143994496,0,0.6338924070108823,-0.723804225777671,0.25814100245028443,-0.021973115113710414,-0.011521300005399207,0.02082203280831419,0.02240718406942198,-0.015540783778332038,0.04632700674562592,-0.021386599345961373,0.04429682009028689,-0.005944778738587516,0.023994013322593426,0.012062528569510856,0.012700943234526732,0.009040655140804536,0.011363829767675594,0.0017617387437646663,0.007094698417711067,-0.005449954236049462,0.00450030179758198,-0.007774622471628174,5.282807825139586e-05
74703607425569024,0,0.5668293559210951,-0.7486288721663802,0.32863806486248137,-0.09524836610427632,0.012143050791885275,0.0035120495730017916,0.004864367757896184,-0.010968026287040153,0.0158115622449865,-0.011396984303352042,0.010092236312812407,-0.0006627285544668554,-0.004566809459701724,0.013233434183583238,-0.00861538256960184,0.009553413576329108,-0.0027080000471219746,0.0036312039548800825,-0.002771280341144158,0.0017825421446451095,-0.0022950819496139296,8.866133023259204e-05,-5.816108584802461e-05
78846635958426496,0,0.5616935201934956,-0.7528181957368549,0.32416512159383337,-0.09360541464145546,0.002848031274410035,0.0023963572245289267,0.002818530545132879,-0.023596043705984535,0.023884316071029702,-0.03422684977064525,0.022554490519094996,-0.021961179687682506,0.007122802365092071,-0.004309909868744448,0.00041059382982793933,0.0012544293729951134,0.004320409288003503,-0.000817961557494794,0.01061815975641924,-0.005708787981464469,0.014276967246676866,-0.00726897109467386,0.010782126311854845
79376016447500416,0,0.5303054884320065,-0.743013932728779,0.37280183528870553,-0.15567313480353676,0.05342254286682313,-0.015995734072701058,7.57616949521632e-05,0.001485890410240534,-0.0005162927856769239,-0.004326453008776324,0.008781909270168217,-0.010117477350380693,0.009854457868385765,-0.004931329004761012,0.004981740208769129,-8.985568945766102e-05,0.002892251731625811,0.0001995796669560156,-0.00012117415211413424,0.0018753347144159931,-0.0025978579824584495,0.0024178147151313863,-0.0031226292573261496
80762260092162688,0,0.5857345030292178,-0.7479158256316333,0.30187010345023335,-0.07070449286490939,-0.008624199463692087,0.01367383826988634,-0.003999590449498126,-0.00951332050971457,0.013060897716039433,-0.014622319629017354,0.010300306248442468,-0.0029577204650877557,-0.006661692151538291,0.013016243939997797,-0.01225407364443194,0.01029428242001234,-0.005485844562259499,0.00450854715926007,-0.0005197666392567239,0.0003940248116314587,0.0028388215999084624,-0.002001328154717963,0.003519127606175042
83757226686850816,0,0.543022214333517,-0.7467890756096464,0.3547602118328547,-0.13226214912321285,0.03892002640117849,-0.014040108869380234,0.008954512859627409,-0.01344695793195334,0.012757592676178991,-0.01620149909163926,0.016422324494437746,-0.019636197210000653,0.015937440736627763,-0.014328039066723771,0.01275462284867507,-0.011431963623463305,0.010868157853789449,-0.0036185444745872757,0.0007646504066014916,0.0057526688542212006,-0.006717382991895736,0.006252668087289815,-0.005447923035659687
84006403509432192,0,0.6072634050207557,-0.7413203171063345,0.27615664482642494,-0.051845947264607985,-0.020185942166097037,0.015815870791332134,-0.001698454647675096,-0.01518285914833345,0.021207265896434842,-0.022875968694381403,0.018378652261173755,-0.007950291014897323,-0.0020524825864081326,0.011443264181492677,-0.007625714325342187,0.008993656249535428,-0.0008552554734320404,0.0044597593675451555,0.003151522094549221,-0.0006047058297119313,0.008726169832903143,-0.004686435105180961,0.007521027181763955
