source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044
1792620565667968,0,0.5276915972856223,-0.7474316437479601,0.37381871926183385,-0.14384757659107925,0.03830270942492454,-0.005987905345833714,-0.004675361249220278,-0.0009575364910563681,-0.0019965223573387056,-0.0046403871586378305,0.0009660240159293118,-0.006622315686996541,-0.0028511680155588687,-0.002858111220609077,-0.0053290910463007655,-0.004150232674705042,-0.0019500494951773875,-0.0028618318625531873,-0.0001549848751428406,0.0011519561282165671,-0.0009117879250880131,0.004442618006668461,-0.002405230538194513,0.004290696701815842,-0.0019007759927880626,0.0038568475764503016,-0.0029380618029320347,0.0008081192342435867,-0.0006797702690529212,0.001347577627195578,-0.004161766777695653,0.006912332837162024,-0.009000712196314807,0.009469522735048686,-0.0076555300226451755,0.006904659935522302,-0.007311321076164673,0.009508838279294487,-0.007504251937822809,0.008294942563075806,-0.0045340926317961805,0.004072909211723679,0.0024481896455820257,-0.0037924688336034894,0.006344795277578574
6052403489630720,0,0.5185206098410694,-0.7451296598863029,0.38551171703834886,-0.1543098438257288,0.05023664634699676,-0.008979801805372415,0.00010783421748272864,0.0036852556786158533,-0.001131003903394799,0.0004706194477325496,0.0034819519868022238,-0.004255139355657539,0.002995616341697661,-0.0002919992761052748,-0.0026366179925497806,0.003804431322150726,-0.006397743312944524,0.00709896265331256,-0.010152453320100596,0.010180855551122806,-0.010060276025912836,0.007552746199655233,-0.005674693030581808,0.004703848453442489,-0.0035142194807541607,0.0034194160004040503,-0.0007232880394501303,0.0013963878283607626,-0.0020286712492589374,0.003752547620983323,-0.005210058633820313,0.002949934013889324,-0.0011431364301156667,-0.003790484272931455,0.0070628103578775905,-0.0075132085053247885,0.006274948899522267,-0.001519326780007628,-0.0013210284308933372,0.0024561392410111646,-0.0011268107294792307,-0.002451206129991056,0.003480146390924366,-0.004482065935404094,0.0022483319692298276
10844075163628928,0,0.6181225083909441,-0.7417074686518857,0.247292977244398,-0.04795570183209115,-0.03388874992524383,0.01809349049746058,-0.024011822846132763,0.0025995604155087857,-0.00654028368647337,-0.004641944150764413,-0.001011170755040047,0.003235167244862856,-0.011782553772428856,0.018618707882885485,-0.015747317072651184,0.014736368613274941,-0.010020739403744972,0.0120884399033418,-0.003350958065856591,0.0052701284708066174,0.008017294864973818,-0.005929773876173069,0.012153508057945116,-0.00864070759139873,0.0028922705128881098,-0.00179540393397912,-0.0031268092288725576,-0.00035621246241610607,-0.0028166059822194857,-0.00021817575496683883,-0.001868458422447027,0.0013868485785371808,0.001163629330693999,0.00019686028686220362,0.0043023812727409055,-0.0023739242743519196,0.0016148242858211024,0.006573487411877477,-0.007877759818852921,0.004732022124069004,0.000365506879202047,-0.006659239156483494,0.011978111557488125,-0.010283617310401316,0.01279400555102346
11015044926034816,0,0.58292686961701,-0.7309436268009621,0.3350087044844801,-0.08982855203310477,0.03481903089707082,0.0061443356485747945,0.019663323997660354,-0.002310235438886238,0.028565168496601196,-0.011111950849245163,0.029496315874647596,-0.011847068116852912,0.017854880295610737,-0.005597910730144403,0.006594736577111658,-0.008810940943340924,0.004568819738282564,-0.012697455096263582,0.001882759459291387,-0.014669335770475701,0.0034733832539587603,-0.013273571364968212,0.0016446944089441448,-0.004743286139745027,-0.004933980859713652,0.0054151710999712,-0.005695525170653428,0.008715979735100488,0.0018007966363771208,0.006002689618422724,0.000352763809970266,0.0035621209266363738,-0.0010941658777034152,-0.0037756215747525974,0.005220713567942864,-0.016066068912310664,0.009259251670094063,-0.004919505516978916,0.005110119662900518,0.0014300803729085506,0.008186229552556813,-0.004808072217957238,0.008702690319985384,-0.008476477853000758,0.007028297711353428
11963171843658240,0,0.6044897994164611,-0.7297859668581105,0.3041220540542369,-0.08567456197726749,0.02435552297648066,-0.0011728460558455994,0.004211288588018255,0.00013932188914173556,0.007745088251218676,-0.00996473427524944,0.013206310978720636,-0.01277960812101641,0.0036345997328173186,-0.003527439812472302,-0.0006251934184248391,-0.006174786063429213,0.002009174010171693,-0.007102727731509006,0.004155834525741308,-0.0070600828833877124,0.007772266800716846,-0.002959950471305538,0.0061311568634976514,-0.0011984758489144692,-0.0016158309515073538,0.007817595196765177,-0.010788829834678292,0.0071441821017941085,-0.008310778041551926,0.004821264466302641,-0.00838654244109759,0.01197040140685107,-0.009149540514901874,0.008131499010466788,-0.0016570203322793821,0.0004026178547445204,0.0017220465342210104,-0.0009014192339445899,-0.0028964018877227615,0.0018953854328149023,-0.0033630076677228014,0.006324327706956217,-0.0016059971055570144,0.0033113558168377175,0.0006446446031156088
16615171179593088,0,0.688708874203119,-0.6874135958863169,0.21858485191688223,-0.0004117061922005352,-0.010974152990496332,0.015278302341476984,0.018633632051170426,-0.015355809237848789,0.03246788339595846,-0.025690791949121886,0.026685668136337545,-0.016566242371491013,0.0012300270326151884,0.000751208650541252,-0.00871516734186505,-0.007396980821152377,-0.002946928030926512,-0.014403841454450513,-0.00019763264882113107,-0.015241529926895868,0.006949005434103301,-0.014259370883857713,0.009697761973871967,-0.003795547413917515,-0.004043403624270547,0.015131475233775943,-0.006565729711622009,0.010328080650060963,-0.00037270541756335664,0.002615927020533851,-0.0030023227216188046,0.00619023352381421,-0.009889461393388263,0.0028008642835664166,-0.00316559137780064,-0.0030695645768013644,0.0019949717697813974,0.0028528924967183237,-0.0042552133584710175,0.00923899766210381,-0.001865528533007029,0.001968107338885762,0.0037625710893958914,-0.007921229189751418,0.0031400690767011486
25501939551450880,0,0.5621226992709992,-0.7494518512240752,0.33294705955686404,-0.09941274233292527,0.010145951360687418,0.008830828286854539,-0.003045554953935135,-0.006346707403372557,0.014604334542856897,-0.017121122372142937,0.018120889987750386,-0.013006381150535708,0.00713231608278455,0.0010746742768258763,-0.0040580408843479175,0.006976487976030666,-0.005263279198776875,0.004879472503391692,-0.0022864151141385584,0.0004498995820537094,0.0026064360332757573,-0.004138473321094558,0.004219721299739009,-0.0022989663170463193,-0.0015964213434068813,0.0031832348703309085,-0.003686276321754472,0.003075971261455608,-0.002726032214426606,0.002321258076829865,-0.0019633989304679573,0.0014692050018671238,-0.0010104475799044084,-0.0005480481577279587,0.0034709129635642124,-0.004657888182623834,0.003869220733909849,-0.00016631930861050353,-0.002434246383115722,0.003630191183228913,-0.0035384518299442676,0.0027767048297383918,-0.0012411028058467882,-0.0002617717223253031,0.0014951440770040352
30269452033850624,0,0.547856420703111,-0.7413147669274724,0.35603491045653995,-0.1420664117505785,0.04937673874787093,-0.015372578837043953,0.001750251651711741,0.0026349539912418796,-0.0012002282037034619,-0.0033351657083439553,0.010067131091329673,-0.013175317572640446,0.013005749284821512,-0.008169268638235659,0.006139454022363231,-0.0016377568201827745,0.0016723256047927373,-0.00036588824497584417,0.0008245589018320839,0.0008154226602570632,0.0003869875061979833,0.001124138652505021,0.0016453092756765731,-0.002754375269848991,0.003273091017231248,-0.0024669051672044284,0.001331747219280946,0.00021461389325122483,-0.003138949101724428,0.0025258150798225646,-0.0030459423989310287,0.0025946975583374366,-0.0025175780099015426,0.001968044660623412,-0.0006505500067187743,-0.0006465170904756053,0.0010714629608302565,0.0018604401471491612,-0.0034366583497883896,0.0022067488769443168,-0.0019936087228175797,0.0006363323109302895,-0.002093113511547936,0.001603268684117581,-0.0018364007892222977
31265029748469120,0,0.5464419573273821,-0.7456216127056977,0.3549555681685385,-0.12791448962239885,0.02787335486276805,0.006154662280649021,-0.01608500899544694,0.0160429407973935,-0.013219121056445135,0.008660651060269097,-0.003722893067069735,0.0017956549146464417,-0.0015608651997429388,0.004272016723818073,-0.004035454230095871,0.006974456445653854,-0.008343446966524896,0.011528019568176569,-0.01283347476899657,0.014023640202553818,-0.01240430882585906,0.01188549428303268,-0.008245287220788733,0.006211556374568966,-0.005247438975024439,0.003052873400283514,-0.002578436331697657,0.000646165726491546,-0.0014848725040525214,0.001634956691388752,-0.002022609877315468,0.0024964024300668844,-0.0015575819134412367,0.00017702975159566918,0.0031315050467511573,-0.006151910898745339,0.009335987101502097,-0.008712151826857549,0.006788273778025831,-0.006300095306085159,0.0052592117559324145,-0.005044798180521993,0.004887784159948577,-0.002750288925388108,0.001571282976509495
35928500943041152,1,0.6360361677131038,-0.7146726113773016,0.2748990603819904,-0.06762415395645423,-0.003560747409486307,0.006167829568464171,0.005006529985846991,-0.01913076649320967,0.02639164673741685,-0.027868090911464246,0.024990284919939928,-0.016517457788899192,0.004644022770023759,-6.682926003985664e-05,-0.0015267750951391446,0.0006206617379471684,-0.0009346149339247728,0.0015482485716723014,0.0034214453892747318,-0.006353609538934991,0.016647153868981027,-0.017169374586347857,0.018968090057828662,-0.011728721849513422,0.004945397316920175,0.00046726278050138664,-0.0015375862550063369,-0.00011431135727157654,-0.0005477062320401559,-0.005238341662411267,0.0007615260513324614,-0.004596494875256642,0.0068035790904260995,-0.004467217638397103,0.012172980496953222,-0.00835497093976552,0.009389369098391585,-0.004780918243126789,-0.0033833284039631916,0.0027004083865606768,-0.0015877629758587978,-0.0011889694489576063,0.007062561223393171,-0.0038596603183241747,0.00617818376531175
36876009385300352,0,0.5917855100738038,-0.7414317146130981,0.2923733422720466,-0.0973841449964729,0.004374366086272506,0.0020795207509216236,-0.023486327337667815,0.01208205504432941,-0.02087744826158373,0.008325838825221312,-0.00919032548472227,0.0033591562258896966,-0.005433308667922651,0.01336280677972313,-0.004797180964259053,0.015183189194999579,0.0022453505818953515,0.01400138516126612,0.002478611403120658,0.015724359702504347,-0.000610117650016818,0.015538408704659357,-0.003736591517483719,0.008771337442576441,-0.009482600760892045,0.003385754914082061,-0.012057401733727139,0.00069804900667626,-0.012452510334581005,0.0043433484714508995,-0.00860141911341234,0.009195750246291642,-0.0046163932268213715,0.009447678662137485,-0.0026385320335189123,0.008852440809476059,-0.011414352944556382,0.01768291243087664,-0.025137739700066997,0.016744754973987235,-0.016174038268816974,0.007314146269918726,-0.007835769493728861,0.004542436741983912,-0.0020649144136575793
44951132016854016,0,0.6964050754074306,-0.6861609503651205,0.12490686735644452,0.05341445378649643,-0.08103388849851494,0.028139809313106164,0.004966744170191865,-0.035855370666513925,0.05814551375378637,-0.05154801234753915,0.058920925738459376,-0.030257490048905065,0.022862582984726678,0.009083888718471704,0.0003072262551959637,0.021773704103103496,0.00038481535932717597,0.011314142791795911,0.013946912011025648,-0.004288878032070206,0.022764036076929183,-0.01406758154631298,0.01825546057504905,-0.010048207201251873,-0.004096488732565045,0.0032192905395977433,-0.012235618624298832,-0.006094545740267932,0.0006706870404676393,-0.011361988326458947,0.008567064078757057,-0.009643544549609825,0.022904666478598696,-0.01701427830872681,0.032181046250304206,-0.029638611408583055,0.021935050287018927,-0.015035971738318596,-0.0013059738463667375,0.0002902387783993082,0.002383836577725569,-0.006728905763059912,0.007855458803495757,-0.003039418189824808,0.003814610120384368
46608061680943872,0,0.6744825275784121,-0.7059622558015857,0.19988063414997817,-0.01944681147413773,-0.016300988043408595,-0.004509594745471581,0.014056236273660401,-0.028766513097653032,0.0297282138055561,-0.03431677693928407,0.027447117896999017,-0.01609675253368036,0.00458009140665145,0.00957337099468326,-0.0009037234708075087,0.006772166841160303,0.013804493513312139,-0.003658917330898405,0.017037964319308714,-0.003554782683849252,0.012345046699431204,-0.0058399078001990954,0.0063780702959673665,-0.004814415257152315,-0.01243164545486478,0.008810287097596141,-0.01920542469663777,0.009236604585755561,-0.009644511460366805,0.006060863150429641,-0.00123206685412496,0.007092622168935922,-0.0032931815221361386,0.006338565657633388,0.0026373856500467576,-0.007294310751979614,0.004804842099276805,-0.003311329371741824,-0.003935985658365343,0.0024428265860560443,-0.002168505282818292,0.0038712612627465545,-0.0006923524532017037,0.0006491063794314677,0.001849768646395289
56252977678408192,0,0.5819587731581588,-0.7380015836326356,0.32239998010034926,-0.07555728279571916,0.013881362168034948,0.0061598626810237846,0.018520798491014314,-0.022364564381980128,0.03460417565435941,-0.028114338442973962,0.025766653230436493,-0.016778213900335622,0.003171826657301778,-0.003250798105153147,-0.005807854157450777,-0.0068178224265192135,-0.0028325256905845967,-0.005489440523259696,-0.00547482379984376,-0.001613797213987409,-0.004009126533814607,0.0025020323493603,-0.005391378304254084,0.013234812939903721,-0.015743165677449777,0.017852545128343965,-0.014015817844800136,0.009298956725908114,-0.0006543192171610354,-0.0007536624065512695,0.0018046134409056094,-2.8763490451488814e-05,-0.0006583433823820375,0.001307756814991163,-0.001672536924424975,0.0010762840099827497,-0.006512660368744919,0.01395427458432729,-0.019154908362601426,0.022131409740163657,-0.016358942724244006,0.017834156516761297,-0.008250190430968706,0.0036364211218350155,0.0010498674641755098
