source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021
1792620565667968,0,0.5292762578665772,-0.7477621873528725,0.37330525553772875,-0.14095977138694749,0.036033315284279145,-0.002478150087070746,-0.007062807155405531,0.0023842811669845016,-0.004202843694600007,-0.001586986033936972,-0.0010012669112147334,-0.003929388505778077,-0.004551717146155619,-0.0005882772952028005,-0.0066782575533345535,-0.0024449192563533533,-0.002817102979810073,-0.0018561190613413843,-0.0004074885910607803,0.0012514531396215474,-0.0003105966587339217,0.0032090622825985075
6052403489630720,0,0.5183837734459058,-0.7451891168559669,0.38589583910402586,-0.1549686888907393,0.0509806653039925,-0.009805448600823104,0.0009471193303356983,0.0028112758940490195,-0.00022140110226885495,-0.00045348826907009064,0.00448669846657452,-0.005251593337302649,0.004142403854045319,-0.0014028776074451643,-0.0012820342983805182,0.0025294976652220445,-0.004741994418142571,0.005582177334238067,-0.008025807945272764,0.008282518209617049,-0.007079885894168059,0.004965420143225996
10844075163628928,0,0.6183061126487456,-0.7416689366388407,0.24911143524163426,-0.04891853195223654,-0.031755894765398134,0.01711645702207666,-0.02207929691184149,0.001777967353072333,-0.004904891078189739,-0.00526721569483877,0.00024570094891891226,0.0028469146847526915,-0.011002478826762179,0.01853627230328723,-0.015618404935766675,0.015097714031714211,-0.010802180502332793,0.01305622568839206,-0.00547422267112368,0.007141481676707852,0.0035307936924431405,-0.0024629823809542233
11015044926034816,0,0.5823646897818325,-0.7300052744875415,0.337328361398271,-0.0915365968037709,0.038326210982222005,0.004091874599721389,0.023125530876111057,-0.004242364575539837,0.03183747694465456,-0.01289125584920838,0.0325656417459448,-0.013472771800618323,0.020724087704620957,-0.007058363696789318,0.009206092030878908,-0.010012964917085573,0.006812507064369612,-0.013554952379561348,0.0036476686238823587,-0.015025902258729969,0.004460257674730778,-0.012671842879036005
11963171843658240,0,0.6061944714547566,-0.7300882397767033,0.30287649601855643,-0.08270617464575339,0.021705109941597748,0.0021265460474299016,0.0015202478120438857,0.0032858720216959215,0.005159257855878721,-0.007087411013052815,0.01075658265772706,-0.01019519412478531,0.0012584639654530149,-0.0012396995466075595,-0.0028984128452870265,-0.004316228160761517,-0.00015498274841211943,-0.005738514943024102,0.0019824285158290497,-0.006247713897408403,0.005164383356588261,-0.0026388763718457335
16615171179593088,0,0.6899618230375107,-0.687227355256755,0.217958919701694,0.0015937867359484988,-0.01223473838832161,0.017256323132232798,0.017425170582123003,-0.013566937208147013,0.031252163242080175,-0.024075013162174107,0.02538535660130292,-0.015112217947184885,-0.0002459328235798902,0.0020222462386069906,-0.010388635415138339,-0.0064207035369092755,-0.004893501277229539,-0.013752107697575908,-0.002680038573531135,-0.014879811523083838,0.00321219989695181,-0.013895007051847633
25501939551450880,0,0.5624107662445306,-0.7495263421668729,0.33278326859717267,-0.09888681209860045,0.009674934468552275,0.009446190845905656,-0.00354024694187802,-0.005762492736388103,0.014107656660412788,-0.01656894196253754,0.01759863564642123,-0.012476355830288924,0.006554587233321046,0.0015898852153198666,-0.004719114482477397,0.007471827595085391,-0.00604999824285379,0.005361081732801892,-0.0033070310455243783,0.0009610969085591724,0.001029649060526812,-0.0034252791307271867
30269452033850624,0,0.5481862131280061,-0.7417246487922833,0.3554039172872615,-0.14142855280812322,0.04821889842851589,-0.014513514217465877,0.0005243745920289183,0.003526224261833984,-0.002411381362127715,-0.002450665736321033,0.008898317471702213,-0.012298336092759468,0.011864343751586213,-0.007262727966171157,0.005002620587942581,-0.0006789780904224076,0.0005288750362198467,0.0006729767124568705,-0.0003541664828398183,0.0020091537531356667,-0.000908183040339757,0.002657324612026378
31265029748469120,0,0.546089195254943,-0.7457481004282345,0.35621189476534765,-0.1296774745975088,0.030014245739840364,0.004037364023055565,-0.013795155889938309,0.013898018431567688,-0.010883742519915736,0.006527064179150431,-0.0013294394405349895,-0.0003417102030152636,0.0009556096172721793,0.0020811616862353786,-0.0013121242178720644,0.004685523741188201,-0.005288815002521709,0.009056615289197231,-0.00922403658127857,0.011217990900120704,-0.0077302495577906815,0.008369232472472964
35928500943041152,1,0.6355013718209764,-0.7147186083265175,0.2772429444999572,-0.06985419148754886,-0.00042043040224246363,0.0038189447399230242,0.00782101623848022,-0.021178085360992197,0.028698350213438934,-0.029586871396506155,0.026707973037671345,-0.017878589992908193,0.005639903753636964,-0.0009658296427775551,-0.0015666480320601843,0.00040044272852224707,-0.0024237501752009563,0.002242715188459069,-0.00020272313594424615,-0.0043068833204560845,0.009308291821461234,-0.012813475863086217
36876009385300352,0,0.5941924105292146,-0.7427640044880759,0.2871686433235514,-0.09154169776988338,-0.003876271622823553,0.008811919364847579,-0.031689482925265994,0.018566546693825913,-0.028531396453935202,0.014272224016808367,-0.016022375247498263,0.00860466898243619,-0.011343635964278861,0.017904982181014845,-0.009601722141426544,0.01871976560470189,-0.0011142652144892856,0.016220250578587146,0.0008350958082224464,0.016232188106677703,-6.182837361687704e-05,0.013445414434781063
44951132016854016,0,0.6953253429811143,-0.6891266966989381,0.1312796529593256,0.045554709823670596,-0.0734823688238429,0.0207045799726558,0.011561954453268885,-0.04246914534556037,0.06384006198373585,-0.057523742248868345,0.06388133342631838,-0.03568601674614586,0.02711337059989527,0.004264535594853944,0.003467985698822821,0.01796842057148039,0.001890009610554078,0.00897554714724475,0.013004120084722372,-0.0046742870544898354,0.017751678597164217,-0.011600225235470595
46608061680943872,0,0.6756550227133195,-0.7063611403817922,0.19862963935015893,-0.01771140708307895,-0.018185843073078523,-0.0027736833763123527,0.012343133210321293,-0.027176759911135648,0.028172029908186916,-0.03283794317293498,0.026022632021988453,-0.014677096056411293,0.003251539738356681,0.010936720559427541,-0.0020613877903280474,0.007976508710349215,0.012873803252484542,-0.0026294335671829152,0.016196565471874657,-0.0025900977220580323,0.011052757616530434,-0.00457803896137345
56252977678408192,0,0.5856799001936581,-0.7393855247680156,0.3202213059625506,-0.06946884978728596,0.008333586245864413,0.01288803288509138,0.013331856057293631,-0.016426084179237285,0.030040332725610523,-0.0228798550323311,0.021690264817150886,-0.012250983664876817,-0.00040417500015922013,0.00035779321173423135,-0.008521046926181964,-0.004621127684181477,-0.0042827406159272165,-0.005051253894995965,-0.005362480762184166,-0.003524413184010462,-0.0017182246322265996,-0.0029469837493024463
63139734399542528,0,0.5935387389979809,-0.7283721854850774,0.3169374036920386,-0.10037058331848807,0.036107411991302574,-0.00444478504864112,0.009602149326711882,0.0006525752734333512,0.015615104518574755,-0.013770604548757694,0.03158234009129527,-0.02622856612992547,0.035014265597296645,-0.018773983631545598,0.029687489151445312,-0.010236599383906012,0.020281005338368553,-0.005758109918068061,0.008227495101387528,-0.00467600450077909,0.001745310471412378,-0.005050490417689302
