source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011
1792620565667968,0,0.42924701122494363,-0.7064885249846885,0.5031794346571452,-0.23811219993594498,0.07912910896703251,-0.006996489793061269,-0.01057207238350722,0.009754885219597175,-0.008227758842994636,0.0018306369055437982,0.005575548910356811,-0.010704062360230925
6052403489630720,0,0.4152752747467598,-0.6996491198409407,0.5108951616682018,-0.25731113661782246,0.09852496039262004,-0.023636976641001582,0.0008514077083465162,0.00975479931927679,-0.007664070051031427,0.006566640711573827,0.009102632703520007,-0.016376687522504287
10844075163628928,0,0.5535482500926648,-0.7351112946415673,0.3713741154323437,-0.09588892443689154,-0.03554241616071013,0.034889656507782724,-0.043225000285689846,0.00897509668369553,-0.008916715171865246,-0.02446861556356728,0.021227811624115512,-0.022890051017272005
11015044926034816,0,0.4992977244337145,-0.7231009812253143,0.4410016323394021,-0.15770083536957136,0.03702230835239835,0.019475648856100345,0.0026036773925471506,0.01165920510309501,0.03444676914847631,-0.014051034038052267,0.06650583087768232,-0.027839804368564983
11963171843658240,0,0.5347301748573915,-0.7226229405192871,0.409878791743175,-0.14185023842383762,0.03777350021732499,0.004334222157239448,-0.006253202268672659,0.021496007734079958,-0.0012978774904756397,-0.004142309091386203,0.03146238613732348,-0.02832107397260887
16615171179593088,0,0.6302723428303837,-0.7035102468349999,0.29870798077724675,-0.006418614891605945,-0.05194205701155145,0.05975956403350397,-0.005712362661031764,0.0028793300800739304,0.04781216978795721,-0.04403108555700242,0.07746524301161624,-0.04501934812004993
25501939551450880,0,0.4744825302361772,-0.7268512210045284,0.4578628980981431,-0.17123939232905616,0.016208965290837898,0.033527645445935284,-0.031535626875816854,0.011435864634782949,0.01233054932823412,-0.02977928441647362,0.04575423602697082,-0.044134582993356875
30269452033850624,0,0.4607197949362858,-0.7072581229192207,0.47188259346354877,-0.23023058834672744,0.09398535759347064,-0.03335716814910432,0.0006148633555995098,0.017140579955472815,-0.022634833858958214,0.013272545112623546,0.009054856007898364,-0.028866937355956333
31265029748469120,0,0.4513123568446905,-0.709503170864519,0.48288075421955434,-0.22749548420089352,0.07574838488449699,-0.009075332733343117,-0.018401512158256066,0.026468215035690988,-0.02734983801291769,0.01804584981661351,-0.004006137367067926,-0.006731415882400613
35928500943041152,1,0.5708650574146907,-0.7058714025366108,0.38371829062964635,-0.11162369280066611,-0.020244945743662944,0.04372947608916107,-0.026082334766249587,-0.008012611176587123,0.03840326657192736,-0.05751629186395,0.0727893038562015,-0.05487477967844777
36876009385300352,0,0.5227668774876334,-0.7219306130899896,0.4132054151254185,-0.16736672035333153,0.03557309913192287,-0.0076503133114943994,-0.03216184617604529,0.023495538532841052,-0.05012138302063503,0.02161084025915546,-0.029223679826822294,-0.006086480370420275
44951132016854016,0,0.6273478499745635,-0.683802723684507,0.2105094103812304,0.06985417244659727,-0.16324510587496396,0.1048827446371554,-0.06748005111510555,-0.017336608449206065,0.06818889698470881,-0.10314762340862103,0.13835704217646447,-0.11278029053989366
46608061680943872,0,0.6273699199655937,-0.7119590823647732,0.28038562010623386,-0.015437129505890275,-0.05754546728447949,0.03632181349789068,-0.014322392439505234,-0.019893071026134537,0.036931508276280424,-0.07273077901081342,0.0702625978491229,-0.062005582930418524
56252977678408192,0,0.4999170840980508,-0.7303218113726889,0.43370560689076704,-0.12103956652338409,-0.008853469864130003,0.05475191400247045,-0.012820825914993748,-0.006522015382163938,0.05076539395560926,-0.045982202374928886,0.0681412033627463,-0.03666132452275337
63139734399542528,0,0.5220531599288171,-0.7179227880068582,0.4202017758812081,-0.16563724038926106,0.051596936839550495,-0.0024637990016939245,-0.01034445772729601,0.03061292317726518,-0.014205389250978093,0.005076148421267729,0.03604582742023648,-0.05294153097952092
64368713521485568,0,0.5385488733471213,-0.7302246790852364,0.3954855012483955,-0.10846920640544365,-0.021629356957555076,0.0386116115150843,-0.022564875380925612,-0.006248754758172628,0.019406568997593698,-0.043456365773886896,0.044896810597898525,-0.042130490430552676
69784942159807232,0,0.49576482217638007,-0.7234934524033019,0.4393559183548276,-0.17287379659571311,0.046880773182401615,0.0027081956396724756,-0.00921254332740493,0.039359816822354406,-0.020908860789090176,0.04733086980631606,-0.003302896447989477,0.03644152446627561
