source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015
1792620565667968,0,0.42914241996740776,-0.7061847377584515,0.5032849286651715,-0.23794182257043783,0.0796380099743715,-0.006868104859108396,-0.009781956538098548,0.009924388275147607,-0.0071836266976953635,0.0020523363805005418,0.006879676662439329,-0.010426331680447314,-0.0030001646473120976,0.002523179388114192,-0.019271129125283688,-0.006760678824851578
6052403489630720,0,0.4152764509635667,-0.6996496992241297,0.5106595358022207,-0.2570999809744985,0.09797111135459981,-0.02324356538895478,2.1746721984963905e-05,0.010303748918176514,-0.008764430960447841,0.007271035020009411,0.00772427207558981,-0.015512924910174386,0.017827663891061052,-0.011245400993210471,0.006024715381767608,-0.002618389523438909
10844075163628928,0,0.5522709841762199,-0.7337631496931797,0.37101462939524127,-0.0968199641539343,-0.03441308528839975,0.03294583654086848,-0.04159998743810477,0.00639366822457854,-0.00688622418984341,-0.027694247712748466,0.023694245992219642,-0.026880057451671525,-0.006816067411629004,0.032592308516204115,-0.03616891252704375,0.03171843577762125
11015044926034816,0,0.49885756602758213,-0.7226438472810013,0.4398308398914606,-0.15740157278797648,0.035284496313004676,0.019814280113864612,9.519353924236802e-05,0.012133619151011377,0.03110839315008518,-0.013427117111619076,0.06230369988307771,-0.027066423910835795,0.0512340552548283,-0.0024432865454796396,0.02077327089476288,-0.009536878146015934
11963171843658240,0,0.5346557989614162,-0.72251584425264,0.4098506755556685,-0.14183483900811233,0.03782949110204602,0.004323805505092257,-0.006162359364816252,0.02147920775958391,-0.001178825689917903,-0.004159208138072033,0.0316064508382684,-0.028338566942959106,0.008842306539722629,0.005043623556940072,-0.011174569264197852,-0.0045837349226468815
16615171179593088,0,0.6295960974954377,-0.7029196492368679,0.2985182395995745,-0.006871666204721172,-0.05162253837760579,0.05896385828514427,-0.005325035033610775,0.0018711412761872612,0.048262765186536584,-0.04527307578347949,0.07801050351171603,-0.04655930692681989,0.017350719668858403,0.021498317306267924,-0.027704141553670708,0.00397280149444371
25501939551450880,0,0.4741345890448488,-0.72649629226497,0.4572708761498534,-0.17132669217374644,0.015624422670705409,0.03320674394908017,-0.03235513908708966,0.011014568443786801,0.011212261791288307,-0.030293410919940467,0.04433191267310748,-0.04476255599625567,0.03082597321295242,-0.008755739675846542,-0.0064259059801434065,0.018826754100312877
30269452033850624,0,0.46050469119954374,-0.7069007110414237,0.4711531142834312,-0.22966393611227268,0.09280861745201445,-0.032522661120442324,-0.0010752643481769417,0.018279238124292167,-0.024869098073908427,0.014737225858279185,0.006243334051212112,-0.027054428879930648,0.031008175209029192,-0.024427598276538297,0.01744735809379796,-0.004514395235552064
31265029748469120,0,0.4513136162767808,-0.7095239841607578,0.48273126629949903,-0.22741861164718838,0.07540773073710517,-0.008922849860275984,-0.018909544780902426,0.026681865878815235,-0.028022990541731976,0.01831894786414753,-0.004848349113544904,-0.00639762388774442,0.007368313650484159,-0.003940878076828887,0.00710672625689677,-0.001401166505437127
35928500943041152,1,0.5708215874823501,-0.7058520764620545,0.3834777425399755,-0.11156432366389413,-0.02068716779872322,0.0438255180919401,-0.02672730121115255,-0.007880791465867098,0.03754942326085249,-0.05734732338902832,0.07171748730144835,-0.05466648556732089,0.021358300777980028,-0.0038431781861304123,-0.002650178053949151,0.00047522399299681383
