source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008
1792620565667968,0,0.5298760824572007,-0.74704923503966,0.3743200922034458,-0.140010900665749,0.03702198010943522,-0.0013767135711377158,-0.005956912680039652,0.003684136688646834,-0.002934946462804329
6052403489630720,0,0.5186359401722296,-0.7458428996010099,0.38512421244621714,-0.15448586200883246,0.04945761771192622,-0.009023935606882751,-0.0009162212494440344,0.0036411546582127735,-0.002646747304752527
10844075163628928,0,0.6191028204232415,-0.7415240854013235,0.2506889375113757,-0.048691336321853164,-0.03007662045931949,0.017515512532331332,-0.020234038359250594,0.0028306488589316995,-0.0030188957447722414
11015044926034816,0,0.5848783494077093,-0.7344923164299653,0.331173006859035,-0.0872438962657386,0.027162872884790995,0.010558900861324558,0.009576658934368376,0.0039059004290572523,0.013964780217187181
11963171843658240,0,0.6074871070943059,-0.7302366335508047,0.30146614531219607,-0.07985872109059913,0.018776633702829122,0.0058336865532757996,-0.0021468949066063277,0.007963236683543488,7.391027414937375e-05
16615171179593088,0,0.6939609084161367,-0.68621376853869,0.21403941212887878,0.010196043511032867,-0.019151485368699615,0.027527586599035765,0.009357004055970505,-0.0003849392469168004,0.019996076902789078
25501939551450880,0,0.5646703241548526,-0.7500726875638086,0.33064841517335847,-0.09368927933796888,0.004382666516467111,0.016502205491344214,-0.010002373066887858,0.00331651488605355,0.005454867579077011
30269452033850624,0,0.5489716514300023,-0.7428719964181173,0.35352647411065985,-0.13975586592119665,0.044625001829479406,-0.012040448725560555,-0.003930294331479448,0.00641039862903399,-0.008108593562954836
31265029748469120,0,0.5454376518008116,-0.7464571913006749,0.35596375099364796,-0.13143080516106814,0.0302957968258988,0.001677473120246089,-0.013321833340565673,0.010637106109936728,-0.010193747860166663
35928500943041152,1,0.6405824780344342,-0.7144782764726237,0.27374898952922305,-0.06016129432991551,-0.00845561169971126,0.016284222785333747,-0.0017508173328062116,-0.005169145003848552,0.01582820197966459
36876009385300352,0,0.593163262210103,-0.7437256772321496,0.2907956729094049,-0.09693344599043185,0.002066190459373549,0.0018211940363978467,-0.024512348749441557,0.009621546905214226,-0.01924135542625474
44951132016854016,0,0.7043472769385601,-0.6879616310946267,0.11566063321657938,0.06741262059126792,-0.09652131085258003,0.04532484177915857,-0.013428609485976913,-0.011920738676623339,0.031444042766217976
46608061680943872,0,0.6809012467726355,-0.7053102734179646,0.19419857602986368,-0.00712320122166905,-0.026191361564763916,0.009876982859623707,0.0030629866612766226,-0.01057542066232136,0.015566624758684687
56252977678408192,0,0.5891960286176862,-0.7394109892719394,0.31825387319395176,-0.061973367706222714,0.0025655567272821404,0.022593499572129316,0.006397949079253398,-0.004062696355380864,0.020462530119779224
63139734399542528,0,0.5973480338288408,-0.7332253245939769,0.30971638435036886,-0.09431997625290045,0.02299362719870679,0.004235440839538981,-0.006323530128699264,0.011286302564119275,-0.00463030125871548
64368713521485568,0,0.6114003608313539,-0.7377872487169747,0.27918415209839875,-0.05863291082262069,-0.012274860825740823,0.014903407249821423,-0.004761981777886228,-0.004000771768938026,0.008154691309085357
69784942159807232,0,0.5804907088846338,-0.7411617397426515,0.3227272637027089,-0.09297342548841178,0.018788304692284562,0.011707014536098381,-0.008209882019300204,0.017127502676888503,-0.007877801907778696
69886853143994496,0,0.6364882434918933,-0.7287464588045555,0.2478696541924708,-0.015994552825864327,-0.027264490091479614,0.028631505913089286,0.004222907319884064,-0.005467994065257914,0.022478345817714816
74703607425569024,0,0.5680414450685343,-0.7488840088902704,0.32795197871787213,-0.0928145180019812,0.010040226840305616,0.006882430761033755,0.002233882461316871,-0.006208558847035189,0.011954596354029332
78846635958426496,0,0.5674054416059219,-0.7525871855522757,0.32304284872587125,-0.08234794168655098,-0.003978009678990508,0.017195043281011135,-0.005530385596296523,-0.004726610558348891,0.012700680253413248
79376016447500416,0,0.5311583762558324,-0.7441045254521257,0.3711608853450085,-0.1538495850659657,0.049962978425754305,-0.013204701458330022,-0.004245501169220377,0.004920585131905459,-0.0060197265618872195
80762260092162688,0,0.5875315299713708,-0.7474753505709495,0.3016677956410057,-0.06705747131028902,-0.010378493666473025,0.018442972347004566,-0.00624279657026973,-0.0029730806382060534,0.009564001026038762
83757226686850816,0,0.5464552153971421,-0.7483814224757942,0.35262894482552987,-0.12598727181135339,0.03239682330763158,-0.005294547472259571,0.0009232654332137235,-0.002635888378814815,0.0025674795359694603
84006403509432192,0,0.6102483679124591,-0.7408255869007313,0.27436011564534607,-0.045249141420101856,-0.02490363444762289,0.024220489578158626,-0.007361604987594283,-0.004081597764424098,0.013256907813382256
85707760314515712,0,0.608269275463548,-0.7303170499833035,0.29871247668253953,-0.0838498002589173,0.019266229653208292,0.001734305420964033,0.0013612136180981478,0.0030842281461624967,3.892741283754477e-05
93468972376758144,1,0.5914105141941505,-0.7291991650306457,0.3208445076983377,-0.12126967600524706,0.026996722191780606,-0.009533359913438772,-0.0031518418868168208,-0.004981488711822417,0.0004378164097017173
97013488627139328,0,0.5443398221924162,-0.746557407303829,0.36113441497368537,-0.12221174415916154,0.030361421757674596,0.0016402056122557143,0.001187077251850387,-0.0025313897558128973,0.007752173527941626
99836961472298752,0,0.5460200742275098,-0.7465929678014452,0.3525994107627302,-0.13550316940634083,0.03789700084292976,-0.015978357428225735,0.003612251590873043,-0.0074033896069707434,0.003770472437976542
100734064176680704,0,0.5569735267196998,-0.7514235431795784,0.33612040700186235,-0.1089374322971,0.014066764814492734,0.005683684504426309,-0.005978669944144485,-0.0006747411380101249,0.005699054174941219
101096662495962240,0,0.5730220095814118,-0.7496750017517809,0.32135364616492706,-0.0731086000450836,-0.003949016332557475,0.020228698732797597,0.0024597536402838995,-0.008489579722723132,0.022742397530739842
102622917779071744,0,0.5702184998651398,-0.7529708386937617,0.31766915315771355,-0.07641919517620549,-0.016016646607599196,0.02284394924092257,-0.01880117276521775,0.0005062960565214878,-0.0002735151290440482
102803104542235008,0,0.5300785409565238,-0.7489853180669556,0.3699315409767606,-0.1405414743417029,0.03514128875332928,-0.0003257383269952384,-0.009911579765638957,0.00753256776736112,-0.006818170329415693
