source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014
1792620565667968,0,0.4291247561650127,-0.706205255909072,0.5032642131052216,-0.238048213372172,0.07963473201813479,-0.007051769829670326,-0.009781553905921789,0.009670447728758712,-0.007183331014593633,0.0017266661885430305,0.006879393490130505,-0.010826644806473834,-0.0030000411584363285,0.002043459549858336,-0.019270335912124542
6052403489630720,0,0.41526571727264894,-0.6996508197987317,0.5106463367354107,-0.25713833432419464,0.09796857908573091,-0.023314208050672303,2.1746159894266133e-05,0.010205288930818164,-0.008764204425347921,0.0071447468357098585,0.007724072425574666,-0.015667732540808714,0.017827203097693728,-0.01143086692977858,0.006024559660356813
10844075163628928,0,0.5526597823231685,-0.7340469105401571,0.37127582327385006,-0.09634262657847407,-0.03443731206144274,0.03383268330378906,-0.0416292737821159,0.007588528028933327,-0.006891072083870959,-0.026185086506476298,0.023710926714542214,-0.025017455370179853,-0.0068208659153633985,0.034867099094647365,-0.0361943754004768
11015044926034816,0,0.49883505963547264,-0.7226811911359857,0.43981099654133865,-0.15755836545082202,0.03528290442232378,0.01955390342406427,9.518924450153099e-05,0.011775430912232019,0.031106989667923243,-0.013885793473038687,0.06230088899757469,-0.027630503295466895,0.05123174378595226,-0.003119738714201132,0.020772333690609435
11963171843658240,0,0.5346409116706612,-0.7225293452493735,0.4098392634168964,-0.1419096638228346,0.03782843775401335,0.004198967076378709,-0.006162187776226219,0.021306712858551694,-0.0011787928659596166,-0.004379842125534458,0.031605570768464,-0.028609484435556155,0.008842060329002999,0.00471829953020943,-0.01117425811250213
16615171179593088,0,0.629618545502498,-0.7029155713979284,0.29852888315276155,-0.006803631969624898,-0.05162437895938776,0.059074062737242625,-0.005325224895691765,0.0020202033676209093,0.0482644859768913,-0.045083350199790324,0.07801328494625588,-0.04632545929385423,0.017351338302102583,0.02178094389884868,-0.027705129334204583
25501939551450880,0,0.47432195449534276,-0.7266452420633572,0.4574515775069951,-0.17107071035275276,0.01563059702933541,0.03373233690209169,-0.032367924982385526,0.011725250830114347,0.011216692580623385,-0.02939831385025778,0.04434943147257968,-0.04366379369559444,0.03083815482233202,-0.007423009591904596,-0.0064284453282507275
30269452033850624,0,0.460484462227035,-0.7069027685051552,0.4711324175487877,-0.2297314287356427,0.09280454057069774,-0.03264406187755191,-0.0010752171141472377,0.018109141399920217,-0.02486800562835931,0.014519171537442784,0.006243059795083379,-0.027320832507099112,0.03100681308713015,-0.0247467845023972,0.017446591669185562
31265029748469120,0,0.45130891152471314,-0.7095268646420813,0.4827262340318239,-0.22744032118658067,0.07540694464365441,-0.008960881599495155,-0.018909347656960385,0.026629041005712135,-0.02802269841400333,0.018251276421278394,-0.004848298571574379,-0.006480614523572037,0.007368236838953734,-0.004040241584785409,0.007106652172299543
35928500943041152,1,0.5708250345449917,-0.705852853318022,0.3834800582754514,-0.11155683009797193,-0.020687292723858802,0.04383871346817559,-0.02672746261128973,-0.007863016851627871,0.0375496500133364,-0.057324782431614346,0.07171792038715383,-0.05463864524011611,0.0213584297559329,-0.0038094864690457098,-0.002650194057781953
