source_id,y,c000,c001,c002,c003,c004,c005,c006
1792620565667968,0,0.5293821228300347,-0.7470034746554798,0.37460138556097294,-0.14119486290920197,0.03804613155145039,-0.003218194209270665,-0.004508281763352642
6052403489630720,0,0.5181269847419557,-0.7457981891510543,0.38529973930726535,-0.15563001588526618,0.05035329801880373,-0.010830379123322013,0.00038216906902728136
10844075163628928,0,0.6188082024355096,-0.7416033560977141,0.25136014546972996,-0.04973455980516509,-0.028917015459617196,0.01607629925463429,-0.01872913432988014
11015044926034816,0,0.5838180236579933,-0.7372811996403004,0.32725656638526757,-0.08893879681046345,0.022006491987127865,0.008616954729772917,0.002727726209099291
11963171843658240,0,0.606117366347645,-0.7314024001217518,0.3007681268162813,-0.08278117782223669,0.018707200027752023,0.001836713548826167,-0.0021782901976778717
16615171179593088,0,0.6934048551326224,-0.6886250799269296,0.20830371221986985,0.01038468858435074,-0.02669400045747322,0.027823505151419868,-0.00045912223879564993
25501939551450880,0,0.5638695378025335,-0.7513080900191926,0.328903029420154,-0.09499218419554274,0.0023522353008804935,0.014840596659929166,-0.012680854464191788
30269452033850624,0,0.5481655186587254,-0.7423244697256864,0.3548238478503289,-0.14172218462789513,0.04746415417799112,-0.015197263332715226,4.936027240220548e-05
31265029748469120,0,0.544110244088572,-0.7462015144829373,0.3573638138877867,-0.1348590413873616,0.03390868095039358,-0.0036365882490228566,-0.008274184129803944
35928500943041152,1,0.6409234172182064,-0.7157971767457788,0.26978225022235636,-0.058399983931196255,-0.014411063128337027,0.018959246743402405,-0.009561516006419574
36876009385300352,0,0.5925343625333467,-0.7425631739521699,0.29524661006012215,-0.10007524260626348,0.009172801419977067,-0.0029848640587590296,-0.0149765574563747
44951132016854016,0,0.7035911657505781,-0.6878211098638005,0.10605541314380275,0.07249283983158476,-0.10886905835989145,0.051606507306032896,-0.029033194020375425
46608061680943872,0,0.6820272335635901,-0.7052619871056977,0.19012477216160328,-0.0030114403298402244,-0.0321538449650972,0.015259163298456615,-0.004601374615145728
56252977678408192,0,0.5891339713871174,-0.741923540728267,0.3132610315047038,-0.0607104338395484,-0.005078868340520136,0.02476219744042621,-0.0036649022904751633
63139734399542528,0,0.5955777996161269,-0.7341276896785717,0.3099257201143774,-0.09831338422058174,0.02461428869142875,-0.001417705405451324,-0.004034011637909003
64368713521485568,0,0.6117103588112868,-0.7382882635441691,0.2772481675811248,-0.05721949757821349,-0.015350260109563071,0.016953301635529484,-0.008787182934876321
69784942159807232,0,0.5779915511769987,-0.7424049827261887,0.3232054857846273,-0.09901931707929572,0.021581691984884997,0.0030990982750707333,-0.004315478670814811
69886853143994496,0,0.636396767348909,-0.7307436266453334,0.24185429379787543,-0.013935272948347384,-0.035824659052379366,0.0315425582108066,-0.006846618856677665
74703607425569024,0,0.5686137624973052,-0.7499126086259524,0.32545774039673103,-0.09078062065981538,0.0056140511389700005,0.010038513461169483,-0.003649291472182915
78846635958426496,0,0.5675929564218178,-0.7538038246560905,0.3201341358851868,-0.08081210400785714,-0.008739401038452383,0.019640093026010604,-0.01180924453457536
79376016447500416,0,0.5305464369817022,-0.7436630256378058,0.37203165124843174,-0.1553158660135543,0.0520516900648228,-0.015626245475091713,-0.0012871491046043027
80762260092162688,0,0.5875727364898476,-0.7483817591473607,0.29933734144415947,-0.06606957963282362,-0.013975291977352436,0.01998587920180851,-0.010965601684217504
83757226686850816,0,0.5468098190446676,-0.7484868997895041,0.3522801571662496,-0.12513135580541357,0.031484535758380734,-0.00397837831822682,-0.0003373649254080749
84006403509432192,0,0.6102638381640283,-0.7419220620141096,0.2709722315486265,-0.043805762262395624,-0.029940946103935683,0.02635707200331458,-0.013915859658017534
85707760314515712,0,0.6077276899048157,-0.7307594174925023,0.29843683775532664,-0.08497865682063341,0.01923478935235315,0.00018767305666469325,0.0013409257738323395
93468972376758144,1,0.5923112457191962,-0.7286367399519785,0.3212276038353919,-0.11952100476460659,0.026877713222333285,-0.007047114458541697,-0.0033722471297806785
97013488627139328,0,0.5444722050201392,-0.7475085447306976,0.35949830743162353,-0.12152334527320019,0.02754347780695912,0.0029166631446015546,-0.0026242958882710774
99836961472298752,0,0.5472007477875904,-0.7463985413628238,0.35251228599483303,-0.13304384637689437,0.036611761658791854,-0.012305999155742525,0.0017673508728822044
100734064176680704,0,0.5568336641400972,-0.7521984115291902,0.3347166630381756,-0.10882056991017018,0.011961322283292128,0.006030124384314096,-0.008787695456477555
101096662495962240,0,0.5734707790966516,-0.7519270090618944,0.316158078050226,-0.07028521704948112,-0.012502315737856987,0.02465737070280866,-0.008763714088394136
102622917779071744,0,0.5701517555753939,-0.7530046356208099,0.3176971708663416,-0.07660209414581048,-0.015911773263191518,0.022585751757666004,-0.018663344636707876
102803104542235008,0,0.5291265413060429,-0.7487853591175068,0.37073739849062437,-0.14293673347629585,0.03753641736951113,-0.004087080869531352,-0.0065401820562650025
107344877838785408,1,0.6193315665028561,-0.72637791244373,0.28930952103478313,-0.06898742820075157,-0.006176620721494717,0.01653681362589429,-0.005714716742163058
107585292928397568,0,0.56373036334283,-0.7559050436281737,0.3207100741684805,-0.08503534433122523,-0.010658364963402292,0.0196291108938888,-0.015191387888862644
108002248353357312,0,0.5868458637243607,-0.7531574924214693,0.2883143011671526,-0.04630327319277811,-0.03806901308456638,0.03563405496824829,-0.01943087343461291
115962815619380096,0,0.6376062769150065,-0.73240670783149,0.22349928588766813,0.0069940141235354065,-0.06498769485366772,0.046918307121223246,-0.024760349566388545
116691791828603136,0,0.5706341322523514,-0.7519340907653305,0.3157874024980006,-0.0927347079205907,-0.0040941982030221384,0.014458024308061704,-0.020605914154723785
120129277493243008,0,0.6106397621297014,-0.7364745177502571,0.2843167695200407,-0.06046537108498014,-0.003359447440062623,0.014076714040533938,-0.004779049557160898
121824174666929024,0,0.6314504218524846,-0.7289131705682943,0.2605568168243336,-0.027522124687985875,-0.021204419344677296,0.02773008508020823,-0.009489328486532434
125093503772825856,0,0.6141019865921478,-0.7370928721108461,0.2717976720044414,-0.07529336425649244,0.0002926137792706475,-0.0006568247230180199,-0.005409777936886352
125893776439505664,0,0.5615827521591071,-0.7441644536481123,0.34198841088997334,-0.11470456557665787,0.02647072382849435,0.00034003342166879954,-0.005482062941818994
127674641678296704,0,0.5289264791199904,-0.7453106669679329,0.37314931443456373,-0.15189411445031062,0.047928964544591834,-0.011537526854897156,-0.0025012704116681977
132944115577925504,0,0.5890371047238496,-0.7455344021119471,0.3030942359113104,-0.07133443105326374,-0.003943129135720442,0.014942005029250839,-0.004496203742872079
133373444804991744,1,0.5697563576013916,-0.7409638410782038,0.334942218678913,-0.11705276308742113,0.021137424269297322,-0.0017834546069143203,-0.003559293806589776
