source_id,y,c000,c001,c002,c003
1792620565667968,0,0.5279169593079045,-0.7564041824966978,0.3593463029625203,-0.1415154808625798
6052403489630720,0,0.5174988664573904,-0.7582050154269852,0.36578256584528046,-0.1533727235212449
10844075163628928,0,0.6179462135081482,-0.7377124148762941,0.2657606468910374,-0.05739467494799366
11015044926034816,0,0.5807367855984407,-0.744304113779208,0.31612878222827673,-0.09390828031119157
11963171843658240,0,0.6048020297455341,-0.7360170800958663,0.29224232194133787,-0.08418900099878142
16615171179593088,0,0.6893448502014314,-0.6903040245074137,0.21969439860888565,-0.004289809962489648
25501939551450880,0,0.5609001601703778,-0.7535109182806514,0.32734536111139245,-0.10226104298092267
30269452033850624,0,0.549070168826652,-0.7527901350220789,0.3363267783440612,-0.13679641986110902
31265029748469120,0,0.5431406093297716,-0.7540037248301582,0.3440290501012062,-0.13461305332542292
35928500943041152,1,0.6377724932522516,-0.7159645439443159,0.27579394931887513,-0.06766621154248478
36876009385300352,0,0.5930519248027961,-0.743430680944742,0.29298767395456304,-0.09878491802107602
44951132016854016,0,0.7071850558909892,-0.68635369159819,0.16403180166696787,0.04360590322288599
46608061680943872,0,0.6811029353580854,-0.7026148251270243,0.20569715172591335,-0.010949005898587431
56252977678408192,0,0.5844253034085581,-0.7449892301900429,0.31321118947380455,-0.07305383237768165
63139734399542528,0,0.5947268264406181,-0.7396049644985733,0.2993442471784715,-0.09837438732764352
64368713521485568,0,0.609277133258722,-0.7375752651624432,0.28368581804169163,-0.06547106040535279
69784942159807232,0,0.5761952045185772,-0.747934028764426,0.31360413654509334,-0.10122361605779595
69886853143994496,0,0.6327091539975457,-0.7297991213095827,0.2572361479223299,-0.030032202475875354
74703607425569024,0,0.5661969648519438,-0.7526481121375226,0.32210045589019254,-0.09588072070859747
78846635958426496,0,0.5644086494394134,-0.7543136033722648,0.322972342287017,-0.09023707842768855
79376016447500416,0,0.5311625647800368,-0.7556462355720364,0.3523083743179788,-0.1508108279518642
80762260092162688,0,0.5845992233825459,-0.748093425350045,0.3047369600346318,-0.0757321606545873
83757226686850816,0,0.5458207485642339,-0.7560144933331893,0.33912833498426354,-0.12455428020642943
84006403509432192,0,0.6072573944985153,-0.7398414448433981,0.2840009492991152,-0.05671467284670934
85707760314515712,0,0.6066849390487439,-0.7354059688133694,0.28945205367764015,-0.0856093125009662
93468972376758144,1,0.592726740086322,-0.7339037494341834,0.31038957162113767,-0.11712647856883625
97013488627139328,0,0.542262708429161,-0.7548777763818324,0.3474449621832934,-0.12406730441716209
99836961472298752,0,0.547817864353758,-0.7543210577120466,0.33808837762699007,-0.12880830058896217
100734064176680704,0,0.5549831503699189,-0.7555296995585166,0.32954397787569045,-0.11211307923861494
101096662495962240,0,0.5694758020007913,-0.7527330699955006,0.3198849355850262,-0.08224271552221632
102622917779071744,0,0.5671042750024333,-0.7521129809772923,0.3241867791042673,-0.08730256223855405
102803104542235008,0,0.527894607064766,-0.757778007335584,0.35595758359836677,-0.1428074721758628
107344877838785408,1,0.6161971436188789,-0.727756319998238,0.29107495616889234,-0.07711801858083599
107585292928397568,0,0.5608014251773152,-0.7557414894944618,0.32474403123564705,-0.09432855746064217
108002248353357312,0,0.5831659286355402,-0.7504985227766674,0.30433899402980136,-0.06361795109571569
115962815619380096,0,0.6346550901037599,-0.7295521199275676,0.25429757429548455,-0.017302156571155677
116691791828603136,0,0.5684012839756694,-0.7522017547695313,0.3181131698959644,-0.09958168323135373
120129277493243008,0,0.6079200775140327,-0.7380160583534061,0.2849738433864965,-0.06749359638782797
121824174666929024,0,0.6273074156720365,-0.72958537221095,0.26919146378667186,-0.04155173550008831
125093503772825856,0,0.6143536320354743,-0.7367480356542025,0.2723159120546748,-0.07493991464050102
125893776439505664,0,0.5601356991965789,-0.7505729669032138,0.3308577594914397,-0.11585060562626082
127674641678296704,0,0.5287770276178234,-0.7565540480020797,0.35470965802479637,-0.14900297318932462
132944115577925504,0,0.5862121684388616,-0.7469346956173049,0.3037270022904241,-0.07870045830212383
133373444804991744,1,0.569052374770549,-0.7457251255363909,0.3261738818163661,-0.11697876188683116
141428363911552384,0,0.5170100790791441,-0.7586258526461489,0.3636148538550289,-0.1580241496843646
142086971376178688,0,0.5281335711778264,-0.757837189465719,0.3548823611377987,-0.14427832481324732
143510907654193024,1,0.5944190904357316,-0.7301685263286611,0.31621241463346766,-0.11631670953160861
146588028382865280,1,0.6454443250151165,-0.7180657716473988,0.25235587023993566,-0.06402878766344994
150218508402721152,0,0.7046605763830545,-0.6840314251011981,0.1879648238270484,-0.014956823499398001
150480505705334784,0,0.7049455359795513,-0.6852810949119487,0.18280398726388725,0.004930973454441174
150610660393771648,0,0.5980203196652077,-0.744945586205024,0.2831946180918362,-0.08502105118730846
162522700650966400,0,0.5737897415275609,-0.753175031405645,0.3110212544958346,-0.08220999839847859
163016106492676352,0,0.6383150855909235,-0.7249259634210535,0.2571737471926361,-0.029964359162304572
163565999746075264,1,0.6244977878877127,-0.7253505844271336,0.2774764147598106,-0.08292093732351617
165712109004835712,0,0.6778556640206028,-0.7014266196458319,0.21962203497141833,-0.01669004980287726
165787700429000064,0,0.6817877717125513,-0.7069426527263911,0.18722761158013895,0.018529478174083035
169258102725227008,0,0.6100973049803842,-0.7366078523293345,0.28099042435232807,-0.07895905118943718
170774775937432832,0,0.6636870202596362,-0.7156348289981029,0.21719820545078794,-0.014535137175083127
176164272695455744,1,0.6032127463932041,-0.7348292120231996,0.296946956794331,-0.08934716893510211
176209799348981376,0,0.637241370243725,-0.7199046120336715,0.26830929070281073,-0.06058803631991463
177389712764641920,0,0.6562903442510848,-0.7113458419378994,0.24350011738562055,-0.06306956503451366
