source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015
1792620565667968,0,0.5294198306812874,-0.7475712530355809,0.3736060708136718,-0.14076857334219542,0.03636716543764987,-0.0022799415466850863,-0.006672587351619239,0.002596479571951037,-0.0037238183419596844,-0.0013501566283984979,-0.00038464056644760606,-0.0036474625469696824,-0.0037107934688036695,-0.00021423719484926025,-0.005405976611664909,-0.001833302154892189
6052403489630720,0,0.5182785240691101,-0.7450909051037989,0.38621206837102173,-0.15537942063397125,0.051647411706954145,-0.010450241762043514,0.0018202052432081661,0.0019585049468479852,0.000910242776915394,-0.0015969969154981261,0.005992806069375286,-0.006816522789593796,0.006208371481766916,-0.003602878858393747,0.0016734380983152452,-0.0007030466044482192
10844075163628928,0,0.6182368933319203,-0.7420277180714316,0.25010663922123916,-0.050135034867590036,-0.030326286421912717,0.015637498864851492,-0.020438879212139972,7.252995467995191e-06,-0.002932736017215892,-0.007498027331418284,0.0027558365666407697,-9.905477835548475e-05,-0.007595441136113205,0.014448267996281789,-0.010523406344143876,0.00892091484469508
11015044926034816,0,0.5831986698266138,-0.7304242142679975,0.337261967228086,-0.09050687380792892,0.037549632445405406,0.005597228365867186,0.02214942683862511,-0.002305803745575623,0.030617038996782017,-0.01030798396680416,0.030949909577852805,-0.009922761504136958,0.01846249519177071,-0.002041811729598597,0.0058085241831317275,-0.002577768391372093
11963171843658240,0,0.6064947798420868,-0.7299420972505141,0.30303475491052323,-0.08219707590929018,0.02171047581544825,0.0027854308143952376,0.0014852689680415867,0.004121370476497367,0.005081827208507437,-0.005994574757969867,0.010623902256454553,-0.008718562889231379,0.0010540400139755172,0.000827645695421944,-0.003147321712699161,-0.0012479770064817792
16615171179593088,0,0.6907972968908609,-0.6866927947375717,0.21872428654485945,0.002811601940435406,-0.011599246436810687,0.018770391242040253,0.018179602359635883,-0.011620898752045285,0.03216943793579732,-0.021461183545017054,0.02653530259896684,-0.011507189334341207,0.0012743906106469237,0.007116763443805306,-0.008120102606578167,0.0011256164420178827
25501939551450880,0,0.5622613338167434,-0.7493696453012603,0.3332018667338108,-0.09932943817532687,0.010448910565301619,0.008847327709080956,-0.0026252355747304387,-0.006449163340023936,0.015211455808857667,-0.017402294626467734,0.019014248075316043,-0.01355576225967582,0.008487732665648744,9.458283612081199e-05,-0.0018232461381205434,0.005163725278958914
30269452033850624,0,0.5481613996151345,-0.7417647596545859,0.3553504537803781,-0.14147855228761166,0.04816211338860236,-0.014588776546577824,0.00046350202333590306,0.003410134782918979,-0.002479243810077892,-0.0026258728754529298,0.008817635327115199,-0.012555973441057572,0.011757363325925783,-0.007634327011875979,0.004827877712322966,-0.0012075438446120445
31265029748469120,0,0.545968848932475,-0.7458736247750063,0.3566077354805765,-0.1303984959399725,0.03078385625552734,0.0030161031187084545,-0.012801000142860933,0.012561759615888624,-0.009602930472582908,0.004742386499290026,0.00036755866904497847,-0.0027815189580276127,0.0032780281656374865,-0.0013491681288176334,0.0020027841745651038,-0.00038170781709960717
35928500943041152,1,0.6354434460456749,-0.7147985677460948,0.27747180790302295,-0.07014180247712785,-9.171802832859094e-05,0.003536423382174597,0.008155921228956498,-0.0214069638141954,0.029046041933389673,-0.029756356105391058,0.027101003989980874,-0.01799416798903308,0.006146902375079048,-0.0010635633896050045,-0.0007520552175060304,0.000130361628642751
