source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034
1792620565667968,0,0.5289708941115471,-0.7474666884016453,0.3737757765797291,-0.1416041477921869,0.03700237179085274,-0.003283902542114117,-0.00609345451619458,0.0016635922983904436,-0.003337614809942735,-0.002171243238671148,-0.00027595228846482114,-0.00433588404905677,-0.0039973991739895316,-0.0007716092236721696,-0.0063497902283846585,-0.002324826304308994,-0.002795450513917709,-0.0013327710522873276,-0.0008003210027975231,0.0023455562387684156,-0.0013313099811106742,0.005242378688406284,-0.0025597388345856,0.0046191423558526136,-0.0017311657964750806,0.0036354289183802915,-0.0023842519352278353,-7.213795890204936e-05,0.00036105162601765106,-0.0003151359747842067,-0.002521034578356583,0.004270681754141103,-0.006534147422622829,0.005419789726283737,-0.003836352178891765
6052403489630720,0,0.5179451177709087,-0.7450781094797315,0.38590856432641424,-0.1556476988787785,0.051410068903384454,-0.010621582148586618,0.001360651944803701,0.00207847280860231,6.784360867749734e-05,-0.0010404180526721546,0.0045957233562424595,-0.005643010512131638,0.004018660333736711,-0.0015523177956785785,-0.0017107608203940617,0.002698239674425154,-0.005593503730476159,0.006178064563768907,-0.009491445520049558,0.009478262576049806,-0.009575564874193589,0.007119265174031399,-0.005403737633453935,0.004584246047547624,-0.003484060038475882,0.003665643191436531,-0.0009763222069634204,0.002086102938090597,-0.002611479393337,0.004991297076804033,-0.00620612910418201,0.004956353781737518,-0.0027353322338394023,-0.0004808833334622644,0.004433620399583498
10844075163628928,0,0.6182912133646304,-0.7416222881497,0.24899703569658674,-0.04882658983138058,-0.03182592760987803,0.017151241741715218,-0.02201744071548176,0.0017097196147371444,-0.004646343919680161,-0.005480884238346864,0.0007780304737343294,0.0024357898477884166,-0.010095628290659069,0.017857802850866005,-0.014191463779789918,0.014049681418056117,-0.008627546316794708,0.011482587726555337,-0.002138233630958199,0.004758576942441815,0.009028557557350929,-0.0063340258350615035,0.012961549490690769,-0.00894332889619656,0.0035072541525532877,-0.002003962899832445,-0.002713642264438045,-0.00045659988871198917,-0.0026129298712396403,-0.00019679191162809103,-0.0018677575806770423,0.0015623646405513638,0.0009688289275654278,0.0006834285234188527,0.003880776531934238
11015044926034816,0,0.5812652300347775,-0.7301257472467773,0.337208939667969,-0.09324245584942463,0.03894810754679598,0.002189793695146779,0.023766586718240067,-0.0060565493510741164,0.032430285247387,-0.014594673907673293,0.03312400177289546,-0.01506479967993731,0.021275471002987864,-0.008539039530128408,0.00975064597290038,-0.011350073652913382,0.007341552577415542,-0.014762628247904119,0.004217583379148138,-0.016198657511560834,0.005279452058010027,-0.014204569794475576,0.002878041629576266,-0.005023187988697272,-0.004315362921404977,0.005900748396742071,-0.0058155974886424985,0.010181519567478207,0.0007815840332205169,0.008742243124905796,-0.001650685273701818,0.008026758606376454,-0.004316883536238452,0.003536588717439881,0.00021575479739627073
11963171843658240,0,0.6050460290887658,-0.7296162112050771,0.3040427742141297,-0.08466682020912139,0.023914108619991332,-7.761024897703224e-05,0.0037550232091779186,0.0012002972014100166,0.007309835621908673,-0.008965003659890364,0.012799141862948013,-0.011843329823848565,0.003240066425023432,-0.0026503707366417294,-0.0009958931205867353,-0.0053840908197427,0.0016752972900990369,-0.006407279236832316,0.003861595369002431,-0.00646929022239138,0.007522422270285174,-0.002478519011418563,0.005920613219828543,-0.0008386717958007494,-0.0017948350107052486,0.008057425907933107,-0.010940523975646883,0.007245250690540667,-0.008427137551859441,0.004778626474985983,-0.008489218485409171,0.011800093823079626,-0.009287178315189722,0.007836673708656141,-0.0019792725366382493
16615171179593088,0,0.6888684918589605,-0.6872554321038605,0.2189640610671298,-0.00029075382502321054,-0.010589482214601868,0.015397824740520925,0.01900527262372616,-0.015235497985111179,0.032822799414218944,-0.02557101513508623,0.02702040696567545,-0.016448209405916847,0.0015411850620801486,0.0008670144320783617,-0.008432829754140664,-0.00728186995213255,-0.0026986052934297963,-0.01428897099771204,1.2529047683751446e-05,-0.015126115394425751,0.007116453828361275,-0.014141351981441131,0.009818286661183664,-0.0036714028609137203,-0.003973778312804396,0.015268874130063599,-0.0065535425054807405,0.010494896993917712,-0.00042706220381158715,0.0028441187748817764,-0.0031386302927212213,0.006558073466808024,-0.01014620101295629,0.003569025004046034,-0.0036824761374444613
25501939551450880,0,0.5620974166662759,-0.7495038478714844,0.3329417392701545,-0.09949948344456785,0.01015738851208845,0.008743852127086385,-0.003036749801838542,-0.006423379154258626,0.014607082865680635,-0.01718390439938658,0.018116465391240514,-0.013051640379869818,0.007119204238932712,0.0010517586351067748,-0.004082758806078283,0.006983015254925433,-0.005303898394490802,0.004924207737782802,-0.0023479807278797243,0.0005436160122436495,0.0025174698028060426,-0.003981760955324008,0.004094933213411848,-0.0020605360948264657,-0.0017687305945559412,0.0035304712422829744,-0.003924305217399996,0.003574077145536506,-0.0030586280767907607,0.0030407314825370135,-0.002441452463607304,0.002549195883169811,-0.0017410766443409277,0.001258596734853685,0.00218075722864722
30269452033850624,0,0.5480438531583762,-0.7415804438312863,0.3556077898952875,-0.14168453123133648,0.04862816839321469,-0.014863858633526763,0.0009710937266470685,0.003146427129311143,-0.0019528082390395012,-0.0028526720681019834,0.009365017098042326,-0.012731579272822502,0.012353291522199149,-0.007753592871490719,0.005534049295000349,-0.0012538595297028352,0.0011244019401958156,-2.470582732857716e-05,0.00034548106623875463,0.0011088605321175993,-1.5946253521651703e-05,0.001364374962159852,0.0013263851168184378,-0.0025757252644454027,0.0030433231806510927,-0.0023479413677015733,0.0011899017598615174,0.0002761172620714207,-0.0031968069283558583,0.0025341027400598817,-0.003024309072283513,0.0025659407231665415,-0.002448076121743155,0.0019754295289144933,-0.0006532643913114899
31265029748469120,0,0.5456478945965787,-0.7454178280940715,0.35670794092810204,-0.13048642422537995,0.03105604942287133,0.0030465007891043623,-0.012801036492681113,0.013001837762518212,-0.010087684514955472,0.005803941710721256,-0.0008158570122170221,-0.0008391435802249396,0.0011120669176852916,0.001858002720920531,-0.0016204544340036018,0.004823578628198471,-0.0062253420963293005,0.009677776823975278,-0.011061846180033386,0.012532700491780903,-0.011056152503545233,0.01082888853492479,-0.0073981011613258214,0.005666020818108631,-0.004965295411775539,0.003077897905122288,-0.002943314446043934,0.0013262890043322603,-0.0025974506300010403,0.003073432610219967,-0.004029979138057438,0.0048757376456487304,-0.004723239239568645,0.003856855295603076,-0.001782061415544078
35928500943041152,1,0.6353165052507785,-0.714520068597233,0.2764045085119735,-0.06936676349902929,-0.0012705939671980985,0.0042557905074122725,0.007201851336290853,-0.02089276011791265,0.028425718948397734,-0.029502799112156662,0.026901685296118676,-0.01805684635159394,0.006459065884714472,-0.0014967083045866634,0.00011882005161211022,-0.0006213824080149607,0.0004889287633351979,0.0005278701644123744,0.004577192362300184,-0.007087495916454408,0.01747133203675929,-0.017563685511000116,0.019451318342027325,-0.011778564946554281,0.005087668419885061,0.0008088293274429298,-0.0018186200634257841,0.0007475901775556587,-0.0013554656031325287,-0.0037049810113731177,-0.000699565750099578,-0.002163917578875811,0.00443798170510479,-0.0005550318325418489,0.008276339833904018
