source_id,y,c000,c001,c002,c003,c004
1792620565667968,0,0.4293397400651854,-0.7067590033426303,0.5031436297909737,-0.23831565328946927,0.07881139506992844
6052403489630720,0,0.4153876973196378,-0.7000359261103237,0.5110602320739999,-0.25786710841649846,0.09861418082473535
10844075163628928,0,0.5548768082936256,-0.7370362312145914,0.37188782930921754,-0.09623983387342493,-0.0364233205867383
11015044926034816,0,0.5008576471456758,-0.7250269599306653,0.4436359100364688,-0.15834901923474423,0.03987846665687867
11963171843658240,0,0.535275018118376,-0.7233311203583966,0.41059898470166983,-0.1421355449680965,0.03845394541551121
16615171179593088,0,0.635186703633701,-0.708861488769617,0.3026408421895452,-0.007074591398420972,-0.049109185104454924
25501939551450880,0,0.47604995674723455,-0.729404735603513,0.4597027267491652,-0.17242326418170043,0.016993862081209333
30269452033850624,0,0.46127790897991916,-0.7084546629363058,0.47230590561261104,-0.23119078380346542,0.09376904744482426
31265029748469120,0,0.4520523268965728,-0.7106393095838057,0.48310483119011755,-0.22734694521013624,0.07458923518868751
35928500943041152,1,0.574929076464224,-0.7112901306216188,0.3875490718829057,-0.11402502998999409,-0.018080833353422518
36876009385300352,0,0.5245477938876077,-0.7245604033175324,0.41324200193381455,-0.16738930841011776,0.0327673792008837
44951132016854016,0,0.6480302498305565,-0.7071062868042154,0.2194435216877652,0.0692396070934839,-0.1646448057647509
46608061680943872,0,0.6323761571645027,-0.7184061324431474,0.2838807899062654,-0.018081194675502107,-0.05547785359255237
56252977678408192,0,0.5031544100674272,-0.7349208752060142,0.43781316477626425,-0.12251473887810367,-0.006059564534452206
63139734399542528,0,0.523331084170498,-0.7198200047059393,0.42138056511619726,-0.1664740483591097,0.0520437098154574
64368713521485568,0,0.5404458103732435,-0.7331193214940819,0.3974117596816863,-0.10997818941588058,-0.020568850759715776
69784942159807232,0,0.497859053630016,-0.725565957668347,0.4408111412569188,-0.17099982532973332,0.04620607397748695
69886853143994496,0,0.5673923388641472,-0.7381374270331956,0.3565557377322581,-0.0498309003299328,-0.06003298987723437
