source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012
1792620565667968,0,0.42923737313843274,-0.7064542393334761,0.503211130995368,-0.23810064443072737,0.07922690551658179,-0.006996150255757661,-0.01042332550891987,0.00975441181828898,-0.008030979069374883,0.0018305480653489617,0.005821822942108536,-0.010703542895673632,-0.00428673166539016
6052403489630720,0,0.41523623399912385,-0.6996635280668558,0.5106670821073593,-0.25731643555536354,0.09809483443434683,-0.02363746340913992,0.0002211410970888891,0.009755000204761766,-0.00849922969585763,0.00656677594170654,0.008054522514982667,-0.016377024775859846,0.018227008412187076
10844075163628928,0,0.5535240602188242,-0.735047093868738,0.3714627755557766,-0.09588055000012287,-0.035319985929408264,0.03488660942779946,-0.04290134507720486,0.008974312845728836,-0.008492158492123267,-0.024466478602754135,0.021757986980718826,-0.02288805192002438,-0.00925052371132548
11015044926034816,0,0.49881718648336537,-0.7226039923122073,0.4400098445252938,-0.1575924472345789,0.03574951003321115,0.019462263199313257,0.0007826637152800361,0.011651191705489509,0.032012981652197646,-0.01404137673109742,0.06343436150918175,-0.02782067000908595,0.05260962760767732
11963171843658240,0,0.5347311680205564,-0.7226528596123013,0.40978974648311695,-0.14185611151509953,0.037583047992076055,0.0043344016090516285,-0.006533510627670218,0.021496897743266418,-0.0016689413578661887,-0.004142480597331105,0.0309979065129899,-0.02832224656317967,0.00809867075108461
16615171179593088,0,0.6302607258663384,-0.7035425170914451,0.2985185012421169,-0.006418909315673547,-0.05231244288697895,0.059762305225213745,-0.006249345694401781,0.0028794621559332582,0.047103313785708784,-0.04403310527800627,0.0765761142827504,-0.045021413172997446,0.015521282521717457
25501939551450880,0,0.4743223748954941,-0.7267275213226063,0.45738688745285483,-0.1712102498336575,0.015485185790551999,0.03352193952021407,-0.03258184597796072,0.011433918414185526,0.010935307390512005,-0.029774216408188284,0.04399743634441655,-0.044127071918572736,0.030410517697863314
30269452033850624,0,0.46053067102655826,-0.7070967464834635,0.4713537956963889,-0.23017805619397316,0.09320116436903736,-0.033349556980383145,-0.00049772108987193,0.01713666895663099,-0.0241034376722817,0.013269516690674174,0.007202556851884601,-0.028860350731764652,0.03217045687527762
31265029748469120,0,0.45130329951498954,-0.7095211215242048,0.48279031877768136,-0.22750123991021912,0.07556437657659533,-0.009075562342196324,-0.018673143046989932,0.026468884690092117,-0.027709770388243758,0.018046306382451117,-0.004457244786718192,-0.006731586189399725,0.007841753108599601
35928500943041152,1,0.5708146950247106,-0.7058775169807484,0.38344433728018235,-0.1116246597145145,-0.02074732720977026,0.043729854885408655,-0.026815012228910383,-0.008012680583936508,0.0374332458398823,-0.05751679008522951,0.07157171046886883,-0.05487525501825279,0.021181558066398567
36876009385300352,0,0.5226612985845736,-0.7217032441373865,0.4133713899146806,-0.16731400892204304,0.03609821541667045,-0.007647903878104174,-0.031369511551766815,0.023488138713675732,-0.04906933009451576,0.021604034017634232,-0.02791350071519394,-0.006084563459512592,-0.02262037577589481
44951132016854016,0,0.6258677078460703,-0.6823990000302255,0.2091131475106561,0.06971077443015604,-0.16465622192140372,0.1046674392801076,-0.06988834559320373,-0.017301019519061545,0.06467488628811333,-0.10293587994249104,0.13383711442482282,-0.11254877294558674,0.07365073201071191
46608061680943872,0,0.6273755796786472,-0.711988069144401,0.28029735412862244,-0.015437758014862196,-0.05772835413762882,0.03632329230816158,-0.014586293125154793,-0.019893880954794423,0.03658416822685519,-0.07273374017967146,0.06982750497613245,-0.06200810743247577,0.007614805895918558
56252977678408192,0,0.4999225244760974,-0.7303790611440422,0.4335704131474685,-0.12104905478924236,-0.009160605111536886,0.05475620599335577,-0.013268765661999355,-0.006522526641560877,0.05017727334165154,-0.045985806909985834,0.06740319668195639,-0.036664198396179834,0.012924778552543164
63139734399542528,0,0.5210664259485372,-0.7168009724917775,0.4186879788089763,-0.16537841809075216,0.04996375388369226,-0.002459949105866369,-0.012592650315198501,0.030565087876929787,-0.017183016812782025,0.005068216506930106,0.03222339217901902,-0.05285880532735172,0.06548228870899431
64368713521485568,0,0.5385518038136312,-0.7302497366245939,0.3954211153714334,-0.10847292850836095,-0.021771295146752426,0.03861293646616187,-0.02277157951308816,-0.006248969183160069,0.019134418651540426,-0.04345785697190609,0.044555845786070976,-0.04213193613137888,0.005955226119402853
69784942159807232,0,0.495765212710432,-0.7235019230094313,0.4393339206168368,-0.17287582058893183,0.04683216288494289,0.0027082273470201445,-0.009284348269868393,0.039360277644086596,-0.021004090040573194,0.047331423952528276,-0.0034221827359506647,0.036441951120863084,0.0020733875991990136
69886853143994496,0,0.5610125084361685,-0.730182796861747,0.3503172127116181,-0.04857409722741673,-0.0640289372156379,0.0677001122286981,-0.022576021122997638,-0.009293056618855317,0.051016958150886575,-0.054025296920356444,0.08876616103311379,-0.037428700866272646,0.05418123987704176
74703607425569024,0,0.48221156758520034,-0.7304182397607593,0.45049263692330155,-0.1602581324707919,0.012830665526197106,0.02372982105211858,-0.011048057708275046,-0.013072048616487204,0.03024330804776736,-0.03533895355927038,0.039554227596406144,-0.024182297599754227,-0.00119414790813412
78846635958426496,0,0.4768268220084597,-0.730466025733764,0.4487101993033746,-0.14891825788039428,-0.00706617827700097,0.045520287656423276,-0.0310182963179659,-0.006288406593452719,0.02991546075979621,-0.06379762835290162,0.0557520538331777,-0.06278166918942338,0.019986712499901183
79376016447500416,0,0.43521007689984087,-0.6998787682535775,0.4928099685424013,-0.253157367816852,0.10371485982627689,-0.03400595439044414,-0.0037283624348331953,0.013574926127730291,-0.018168686787395413,0.003940560237027806,0.009774399660020701,-0.025405515939244592,0.02477127420923701
80762260092162688,0,0.5053542007724989,-0.7349442587359871,0.42483018161221653,-0.12610041190455928,-0.01677279220945939,0.044419016260678734,-0.02754947500931123,-0.004304847743886713,0.023262371497236492,-0.04054508626397306,0.04378525176170385,-0.030872375738355308,-0.0022128186959847382
83757226686850816,0,0.45615999819090863,-0.7180612514406431,0.47525290205681625,-0.20888951738741027,0.06036624629845446,-0.006817188498273379,-0.002951664864762999,-0.004517288075029071,0.004480662348091035,-0.012834425177783128,0.021012961261610084,-0.03862647069699111,0.031111417353993427
84006403509432192,0,0.5325313290315209,-0.7329082788467142,0.39317043452670586,-0.09326196139917034,-0.044110576074688754,0.05799741410116162,-0.03499590003959646,-0.0057510714069776755,0.031558125239371806,-0.055471710312998766,0.05865182037636552,-0.043335862592826,0.004094463110034413
85707760314515712,0,0.5384622699644348,-0.722062328744418,0.4064422336318762,-0.14428128672550794,0.035117100566143526,0.000950281103639455,0.0019489482546905727,0.008906307035342122,-0.0014912336247941223,-0.0003438908310669955,0.0259635598121061,-0.024959179127397004,0.0074400715040889975
93468972376758144,1,0.518852487026507,-0.7032628432737013,0.4382453732609228,-0.19713980478747795,0.05623356503563314,-0.01323656527884999,-0.008186828991573438,-0.010401137807630509,0.001036238152734791,-0.02670364272214426,0.01232018257746193,-0.028903475847643436,-0.00873931851809765
97013488627139328,0,0.44811572792267523,-0.7148950801798845,0.4852759291704658,-0.20705355308033024,0.053970608452238715,0.009211321653702354,-0.009383159826619565,-0.0026616100418996964,0.017745829068982987,-0.03645935647081997,0.041087469051208705,-0.051334454923417955,0.02632506541091762
99836961472298752,0,0.45832873128720286,-0.7127730239884007,0.4730254767189848,-0.21477493530710243,0.06781269829519031,-0.023700707963902955,0.0010584635030968098,-0.015529904791475212,0.006676016543009527,-0.02874726040352809,0.03341016427207883,-0.052874686872431395,0.042690587108641584
100734064176680704,0,0.4690674183554689,-0.7252082721134914,0.46215345968329397,-0.188201310104736,0.030687402907623583,0.014785030544109989,-0.022944082021780162,0.0007869339945736816,0.012913315757211292,-0.028771675842211065,0.03574412796235171,-0.029414240154682924,0.01477830912191352
101096662495962240,0,0.4800792264727952,-0.7293288456354364,0.4407709845290705,-0.13461313048804852,-0.018973320592638725,0.05611309169216899,-0.02647571311710438,-0.01519298520943018,0.05393909936574449,-0.0763750778095965,0.08711051840497708,-0.057312050087916705,0.03387723335478356
102622917779071744,0,0.4797862617060798,-0.7306838965757066,0.452721865908688,-0.14518340543726566,-0.010116900690279792,0.049950148563213934,-0.04161174877193687,0.005017704845598799,0.0005536952154938494,-0.04319288920273357,0.012409911782679642,-0.04502501874180749,-0.03833539850811342
102803104542235008,0,0.4304676214664197,-0.7071990618306664,0.49852033331112633,-0.24031947850592852,0.0802767651764384,-0.008950989117754877,-0.015416745059663466,0.01983394715221256,-0.019289770861643636,0.006271534354831707,0.0029034029409044635,-0.022665004125327088,0.01421404431971344
107344877838785408,1,0.5440692209468583,-0.7137981939507264,0.40552190479233813,-0.1276514357066453,-0.008854954895591212,0.038791953274983734,-0.017603461700212077,-0.018920864326907382,0.048845435929467745,-0.06179747394661458,0.0607052505044898,-0.03898961815397856,0.008757158834804393
107585292928397568,0,0.4737925785097134,-0.7316874515763089,0.4528653458994025,-0.15701549883722404,-0.006538795199885315,0.04423786955684857,-0.03784033244299941,-0.0011622518379686845,0.02275821854237921,-0.04854881473108915,0.04762232963774976,-0.04186439030145526,0.009206163718610882
108002248353357312,0,0.4976085590715583,-0.7354721443107551,0.4188629489654272,-0.10408436125104614,-0.053810409272179324,0.07705720666405534,-0.048036803561313575,-0.0058356644036458094,0.04114855824246294,-0.06926893186664856,0.06938703505596258,-0.05053640350321297,0.012324058098333158
115962815619380096,0,0.5566194979548981,-0.7273773972205457,0.3434629622601032,-0.026797594914801375,-0.09563963457508694,0.09839366742339307,-0.058689591024054355,0.0012328988581524803,0.03867820342234724,-0.07732520414682365,0.08185990026922774,-0.07659817744884731,0.009704775610521065
116691791828603136,0,0.4855557640451224,-0.7272792870852898,0.44694272465160995,-0.16871295194292096,0.016054153321770532,0.029153287866083587,-0.043957725353289116,0.02851624608543584,-0.03325511874663001,0.013600920334307064,-0.027297791955081065,0.0026666474667412458,-0.03438463253434264
120129277493243008,0,0.5379635517502027,-0.7316618313106075,0.39781604193030706,-0.11300604762051414,-0.0032423905114506175,0.03123113617920036,-0.013679620394860951,0.003134411798805927,0.017133693272202547,-0.01832270699744014,0.03697818009214045,-0.028400876965010362,0.015876945823941318
121824174666929024,0,0.5578617427147817,-0.7320271064105475,0.3718808248804168,-0.07043153747529339,-0.032528897906131594,0.05715885910391555,-0.025257974585673044,0.0236346495307801,0.01566283481331077,-0.005611971662386165,0.05456919684822775,-0.004912729355962139,0.029496864649974842
125093503772825856,0,0.5519550785680991,-0.7287611317415084,0.38253515640861907,-0.12505080833297735,0.005599347089301501,0.0007073278725420358,-0.013593275789221147,-0.013635539225972007,0.005723781415695161,-0.024918271090361276,0.022013146906664567,-0.027127095878850555,-0.0022925095046866036
125893776439505664,0,0.4735895277983615,-0.7172328088639899,0.46306352665820816,-0.1946211763161912,0.055332963442599276,0.0018041908218789705,-0.015678550044473976,0.017991928577062465,-0.01024190862780698,-0.00891579049888554,0.037191237265546295,-0.04140230701936612,0.0454816393201896
127674641678296704,0,0.43154927377385793,-0.7016760621300879,0.49662195201764475,-0.25106305751333985,0.0980292094339938,-0.026603998840277657,-0.004271802825918395,0.017690592871837555,-0.017254878755180898,0.016774495969648397,-0.008592198340969012,0.009656519044434967,-0.01884179515706085
132944115577925504,0,0.5071186242740506,-0.7314457917595535,0.4221488753582298,-0.13016149944302693,-0.006042207554869058,0.03508008808147433,-0.01503794113879343,-0.01012920408801222,0.03719107215595915,-0.04944756368919001,0.06521787787907715,-0.04998978514269907,0.022127286559780024
133373444804991744,1,0.48625292774729145,-0.7131937990034243,0.458247259475392,-0.1959406043554723,0.04334482141933718,-0.0010026728316484385,-0.010725593733269624,-0.014452500759286236,0.02051572124266202,-0.04197359803588333,0.03170305384184112,-0.032318119093041886,0.0096700484874837
141428363911552384,0,0.4151726831418271,-0.6965036377370616,0.5072278562823915,-0.26456150317408506,0.10403455523522066,-0.030379798662610584,-0.00853542085226915,0.01705525016532729,-0.022583352247711696,0.006002882208666798,0.007940183971642886,-0.03431150414583658,0.03667716718051561
142086971376178688,0,0.43124335848800055,-0.7066628836365322,0.49636670212142703,-0.24239630643230936,0.08463875291348985,-0.017726014593932363,-0.002421662298642391,0.009829700531373428,-0.00042132944992280313,-0.0019021358452892705,0.026010376740910314,-0.024889940272681065,0.02531008278023221
143510907654193024,1,0.5170940748384177,-0.6985228597980391,0.44350783053641357,-0.19576693466528852,0.06486153868071272,-0.013298021603850923,0.011138044105306881,-0.007326037566190735,0.035069910231466335,-0.02123663450734267,0.04779731270460382,-0.017625884587044085,0.02859916190367193
146588028382865280,1,0.5906314059350762,-0.7150052721346649,0.3530884466422651,-0.10692533673925826,0.018969067237215514,-0.0006708993418178191,-0.005740212233969843,0.008827077101441786,-0.0003464534757183472,-0.01837777992358016,0.04003861758822694,-0.03256244886462621,0.018577260560880483
150218508402721152,0,0.6636819481454962,-0.6983366725994321,0.25812707934497386,-0.025379622407672126,-0.025729756806906062,0.015828818803502297,0.0036145527542731076,0.0112819343281668,0.018945151977259055,0.0029960918966150138,0.053630353357369015,0.0008282469505631434,0.016755119087407025
150480505705334784,0,0.6569867930576218,-0.7021531685449821,0.24777750012339927,0.00841322433046033,-0.06269211545762526,0.044508704899122675,-0.004407685539370634,-0.0032462141491554765,0.032374497199194684,-0.023112341837650777,0.06702988493273854,-0.033671872195523714,0.027100352824887593
150610660393771648,0,0.5283524796252422,-0.7280648311263608,0.3976621868849544,-0.14390610263226683,0.009932627519448366,0.012634990770092551,-0.047607513740134055,0.04573889513552288,-0.07153339228825652,0.03216590804791791,-0.018990230201780853,-0.027160362892046198,0.00736679819022497
