source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029
1792620565667968,0,-0.02801726718853623,-0.6061129813609423,-0.12537029978288325,-0.7738413040985915,-0.054150677465560994,-0.11744623842940159,0.0011794644450900948,0.0237214336334332,0.0011215138424983024,0.0016118413432222908,-6.24079545233889e-05,-0.00037211050882173625,-5.850988139181447e-06,8.872267473149616e-07,7.387764508355218e-07,2.192663590254724e-06,-9.807347715818206e-09,-7.848351009675664e-08,-2.65568404333612e-09,-5.033661528432295e-09,1.3684166817902951e-10,3.5064539575348113e-10,4.345218573946237e-12,5.665548702467432e-12,-4.1882977660645045e-13,-8.115957625421771e-13,-1.656588021763789e-14,-2.6348203854989074e-14,-1.5596103825226216e-16,-2.193948686945079e-16
6052403489630720,0,-0.007285838044209863,0.610020423703268,-0.03334028598625659,0.782028444013792,-0.014872654343657444,0.11976493518692898,0.00023120810830366356,-0.023959280789983228,0.0003134440105676691,-0.0016613027111537979,-1.6163143781236965e-05,0.0003777939300491608,-1.7458098591530592e-06,-6.467035916155405e-07,2.0615792942148375e-07,-2.240892801978249e-06,-2.1342953034143374e-09,7.91796069968195e-08,-7.806941201043293e-10,5.1891800590083605e-09,3.8112617241126654e-11,-3.575512207735648e-10,1.3438341093482445e-12,-5.911677811776713e-12,-1.2058456042497047e-13,8.309312649743493e-13,-4.943628970682301e-15,2.7130367800846208e-14,-4.7553166831619436e-17,2.2674536540668135e-16
10844075163628928,0,-0.02272053998502159,0.6084802045791282,-0.10186936001343141,0.7762167655572183,-0.04412880835376321,0.11759126712638632,0.0009365008364038827,-0.023796550860043512,0.0009157187779443443,-0.0016103343756552783,-5.058738717857152e-05,0.00037289774682572536,-4.811445503647441e-06,-9.390509094762632e-07,6.027783114223694e-07,-2.1943991218839168e-06,-7.824533924192982e-09,7.874645182740994e-08,-2.1786288174079945e-09,5.0289753027630085e-09,1.1163926581978683e-10,-3.510805263832521e-10,3.5842295738256323e-12,-5.646772960914438e-12,-3.4286922331084487e-13,8.119632747371928e-13,-1.3613187629251717e-14,2.633099970077404e-14,-1.2846778538268175e-16,2.1909671611620308e-16
11015044926034816,0,0.022956246101625145,-0.6078411730994759,0.10284668524703267,-0.7764971243279064,0.04450547758473839,-0.11800494269887726,-0.0009528622933668009,0.02380035243265097,-0.0009230328549090894,0.001622129711531303,5.109649330969683e-05,-0.0003736316170678333,4.8411207763946065e-06,8.52419636635476e-07,-6.0757301613568e-07,2.2038507267083677e-06,7.930559520070484e-09,-7.872551160900769e-08,2.1931545946890176e-09,-5.066339908178522e-09,-1.1252853759045339e-10,3.5231158540922546e-10,-3.6042882425532803e-12,5.713771319054489e-12,3.453555979384224e-13,-8.159881405385399e-13,1.370245279016784e-14,-2.6515875644674425e-14,1.2926597843654995e-16,-2.2093072138698625e-16
11963171843658240,0,-0.015363777903398405,-0.6100323661749153,-0.06877186791584149,-0.7793617466440755,-0.029716872682109766,-0.11846027279303377,0.0006449841880673292,0.023888209118710885,0.0006155072580708674,0.0016286834132327854,-3.4232340202623e-05,-0.00037504708791318567,-3.2118952182999385e-06,8.517785281988009e-07,4.055723567412612e-07,2.2124288709424907e-06,-5.379075048937256e-09,-7.901773760030865e-08,-1.4581582007391718e-09,-5.086621067302605e-09,7.512125866582405e-11,3.5367142067252896e-10,2.3859543652669075e-12,5.737317367288571e-12,-2.2993153117140334e-13,-8.191719987813285e-13,-9.094346018141091e-15,-2.6620640276704703e-14,-8.561328707668167e-17,-2.2180811013843254e-16
16615171179593088,0,-0.019287817948528692,-0.6081779728102552,-0.08634808224247331,-0.7785838838051409,-0.03731928721339058,-0.11888096407069305,0.0008085340159966345,0.023857290446500274,0.0007731050835398988,0.0016433494012617776,-4.297211748494966e-05,-0.00037554039898115795,-4.036832962861821e-06,7.243015449474376e-07,5.093545034421248e-07,2.222795446549634e-06,-6.742590405419937e-09,-7.886501323985832e-08,-1.8321670787842251e-09,-5.133292005030745e-09,9.434358747988875e-11,3.5492011676624924e-10,2.9994502942728873e-12,5.826408308152396e-12,-2.8885815062887737e-13,-8.237833410952053e-13,-1.1429137697994257e-14,-2.6849947603375883e-14,-1.076183216370408e-16,-2.2415209586285564e-16
25501939551450880,0,-0.022150472911460793,0.6086001813183908,-0.09960597124222999,0.7764679713162476,-0.04333463219396267,0.11765378096028106,0.000883016538366968,-0.0238051023907081,0.0009012716376307588,-0.0016114553029654521,-4.929512162883176e-05,0.0003730745500898473,-4.777498377972213e-06,-9.370146242112431e-07,5.932620512521875e-07,-2.1955941580005264e-06,-7.469785919769944e-09,7.878429060558327e-08,-2.1593822253957116e-09,5.031716938247276e-09,1.0984544420236508e-10,-3.512654294123785e-10,3.5778851558446076e-12,-5.64919879897073e-12,-3.388616537946655e-13,8.123667976640651e-13,-1.3520386686241239e-14,2.634223108148144e-14,-1.2797340721479906e-16,2.1917282640062722e-16
30269452033850624,0,0.05406274975220256,-0.5934422439601033,0.23953817335665434,-0.7510565771358831,0.10194032653850774,-0.1118171466432104,-0.002522911626135613,0.023042400290849484,-0.0020952018329950537,0.0014998323991857617,0.0001206297362969573,-0.00035752841283541404,1.0592008179163392e-05,1.3447842727624924e-06,-1.3795463908990001e-06,2.078106417011453e-06,2.0202717766879415e-08,-7.634788886868022e-08,4.8355306032797425e-09,-4.686562150554395e-09,-2.558103539738127e-10,3.338782833688477e-10,-7.702843617584983e-12,5.145583793398242e-12,7.706824165193504e-13,-7.666480666882455e-13,2.993680467898342e-14,-2.4610897846508148e-14,2.7869139929576113e-16,-2.0346716427647909e-16
31265029748469120,0,-0.002464504323962362,0.6111011245832271,-0.011319133726300482,0.7820376748694154,-0.005076483580386888,0.11931205718462846,7.379029126889644e-05,-0.023964183899152808,0.00010740995197857238,-0.0016477500624488659,-5.45612522924506e-06,0.0003770478704488002,-6.063268947924313e-07,-7.49540696769453e-07,7.048129940548682e-08,-2.2304187528552925e-06,-6.874275684410868e-10,7.922484026301315e-08,-2.6975949932062514e-10,5.147037719238413e-09,1.302759481547277e-11,-3.5620712923119604e-10,4.690021428778353e-13,-5.836061840572713e-12,-4.151124748136804e-14,8.264860827874653e-13,-1.714612682766976e-15,2.6925181827876815e-14,-1.6568896998053025e-17,2.2471261535239756e-16
35928500943041152,1,-0.015150055349233258,0.6095501811518799,-0.0681649479949735,0.7797379568875437,-0.029679501090398182,0.1188523219811099,0.000600447186489339,-0.023895421859048277,0.0006175910789447784,-0.0016395771861687893,-3.371628502202477e-05,0.0003757672783020243,-3.279551982818777e-06,-7.737199927962574e-07,4.0645458797980786e-07,-2.2212940758547914e-06,-5.088327966176584e-09,7.901005234616051e-08,-1.481376267737796e-09,5.121161192952775e-09,7.525588541693697e-11,-3.5483435409293656e-10,2.457536143506759e-12,-5.798963834070803e-12,-2.3234472032342106e-13,8.229339717864435e-13,-9.278455106083514e-15,2.6792472303754292e-14,-8.786840624872807e-17,2.235118591013249e-16
