source_id,y,c000,c001,c002,c003,c004,c005,c006,c007
1792620565667968,0,0.4292571578677282,-0.7065920379413687,0.5031639448770375,-0.23829776600874322,0.07906752360797169,-0.007275550528487179,-0.01066705463451931,0.009370733623246233
6052403489630720,0,0.41531990026578075,-0.6998005195661378,0.5109669758323125,-0.25753230367765534,0.09857506624601839,-0.023950176383461027,0.0009106309248588956,0.009326925890086296
10844075163628928,0,0.5538378361957565,-0.7358441323093318,0.3717223467842023,-0.09685965202673845,-0.035236794410092066,0.03343746266889191,-0.04277523838191493,0.006953577911478264
11015044926034816,0,0.5006157039858212,-0.7249473522154033,0.4433461664849141,-0.15885075527801812,0.03969463065350633,0.01821061775925401,0.006396317210478486,0.009882533766267833
11963171843658240,0,0.5350324840333962,-0.7231885238597962,0.4104750470838233,-0.14254764117432553,0.03856833020921111,0.003322117046093003,-0.005118478226002404,0.02010607688154315
16615171179593088,0,0.6339172163122454,-0.7079290959676122,0.3020493468842102,-0.008203675663336038,-0.04898404924572794,0.0572963965871135,-0.0010308820440095648,-0.0009342578241262218
25501939551450880,0,0.4753758673758387,-0.728586441154908,0.45939184883623535,-0.17295341989891894,0.017729960940625563,0.03128020047693734,-0.029401292348291076,0.008281775256879863
30269452033850624,0,0.461036593962477,-0.707935680656484,0.4720574738768711,-0.2307209405271681,0.09371699320527904,-0.03387907220861052,0.00011820140003852457,0.016469356983181558
31265029748469120,0,0.45165963140669557,-0.7100946758660647,0.4829059045516031,-0.22749791338276767,0.07502353165647258,-0.008740370057501159,-0.019583495511954357,0.0269680876686253
35928500943041152,1,0.5741151348989572,-0.7104424472804531,0.3872735959230122,-0.11440720859775884,-0.01748136526252413,0.040453278963822996,-0.02203250092235513,-0.01288396276698653
36876009385300352,0,0.5239148867460232,-0.7236970809500156,0.41316852760100975,-0.16750655445253135,0.033635483790527346,-0.007196130692968751,-0.035209570986341567,0.024211661032812384
44951132016854016,0,0.6432030271359978,-0.7022800531317847,0.21862634290268085,0.06722379529655753,-0.16178541072864908,0.10057458547569466,-0.06119899189750574,-0.027221194200775345
46608061680943872,0,0.6317746371497465,-0.7177429092337336,0.2837461017700087,-0.01818933321695334,-0.055153132286789336,0.03235857900523714,-0.010376883924792829,-0.02581853268832997
56252977678408192,0,0.5022238867882982,-0.7338916479802641,0.43710303586019233,-0.12313809646696389,-0.005829803311422045,0.05239860600656917,-0.008408828728915518,-0.010092219066645865
63139734399542528,0,0.5229466061406086,-0.7194698404852232,0.4211855580758213,-0.16684972004642998,0.05225008100720833,-0.003971004985016852,-0.009527915418412946,0.028587957760258728
64368713521485568,0,0.5398218779017858,-0.732419496514211,0.39719984645508977,-0.11036657302459946,-0.02001866918709318,0.03603185262899844,-0.02019668375706851,-0.009928506666902025
69784942159807232,0,0.4971108513353991,-0.7248566137284729,0.44026827518328265,-0.1717252275108988,0.04639713659656523,0.005316835561782425,-0.010139629302854055,0.043060515730807505
69886853143994496,0,0.5658420058728407,-0.7365125176161852,0.35577417927863886,-0.050743871987080046,-0.05946513409933515,0.06536429888284266,-0.015378465351697438,-0.013298032199073901
74703607425569024,0,0.48292862533017145,-0.7317075834367947,0.4519523466415596,-0.16159579372307753,0.014603136872502092,0.02191186951783245,-0.00849426650674715,-0.015629996744139386
78846635958426496,0,0.47928709324611785,-0.7348345880271381,0.4522526910283232,-0.15208007368458787,-0.004361152622414472,0.041785270985997554,-0.02716566786791924,-0.011754279991744982
79376016447500416,0,0.4354410910872097,-0.7003531381461149,0.4932615908902348,-0.2536889463978174,0.10420278038230865,-0.03469451585202197,-0.003081773415709281,0.012650427371181844
80762260092162688,0,0.5063485597514349,-0.7367201321801471,0.4264308782086465,-0.12770050823033335,-0.015135106250518364,0.04227585521909821,-0.02516499663548378,-0.007367004455460119
83757226686850816,0,0.4565274239144053,-0.7188154896796648,0.4762815227379349,-0.20999547650907788,0.06187004897954925,-0.008423774165099984,-0.0007989106671989291,-0.00673147566656749
84006403509432192,0,0.5347319779257658,-0.7363953407109969,0.3959395465806092,-0.09553838391537856,-0.0418395564977623,0.05513762621123604,-0.031575945508994736,-0.010007995213122454
85707760314515712,0,0.5386575310402609,-0.722415056641878,0.40697818816830406,-0.14480896330887688,0.035952512574789174,0.00015868556422314703,0.0031581232812650665,0.007815792165048713
93468972376758144,1,0.5189979314551513,-0.7039074150896664,0.43842053282356924,-0.19827895417126085,0.05636196842460646,-0.01496473698408072,-0.008022518055334165,-0.012783396452421629
97013488627139328,0,0.4491025119403567,-0.7168166796866848,0.48730023336451,-0.2091205226523142,0.05626836004315354,0.006496279623648006,-0.006177332590504768,-0.006432855626191704
99836961472298752,0,0.4592633233047426,-0.7145408241829195,0.4749370942031012,-0.21670536108794997,0.07007597303673943,-0.026277826221549054,0.004211199520127269,-0.019059200386141624
100734064176680704,0,0.4695445411113186,-0.7261526664017011,0.4633512865127297,-0.18945951834186123,0.03234753508321062,0.012989420494181973,-0.020564961467124627,-0.0017027847929010748
101096662495962240,0,0.4845769061728852,-0.7365246913243116,0.4469508196023536,-0.1383676443263385,-0.014584164294002043,0.052407488716685345,-0.020062263295160133,-0.021076617461973837
