source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011
1792620565667968,0,0.5296381506459368,-0.7470181728404105,0.37446450552087657,-0.14055393264821775,0.03751513071045154,-0.002127717827918419,-0.005318435192254404,0.0027728987919518975,-0.0020604246802918133,-0.0011317063703859297,0.001842277776504527,-0.0033760799890745308
6052403489630720,0,0.51844596240147,-0.7456217918027028,0.3854762070459051,-0.15493593960571317,0.050256301777528344,-0.009692472273529418,0.00011115562345061732,0.00288422844752846,-0.0012305687251285662,-0.0004186241090014661,0.0029861376301166965,-0.00512820617980862
10844075163628928,0,0.6173003019233843,-0.7425446051355096,0.2514593329386301,-0.053045125841091806,-0.02787869878133552,0.012140309580053393,-0.01765704548154898,-0.004093285336477887,0.0004210189688544299,-0.012688389912251534,0.0072402193235327475,-0.007452292143816577
11015044926034816,0,0.5834395740674931,-0.7327242474500494,0.3344740792303215,-0.09034502912027557,0.03324708770938383,0.006186578911307268,0.017068944953342387,-0.0016400756879674694,0.024275943432777204,-0.009496102727340918,0.021997073775311755,-0.008789577116485193
11963171843658240,0,0.6064567350018294,-0.7299883722889892,0.3030003486297519,-0.08227801149162806,0.02168589292377882,0.0026903434739474334,0.0014516432662398774,0.0040065292368729145,0.005017388426168121,-0.006148932770602869,0.010445523191662668,-0.008975215252778385
16615171179593088,0,0.6901872853673233,-0.6872419295040569,0.2187318127183056,0.0014629596889950836,-0.011331495285044919,0.017240543177408384,0.01844233799028598,-0.013408260944506587,0.03243359623746287,-0.023743480551371182,0.02671134137853944,-0.014817830622535787
25501939551450880,0,0.5619821806858104,-0.7502975291402114,0.3319020201763593,-0.0997033104036637,0.0087167872339715,0.00853285387912929,-0.004658623568449523,-0.006833263764700402,0.012656569400771714,-0.01787312740993276,0.015310081980657508,-0.01409684256204933
30269452033850624,0,0.548616256534894,-0.7427592126422833,0.35382326129986774,-0.14047954986136338,0.045411763135725744,-0.013008415476541085,-0.002906698712653076,0.005359625950046487,-0.006695563026645063,-0.00015129621440954232,0.0029629294814473464,-0.009016481386468062
31265029748469120,0,0.545976110771898,-0.746151182887068,0.3560802602186161,-0.13022629650499398,0.02995471107590772,0.003314899092409823,-0.013796918797122762,0.012923976453041497,-0.010837403277857195,0.0051973337001336,-0.0013321391380373877,-0.002136617534595073
35928500943041152,1,0.6355091197491267,-0.7153457659726199,0.2765642628662895,-0.07002678844328072,-0.0013905403547485003,0.0037486235145429373,0.006650494916542533,-0.02117967778964329,0.02716564874406851,-0.029465929005131182,0.024378081580988573,-0.01754289902640675
36876009385300352,0,0.5934771820031787,-0.7439656188362697,0.28901928563231344,-0.09536044110538779,-0.0007311295579764617,0.003988529399616215,-0.02795103130120575,0.012625103062260178,-0.02393872035031105,0.006621113412900759,-0.009819496248662124,-0.0019521678090886625
44951132016854016,0,0.694527108827597,-0.692942948321938,0.126147696991391,0.04359755911236736,-0.07974636832252469,0.018478393244716607,0.004411065554332935,-0.0452001539236718,0.054861885637327724,-0.06081446281620281,0.05100492862021876,-0.03968630795683108
46608061680943872,0,0.6745260314942587,-0.7078312263068632,0.197718545993553,-0.020134694636039983,-0.018971969033344926,-0.005480923591746669,0.011280671976952754,-0.03032217537079052,0.026726013640366888,-0.03678785765404019,0.024030998998355396,-0.020243007262007066
56252977678408192,0,0.585862331788749,-0.7390493989251665,0.320816264660904,-0.06926575957707877,0.009080637108846604,0.013127866237056357,0.014208956127285493,-0.01609540299852852,0.031095679883031167,-0.022447082135532367,0.022920768352820902,-0.011771292147055738
63139734399542528,0,0.5958451202276164,-0.7330578070408776,0.31124011996131634,-0.09757085394062265,0.026283313985020526,-6.81041470679429e-06,-0.0021916700811355216,0.006064547790816365,0.0010387768290683822,-0.006991944198618764,0.011929049538238966,-0.016724146112373103
64368713521485568,0,0.6078654233187052,-0.7388296249249723,0.2806042504001102,-0.06623856431644985,-0.007852432552792794,0.005345860226216786,0.0004749056668825641,-0.016250961277178348,0.015235379392758297,-0.022489354626139706,0.015113285591652172,-0.013537439454638582
69784942159807232,0,0.5836626101422584,-0.7378391756408821,0.3242807427763477,-0.08540746042078053,0.018577358486092346,0.0211817308056848,-0.008639785952212868,0.02954406128613495,-0.00845022457511137,0.022960150440793713,-0.0011145202262508977,0.01173778491070872
69886853143994496,0,0.6327344439657463,-0.728397929293961,0.2530239191172592,-0.024881287065667928,-0.017905765768105805,0.017725931749830674,0.015044972815031343,-0.019255929099665142,0.03717857939347996,-0.02602242203613603,0.03163406559242779,-0.01230054841207272
74703607425569024,0,0.5656769100526612,-0.7489298977801154,0.3290224064565416,-0.09786646894398003,0.013712604086040714,0.00019854374903487931,0.006725737541085416,-0.014872681612352246,0.01807727545116855,-0.016370614784244286,0.01311426408589368,-0.00766654924996463
78846635958426496,0,0.5620896492079083,-0.7535365071651164,0.32357733636840524,-0.09318424325965322,0.0015192780787489683,0.003098095844577441,0.0010997435230587107,-0.022727876438514226,0.021554767742534633,-0.03302920511603888,0.01907138587400782,-0.02008572753051958
79376016447500416,0,0.5305178294981863,-0.7440814351472761,0.37133727100712255,-0.15513818796452802,0.05090390574702125,-0.014991990287049707,-0.002979406441849884,0.0027130881043678353,-0.004275981311245813,-0.002794324076804206,0.0036580470289197826,-0.007921210488721731
80762260092162688,0,0.5847355973513065,-0.748021079303536,0.30308457821152296,-0.07343368954397811,-0.0060933391661131715,0.010273351054631,-0.0011317252826402635,-0.01345888379021614,0.01645867029477809,-0.019603608519217365,0.014726847070202543,-0.009940603579793351
83757226686850816,0,0.5445551580627861,-0.748643920840614,0.35272772246381023,-0.1297583285887496,0.03436240952507913,-0.010355171501597805,0.003487720698350218,-0.009103372672017879,0.006091964637416454,-0.010759863923030088,0.007474890082920411,-0.012086709293436713
84006403509432192,0,0.606196733167706,-0.7418513444115934,0.2765829176808075,-0.05439280059518987,-0.01891164240021644,0.01277202404316712,-0.000388721828990975,-0.018683906507039563,0.022607249352141333,-0.02726785997453842,0.020056792149973638,-0.014089119079311364
85707760314515712,0,0.6075017100914445,-0.7300084490191897,0.3000517258000921,-0.08563891479845548,0.02170057507663504,-0.0006016803770005424,0.004359430369485695,0.0001801698769494519,0.004173012700110654,-0.004250299560566718,0.00873503320630325,-0.007885477434369884
93468972376758144,1,0.5889324194259947,-0.7302907410123937,0.32023284359373255,-0.12574085069637458,0.02796200683682225,-0.0153710060535585,-0.0018109856630609046,-0.012610551884809513,0.002260245212952333,-0.013884409151158584,0.003855181863713912,-0.009000444221437654
97013488627139328,0,0.5408744786391325,-0.7468168971238752,0.3612832919022755,-0.12896870961089604,0.03406367390811746,-0.007543563649333237,0.005984057502523974,-0.014365027379434667,0.014298970636685593,-0.021030952536730704,0.013989280245545856,-0.01609073598548133
99836961472298752,0,0.5427248860960853,-0.7467897505131821,0.35253296757622254,-0.14147742299606544,0.0408882950759669,-0.02409443452886515,0.007579768570134009,-0.01795638692291759,0.00924412239370738,-0.018392069725820175,0.011634347496634159,-0.016372319721278436
100734064176680704,0,0.5547905886185053,-0.7514948199738966,0.33701518790858503,-0.11363203948736003,0.017433868873207154,-0.0006354319776132458,-0.0017718207825769335,-0.008848951870649819,0.01139938973527661,-0.014906602811647067,0.012123936056069652,-0.009302229766241855
101096662495962240,0,0.5672352102889423,-0.74923885892567,0.32372675145226426,-0.0847796731203064,0.004656323654276452,0.004917041427359072,0.012702880140976388,-0.027967558005700412,0.03652550996778583,-0.036636413808478055,0.02991998149871395,-0.01837919489289862
102622917779071744,0,0.5664483608116113,-0.7552718588863013,0.31622147909791315,-0.08426738147084907,-0.014908997367201492,0.012923800002451382,-0.01747087644289773,-0.012189642342634144,0.001369495446926961,-0.02309590579008396,0.0034672076843566446,-0.014602008805336669
102803104542235008,0,0.5295921599175274,-0.7491781438775372,0.3698023043716619,-0.1415321090569502,0.035450350857769916,-0.0016227728541471419,-0.009476339739921538,0.005999606115058403,-0.006227098760377726,-0.0015657301354584953,0.0012314661773382904,-0.007160226431086314
107344877838785408,1,0.6137094777274774,-0.7255680972422366,0.2956287998605537,-0.0810555325998276,0.006948219699960121,0.0003120262843265323,0.010882210373753537,-0.024063835617552654,0.028981565263973046,-0.02813035042494004,0.020365868883245857,-0.012383229769192983
107585292928397568,0,0.5603275659789118,-0.7554074021747629,0.3240571921331837,-0.09342015897127759,-0.002351975029621008,0.008345904842453705,-0.004753604820025264,-0.0151203744481977,0.01721078294414582,-0.024225097746576194,0.016192998434483772,-0.013438662997616625
108002248353357312,0,0.5822000916295036,-0.7524890203877819,0.295046351911529,-0.05905444147044755,-0.02411284893410715,0.019022276260892586,-0.002356451716707978,-0.022483513042882982,0.028627508839019024,-0.033708288999861516,0.02406540671875735,-0.016561586798152842
115962815619380096,0,0.6319790256944545,-0.7338043081818724,0.2323287173897987,-0.009302685745309217,-0.04917774766749997,0.027183968277789457,-0.005999583926984799,-0.02534918526772069,0.030682905571226687,-0.0422219471918912,0.029072882477585826,-0.02579174824266884
116691791828603136,0,0.5719410948906206,-0.7523711987557661,0.3113311611198225,-0.08716737798510414,-0.012110390198898641,0.022517272969547874,-0.030974599822376797,0.014518889083353656,-0.01851080827760494,0.005342152921428841,-0.009993142711223108,0.0008688842363264735
120129277493243008,0,0.6093382861438192,-0.7354519367895875,0.28811085429960365,-0.06417533334598262,0.0030340070097464675,0.009256683382770026,0.0032380355932439425,-0.005942027736348935,0.013381446039838634,-0.011244993805631778,0.012723782036706278,-0.009103426245782116
121824174666929024,0,0.6333246172605403,-0.7245511832997716,0.2672919519957291,-0.024775067011794185,-0.012812727621412532,0.031215053903363276,0.0008937140354140032,0.007922063878867486,0.016708720407919875,-0.002876832364457104,0.019353493741112063,-0.001613003808404722
125093503772825856,0,0.6108842986310487,-0.7383972094599334,0.27247520017179355,-0.08201511744450397,0.003279660173858561,-0.009389876680407399,-0.0016656122560169799,-0.013539862840167248,0.0058993489748674945,-0.013204138528183921,0.007260609799429233,-0.00859211252456056
125893776439505664,0,0.5609084607569798,-0.7433843335408417,0.3434380161339191,-0.1161477726216049,0.029275035545495102,-0.001440418197221515,-0.0020730837474860057,2.585452486040389e-05,0.003919701378133209,-0.009944933116884354,0.013158139655184729,-0.013063385398917346
127674641678296704,0,0.5308935982723867,-0.7451745981191137,0.3725240245047629,-0.14745329454729092,0.04478468731995713,-0.004947343875544351,-0.006969033017851971,0.011283650563600055,-0.008344769380944842,0.007420589943414115,-0.0031931757537181226,0.0030419404665025184
132944115577925504,0,0.5845507232305115,-0.7440324483537717,0.30884801718970456,-0.08172028728075446,0.008177973287381932,0.0010194381831002406,0.010750489971984713,-0.019792239027955644,0.02587869296730874,-0.025701495077183424,0.022180621671498733,-0.01591812972080451
133373444804991744,1,0.5656142059326513,-0.7411047818791755,0.3363678865216423,-0.1253014262131774,0.026950432925871327,-0.013283869551345065,0.004132679919198063,-0.017439842270423424,0.013191278758745834,-0.01973284664974408,0.010549339464582358,-0.010088212264335455
141428363911552384,0,0.5167624509238727,-0.7472211333384999,0.3816485564541689,-0.16155163685351875,0.049658466487478015,-0.013376262882199166,-0.005748673428379996,0.003304879117210683,-0.005905792285071025,-0.003553946710526479,0.0032957484069438695,-0.010740909730229196
142086971376178688,0,0.5287349633285903,-0.7461776625195409,0.3738485375588375,-0.14648397243871866,0.046417000934786457,-0.009162438599823807,0.003254204713983176,0.00026230608465318276,0.005002725867875888,-0.004730526186946489,0.008993347191456376,-0.007779392455780227
143510907654193024,1,0.5925336084280979,-0.7184108838431352,0.3380658997163782,-0.12173043524121413,0.04732369049480516,-0.01259786725130493,0.018738462420905752,-0.008913450552725934,0.021575473828353547,-0.010101439805060586,0.016024390162597633,-0.0054529524774782215
146588028382865280,1,0.6442112959526387,-0.7158783171805684,0.25924748259561003,-0.06755536462378962,0.013969325793507804,-0.004920649197692692,0.0036368441931673035,-0.004183598503213098,0.007369764709310749,-0.011828128211648676,0.01364778747190171,-0.01031952036733239
150218508402721152,0,0.7073313278685411,-0.6799865569786199,0.1903853209442619,-0.00865773217583471,-0.00226651058698735,0.010570291997624966,0.013626813866979915,0.005261913404326045,0.01731455108303349,0.0012183659625327884,0.018642727111193528,0.0002699734183985936
150480505705334784,0,0.7051802397046906,-0.6847902668670374,0.176743402553789,0.00955749022840873,-0.019797122889862375,0.013195034346027253,0.015327658759420156,-0.010412657889610627,0.02550776496180827,-0.014273174980407668,0.023781918229332018,-0.011144467817475592
150610660393771648,0,0.5997635719706882,-0.7470239322131228,0.27023616793330674,-0.07434032097646953,-0.01998898751951609,0.017713298989866892,-0.03785135897736666,0.021054928463625545,-0.03047184270701871,0.006933407129344601,-0.006348019334890915,-0.008864197740453859
162522700650966400,0,0.5753806046302663,-0.7538705671415298,0.30534017942789843,-0.07472904290342694,-0.015416294939595196,0.019496588874609384,-0.011334234617858487,-0.006246831100616986,0.014755718228711162,-0.018214431301141854,0.01848658767199883,-0.011079496120669897
163016106492676352,0,0.6382475634626769,-0.7264487301036271,0.24758219860769823,-0.024158441125044644,-0.0237409355212045,0.018978369726242724,-0.0006280780372091659,-0.01592357085952595,0.018675573192347385,-0.02690294832859372,0.01898086738227824,-0.020521471743646765
163565999746075264,1,0.6247836615728961,-0.7236088338391439,0.2809932258481224,-0.08265983870118278,0.007624630635596449,0.001384591956688359,-0.004281891664080506,-0.002127092807943311,0.005659831830701048,-0.0062453223775332765,0.009115087329797303,-0.002959078006170429
165712109004835712,0,0.6677196240265858,-0.7065554460790839,0.21747866815398872,-0.033856908466459903,-0.004712642975579609,-0.016465785005031205,0.018487734703718624,-0.041873274436714514,0.02125517517725406,-0.046732101250213605,0.016655348795571942,-0.03442488960170044
165787700429000064,0,0.6550677267043234,-0.7197620133455074,0.1572792993577598,-0.012345933491063025,-0.058545375202300166,-0.025802413420360704,0.016787840224009684,-0.08363570091200351,0.05384455960026051,-0.08748796362344015,0.052668379771536586,-0.05694112176111893
169258102725227008,0,0.609462111795404,-0.7329751827146247,0.28923081917507876,-0.08140923817771008,0.016857477834975782,-0.0025309542726802627,0.004043265642519969,-0.005827764943059966,0.00991747716962534,-0.013990225643284681,0.015169474751975042,-0.012501924971831122
170774775937432832,0,0.6600322680320639,-0.7223349915179328,0.19361209558201609,-0.011134168560563495,-0.04735101240420259,0.015299756261180214,-0.012474178894408532,-0.018816685775352858,0.016537493779671456,-0.030407893524082616,0.020783840503596617,-0.019078298793839436
176164272695455744,1,0.6153013025307177,-0.7181514480600187,0.3094559922299162,-0.060489542870082486,0.018697718021921717,0.04082115825995601,-0.010065775291429421,0.04996997148234283,-0.01327602066943348,0.03683942602174645,0.000683698909965393,0.009625790770892954
176209799348981376,0,0.6381706713102755,-0.7157746608466039,0.27613851881437734,-0.05934568803829223,0.01430491140074242,0.004414542361874757,0.005482211950795017,-0.004029258586241081,0.00651293453057214,-0.011119393853871711,0.008651993562812462,-0.010913864211196776
177389712764641920,0,0.6562652354987696,-0.7043926260806394,0.2595260421523722,-0.0653513255385574,0.03167256099702231,-0.00689312076156712,0.008785247125451843,0.008052460571908055,0.004786342886847387,-0.00372143790345328,0.013962579642332286,-0.009899796119851385
181774221540061824,0,0.6999349007221713,-0.6904716550016365,0.16398426405378663,0.022466053223284998,-0.04596158731409226,0.0152346034242499,-0.0013564748330454617,-0.021767712413877014,0.023082633784106053,-0.0367124227040747,0.024973597482194188,-0.024898623929931377
184468780942344960,0,0.5778390017093642,-0.750417061109234,0.3083894978020774,-0.07950362620619848,-0.0052444457322624975,0.009484620841259346,-0.002646013441943143,-0.014157449815537881,0.017669291172254183,-0.023028071396383736,0.01614641252596347,-0.011104683199981055
189831438452843008,0,0.6614465727571804,-0.7177776784324044,0.21042363538457423,-0.019601666429848976,-0.03174375000944986,0.00881186873685599,-0.007653936236546276,-0.015036276729552442,0.00974037431932602,-0.026181519583752776,0.012818391033274337,-0.0175116822522773
190164354254168192,0,0.6102970386710344,-0.730351854189492,0.2951500222979179,-0.08009665203226325,0.02048174096604459,-0.0005863933216084499,0.003787195273890713,0.0018642766216750133,0.0038321411452900346,-0.0035437968557368144,0.009006135930002162,-0.006976109969278369
190970433715259904,0,0.5546042681236291,-0.7423044751135336,0.3494421984296384,-0.13100844160727698,0.04300546955124102,-0.012861914725825084,0.004467304395510982,-0.0020004608462900362,0.0015610954950801223,-0.004344328936482005,0.004843485121074594,-0.006440707624262456
