source_id,y,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017
1792620565667968,0,0.42913386754538757,-0.7060593539512567,0.5033660588984077,-0.23775468552951362,0.07984745012989589,-0.006599761687234296,-0.009467266565891537,0.010292571908513164,-0.006767606773676386,0.0025256109853593937,0.007400062245358306,-0.00984336508965528,-0.002368846215688123,0.003219004384531316,-0.018522799788271902,-0.005944460494271365,-0.009963650504174321,-0.010362621128447892
6052403489630720,0,0.4152296418185782,-0.6996058332497533,0.5106274084044214,-0.2571753604364724,0.09801949093747733,-0.023412316966000133,0.00011065305942552064,0.01006583813420432,-0.00864564082397779,0.0069665038161061095,0.007870791876522289,-0.015884258588509212,0.01800408598969793,-0.011690281960140486,0.006235448752002672,-0.0031411387048336935,-0.002821623782856106,0.006645195454850859
10844075163628928,0,0.551534833466636,-0.7329526169612157,0.37085148073657265,-0.09730763659768216,-0.03366968079154683,0.03190014235931385,-0.04052919377459965,0.005010586350002175,-0.005540022476906197,-0.02941626935793871,0.02533447318671992,-0.02900820743032481,-0.004776613931606126,0.02995281746292537,-0.03371393686319411,0.028634559279039372,-0.032040443077568134,0.038584175954167244
11015044926034816,0,0.4988461315522108,-0.722521963695696,0.4396365674914218,-0.15701398945611555,0.034882230242372005,0.020445547262439967,-0.0004944456205323497,0.013002181378067275,0.03033013745184778,-0.012314464336176275,0.06132951786841096,-0.025698881637295036,0.05005218779181985,-0.0008063630101647437,0.019371917071171214,-0.007618894069265253,0.01871301099728044,-0.02437376240840341
11963171843658240,0,0.5346526295690507,-0.7224156264616131,0.40990289860956636,-0.14164659555551223,0.037945156368585045,0.0046148567343473786,-0.00599195981993158,0.02187966479093766,-0.0009535321463662002,-0.003644370942176255,0.03188791784818435,-0.02770476803297796,0.009184197323035418,0.005800180099093514,-0.010769302589708686,-0.003696757380298597,-0.0054019384335200395,-0.011266249072402226
16615171179593088,0,0.6293940360330865,-0.7024891168425696,0.29858054073126267,-0.006480108749530916,-0.051286990370561,0.059557262267059034,-0.004862339938275441,0.0027184126388798886,0.04885427362705226,-0.04416787851061687,0.07874551630813108,-0.045203660452071755,0.01827024748132525,0.023089996904623104,-0.026597757361548482,0.005846190052167328,-0.014620519973543765,-0.023818167103183772
25501939551450880,0,0.47382440229901684,-0.7260973232815702,0.4571428463609768,-0.17152985928515999,0.01599640129333159,0.03265896212073349,-0.0317720709621714,0.010285815358664125,0.011943715780263856,-0.031195554606527096,0.04522646071195668,-0.045866350966308866,0.03192676085042996,-0.010108630588292698,-0.005091260493177626,0.017219580993931463,-0.01774095170644409,0.020239430263140366
30269452033850624,0,0.46051866499155447,-0.7069220032779018,0.4711397342002765,-0.2296490449475588,0.09274987826339894,-0.03248406576047494,-0.001167056434379321,0.018335267661290434,-0.024991638324382007,0.014808729649277928,0.0060913997499048335,-0.026968551239797786,0.030825166081319907,-0.02432456964305635,0.01722989816968369,-0.004392553584975666,0.0029115674237899197,-0.0015504577631667207
31265029748469120,0,0.45121279708762885,-0.7094542555869218,0.4826489046156388,-0.22759630929922048,0.07544843615195825,-0.009287509423406304,-0.018819606936691324,0.02617028347840879,-0.02790325608180225,0.017666245556178937,-0.0047054321857378355,-0.0071933849184529506,0.007538314740009506,-0.004893114068199838,0.007308300940930443,-0.0025179246991555845,-0.0027116189908730328,0.014191317731544752
35928500943041152,1,0.5704903158808119,-0.7055455590436547,0.3833756668990878,-0.11181612065127719,-0.020422311116157034,0.043288405117229256,-0.026343473303333115,-0.008577736927031879,0.038011508349277946,-0.05821196801187422,0.0722813242896993,-0.05573972227405639,0.022082625167088112,-0.005164951807699716,-0.0017753968494775476,-0.0010769887606154591,-0.011647676497564919,0.019715222334777894
